dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:09:29.903653,32920,46446,11334,5918,-112.42,2654.20,0.43
2022-03-25 19:09:39.904228,32764,46037,11189,5911,62.79,2685.20,0.46
2022-03-25 19:09:49.919625,32489,45597,11063,5885,102.09,2662.40,0.47
2022-03-25 19:09:59.920345,32247,45298,11017,5864,-9.86,2535.85,0.43
2022-03-25 19:10:09.936331,32040,45044,10991,5845,-133.87,2391.80,0.39
2022-03-25 19:10:19.937022,31961,44983,10976,5849,-184.89,2368.05,0.37
2022-03-25 19:10:29.937715,31845,44898,10969,5851,-288.01,2300.20,0.35
2022-03-25 19:10:39.953326,31820,44892,10990,5853,-362.29,2228.75,0.32
2022-03-25 19:10:49.953934,31893,44975,10980,5852,-265.76,2343.00,0.36
2022-03-25 19:10:59.954587,31953,45097,10956,5854,-155.14,2532.30,0.41
2022-03-25 19:11:09.970086,32172,45466,10976,5874,-7.14,2807.30,0.47
2022-03-25 19:11:19.970735,32395,45846,11043,5896,37.86,2951.15,0.51
2022-03-25 19:11:29.986266,32577,46198,11150,5912,-38.96,2959.50,0.50
2022-03-25 19:11:39.987701,32798,46611,11276,5927,-117.63,2974.55,0.49
2022-03-25 19:11:50.003236,33015,47031,11401,5939,-194.09,3004.80,0.48
2022-03-25 19:12:00.004033,33120,47316,11506,5942,-326.18,2974.80,0.46
2022-03-25 19:12:10.005001,33219,47602,11632,5956,-525.52,2864.60,0.41
2022-03-25 19:12:20.019786,33316,47844,11761,5965,-726.87,2710.30,0.35
2022-03-25 19:12:30.020444,33451,48081,11848,5975,-798.31,2673.15,0.33
2022-03-25 19:12:40.021260,33526,48244,11856,5985,-754.37,2795.05,0.36
2022-03-25 19:12:50.036928,33548,48348,11848,5994,-726.58,2906.90,0.38
2022-03-25 19:13:00.037629,33481,48218,11821,5969,-700.39,2900.30,0.39
2022-03-25 19:13:10.038180,33411,47835,11739,5937,-545.79,2815.20,0.40
2022-03-25 19:13:20.053643,33313,47334,11607,5906,-309.52,2757.85,0.42
2022-03-25 19:13:30.054421,33084,46851,11449,5877,-149.19,2791.70,0.45
2022-03-25 19:13:40.054956,32763,46529,11314,5867,-157.19,2885.45,0.47
2022-03-25 19:13:50.070940,32501,46251,11192,5877,-161.65,2949.85,0.48
2022-03-25 19:14:00.071566,32337,45964,11112,5891,-166.67,2874.35,0.46
2022-03-25 19:14:10.087126,32214,45714,11095,5892,-253.26,2672.75,0.42
2022-03-25 19:14:20.087831,32138,45598,11107,5893,-357.23,2519.60,0.37
