dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
2022-03-25 19:09:26.608967,9052,9297,1456,124,123,0,0, 0.00756396, 0.21730628, 0.36941039, 0.47342424, 1.44389716, 1.44389716, 1.44389716
2022-03-25 19:09:27.607245,8862,9405,1442,122,124,0,0, 0.00740530, 0.21960066, 0.37028846, 0.47223680, 1.45156440, 1.45156440, 1.45156440
2022-03-25 19:09:28.604802,8714,9400,1423,119,126,0,0, 0.00728122, 0.21936662, 0.36807017, 0.46810007, 1.45600809, 1.45600809, 1.45600809
2022-03-25 19:09:29.602593,8591,9403,1405,117,127,0,0, 0.00717877, 0.21931994, 0.36608341, 0.46428427, 1.46049062, 1.46049062, 1.46049062
2022-03-25 19:09:30.600501,8472,9405,1387,115,127,0,0, 0.00707892, 0.21927108, 0.36419045, 0.46056143, 1.45676778, 1.45676778, 1.45676778
2022-03-25 19:09:31.598984,8444,9492,1379,113,121,0,0, 0.00705554, 0.22121317, 0.36532104, 0.45995155, 1.41298937, 1.41298937, 1.41298937
2022-03-25 19:09:32.596862,8475,9626,1375,111,115,0,0, 0.00708160, 0.22426270, 0.36786905, 0.46075825, 1.36565169, 1.36565169, 1.36565169
2022-03-25 19:09:33.593743,8505,9630,1364,109,109,0,0, 0.00710698, 0.22436695, 0.36688159, 0.45805956, 1.31673627, 1.31673627, 1.31673627
2022-03-25 19:09:34.591433,8570,9625,1353,107,104,0,0, 0.00716130, 0.22431770, 0.36563734, 0.45516258, 1.27011441, 1.27011441, 1.27011441
2022-03-25 19:09:35.588930,8795,9777,1344,105,98,0,0, 0.00734929, 0.22792673, 0.36832792, 0.45620125, 1.22964579, 1.22964579, 1.22964579
2022-03-25 19:09:36.586584,9049,9972,1336,103,93,0,0, 0.00756136, 0.23254851, 0.37217152, 0.45871715, 1.19369477, 1.19369477, 1.19369477
2022-03-25 19:09:37.584377,9327,10149,1353,106,93,0,0, 0.00779329, 0.23676077, 0.37809513, 0.46729617, 1.19895916, 1.19895916, 1.19895916
2022-03-25 19:09:38.581890,9606,10321,1383,112,96,0,0, 0.00802655, 0.24087634, 0.38540845, 0.47956687, 1.23779390, 1.23779390, 1.23779390
2022-03-25 19:09:39.579909,9789,10404,1404,118,100,0,0, 0.00817999, 0.24290203, 0.38963970, 0.48878474, 1.27301945, 1.27301945, 1.27301945
2022-03-25 19:09:40.577744,9910,10429,1422,124,103,0,0, 0.00828082, 0.24356454, 0.39212051, 0.49616360, 1.30585748, 1.30585748, 1.30585748
2022-03-25 19:09:41.576722,10028,10453,1439,130,106,0,0, 0.00837919, 0.24420705, 0.39455187, 0.50337520, 1.33631849, 1.33631849, 1.33631849
2022-03-25 19:09:42.573500,10107,10442,1455,135,109,0,0, 0.00844532, 0.24403655, 0.39605210, 0.50959634, 1.36550694, 1.36550694, 1.36550694
