dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:27.788883,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:09:37.823314,0.01,0.00,83.65,38.06,246198.86,68799.63,34564600.00,65.81
2022-03-25 19:09:47.842407,0.01,0.00,83.65,40.99,275362.59,75660.26,34564600.00,65.81
2022-03-25 19:09:57.861559,0.02,0.00,83.65,40.99,275362.59,75660.26,34564600.00,65.81
2022-03-25 19:10:07.880667,0.02,0.00,65.03,38.06,246198.86,68799.63,34564600.00,65.81
2022-03-25 19:10:17.899831,0.01,0.00,79.19,35.45,246198.86,68799.63,34564600.00,65.81
2022-03-25 19:10:27.918898,0.01,0.00,83.65,40.99,221175.64,62814.82,28214224.00,60.52
2022-03-25 19:10:37.937784,0.01,0.00,79.19,38.06,246198.86,31792.87,4809164.50,29.17
2022-03-25 19:10:47.956853,0.01,0.00,83.65,38.06,246198.86,29826.86,5500265.50,30.83
2022-03-25 19:10:57.991418,0.01,0.00,83.65,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:11:08.010599,0.01,0.00,88.61,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:11:18.029655,0.01,0.00,79.19,35.45,221175.64,62814.82,28214224.00,65.81
2022-03-25 19:11:28.048701,0.02,0.00,52.85,20.83,99184.18,31792.87,6317557.00,71.85
2022-03-25 19:11:38.067728,0.02,0.00,50.91,19.81,92001.10,29826.86,5500265.50,30.83
2022-03-25 19:11:48.086900,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:11:58.105919,0.01,0.00,83.65,35.45,221175.64,62814.82,34564600.00,65.81
2022-03-25 19:12:08.125009,0.01,0.00,83.65,38.06,246198.86,68799.63,34564600.00,65.81
2022-03-25 19:12:18.144084,0.01,0.00,79.19,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:12:28.163422,0.01,0.00,83.65,38.06,246198.86,68799.63,34564600.00,65.81
2022-03-25 19:12:38.182455,0.01,0.00,79.19,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:12:48.216617,0.01,0.00,83.65,40.99,275362.59,75660.26,34564600.00,65.81
2022-03-25 19:12:58.235652,0.02,0.00,50.91,18.88,85524.39,28034.24,5500265.50,30.83
2022-03-25 19:13:08.254921,0.02,0.00,49.09,19.81,92001.10,29826.86,4809164.50,29.17
2022-03-25 19:13:18.274197,0.01,0.00,75.14,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:13:28.293348,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:13:38.312366,0.01,0.00,83.65,40.99,275362.59,75660.26,34564600.00,65.81
2022-03-25 19:13:48.331488,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:13:58.365598,0.01,0.00,79.19,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:14:08.384759,0.01,0.00,83.65,40.99,275362.59,75660.26,34564600.00,65.81
2022-03-25 19:14:18.403866,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:14:28.422899,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:14:38.441878,0.02,0.00,49.09,20.83,99184.18,31792.87,4809164.50,29.17
2022-03-25 19:14:48.461033,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:14:58.480190,0.01,0.00,79.19,35.45,221175.64,62814.82,28214224.00,60.52
2022-03-25 19:15:08.499319,0.01,0.00,79.19,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:15:18.518131,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:15:28.537237,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:15:38.571637,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:15:48.590709,0.01,0.00,79.19,40.99,275362.59,75660.26,28214224.00,60.52
2022-03-25 19:15:58.609756,0.01,0.00,79.19,35.45,221175.64,62814.82,28214224.00,60.52
2022-03-25 19:16:08.628885,0.02,0.00,44.30,18.88,85524.39,28034.24,3289875.30,24.94
2022-03-25 19:16:18.647942,0.02,0.00,50.91,20.83,99184.18,31792.87,5500265.50,30.83
2022-03-25 19:16:28.667211,0.01,0.00,75.14,35.45,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:16:38.685972,0.01,0.00,75.14,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:16:48.705085,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:16:58.724078,0.02,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:17:08.743663,0.02,0.00,75.14,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:17:18.777719,0.01,0.00,75.14,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:17:28.796761,0.01,0.00,71.46,33.11,221175.64,62814.82,23239384.00,55.87
2022-03-25 19:17:38.815725,0.01,0.00,79.19,40.99,92001.10,29826.86,4809164.50,29.17
2022-03-25 19:17:48.834863,0.01,0.00,79.19,40.99,275362.59,31792.87,4809164.50,29.17
2022-03-25 19:17:58.853781,0.01,0.00,75.14,35.45,221175.64,68799.63,23239384.00,55.87
2022-03-25 19:18:08.872921,0.01,0.00,79.19,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:18:18.891928,0.01,0.00,75.14,35.45,221175.64,62814.82,28214224.00,60.52
2022-03-25 19:18:28.911046,0.02,0.00,49.09,19.81,92001.10,29826.86,4809164.50,60.52
2022-03-25 19:18:38.930028,0.02,0.00,52.85,20.83,99184.18,31792.87,6317557.00,60.52
2022-03-25 19:18:48.964521,0.01,0.00,75.14,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:18:58.983548,0.01,0.00,71.46,35.45,221175.64,62814.82,19300496.00,51.75
2022-03-25 19:19:09.002711,0.01,0.00,75.14,38.06,246198.86,68799.63,23239384.00,55.87
2022-03-25 19:19:19.021722,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
2022-03-25 19:19:29.040880,0.01,0.00,79.19,38.06,246198.86,68799.63,28214224.00,60.52
