dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:27.409962,0.04,0.00,22.07,6.54,17313.48,7222.25,249743.66,8.61
2022-03-25 19:09:37.450059,0.04,0.00,18.65,5.17,12136.65,5341.59,133760.59,6.65
2022-03-25 19:09:47.504441,0.04,0.00,21.68,6.38,16670.12,6993.73,233648.78,8.38
2022-03-25 19:09:57.544473,0.04,0.00,26.31,8.12,23971.39,9520.42,478530.22,11.26
2022-03-25 19:10:07.583464,0.04,0.00,20.93,5.79,14405.32,6178.22,205113.42,7.94
2022-03-25 19:10:17.623173,0.04,0.00,18.08,4.75,10666.06,4786.76,119250.13,6.35
2022-03-25 19:10:27.663000,0.04,0.00,20.93,5.79,14405.32,6178.22,205113.42,7.94
2022-03-25 19:10:37.717953,0.04,0.00,22.90,6.71,17992.07,7461.91,286230.75,9.11
2022-03-25 19:10:47.757930,0.04,0.00,21.68,6.23,16059.67,6775.67,233648.78,8.38
2022-03-25 19:10:57.797579,0.04,0.00,21.30,6.08,15480.00,6567.43,218810.33,8.15
2022-03-25 19:11:07.837363,0.05,0.00,17.28,4.37,9432.93,4312.58,100932.89,5.92
2022-03-25 19:11:17.892411,0.04,0.00,22.07,6.38,16670.12,6993.73,249743.66,8.61
2022-03-25 19:11:27.932179,0.04,0.00,22.48,6.54,17313.48,7222.25,267223.19,8.85
2022-03-25 19:11:37.971883,0.04,0.00,20.93,6.08,15480.00,6567.43,205113.42,7.94
2022-03-25 19:11:48.010981,0.04,0.00,20.93,5.93,14929.16,6368.47,205113.42,7.94
2022-03-25 19:11:58.066186,0.05,0.00,17.03,4.46,9721.74,4424.43,95607.69,5.79
2022-03-25 19:12:08.105594,0.05,0.00,17.80,4.75,10666.06,4786.76,112721.79,6.20
2022-03-25 19:12:18.145343,0.04,0.00,22.07,6.23,16059.67,6775.67,100932.89,5.92
2022-03-25 19:12:28.185079,0.04,0.00,22.48,6.71,17992.07,7461.91,218810.33,8.15
2022-03-25 19:12:38.240064,0.04,0.00,22.48,6.38,20265.53,8255.20,354136.78,9.94
2022-03-25 19:12:48.279824,0.04,0.00,18.65,6.54,17313.48,7222.25,286230.75,9.11
2022-03-25 19:12:58.320005,0.04,0.00,20.23,5.53,13432.07,5821.94,180744.38,7.53
2022-03-25 19:13:08.359754,0.05,0.00,17.80,4.65,10337.58,4661.29,112721.79,6.20
2022-03-25 19:13:18.414549,0.04,0.00,22.48,6.38,16670.12,6993.73,267223.19,8.85
2022-03-25 19:13:28.454197,0.04,0.00,21.68,6.08,15480.00,6567.43,233648.78,8.38
2022-03-25 19:13:38.494109,0.04,0.00,23.34,6.54,17313.48,7222.25,306927.56,9.37
2022-03-25 19:13:48.533553,0.04,0.00,22.07,6.38,16670.12,6993.73,249743.66,8.61
2022-03-25 19:13:58.588621,0.04,0.00,18.94,5.17,12136.65,5341.59,141828.56,6.82
2022-03-25 19:14:08.628136,0.04,0.00,19.57,5.17,12136.65,5341.59,159838.98,7.16
2022-03-25 19:14:18.667718,0.04,0.00,22.07,6.38,16670.12,6993.73,249743.66,8.61
2022-03-25 19:14:28.707676,0.04,0.00,22.90,6.38,16670.12,6993.73,286230.75,9.11
2022-03-25 19:14:38.762491,0.04,0.00,17.28,4.55,10023.05,4540.60,100932.89,5.92
2022-03-25 19:14:48.802181,0.04,0.00,20.93,5.93,14929.16,6368.47,205113.42,7.94
