dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2022-03-25 19:09:28.938001,37,806,1596,2221,2563,1785,1739,988.16,1996.73,2409.18,2452.23,1718.69,1549.79
2022-03-25 19:09:38.947356,38,806,1597,2223,2565,1786,1740,988.16,1997.98,2411.35,2454.14,1719.65,1550.69
2022-03-25 19:09:48.956848,38,807,1598,2223,2565,1788,1740,989.39,1999.23,2411.35,2454.14,1721.58,1550.69
2022-03-25 19:09:58.950871,38,807,1598,2225,2568,1790,1744,989.39,1999.23,2413.52,2457.01,1723.50,1554.25
2022-03-25 19:10:08.960336,37,808,1602,2229,2571,1790,1744,990.61,2004.23,2417.86,2459.88,1723.50,1554.25
2022-03-25 19:10:18.954662,37,807,1600,2228,2570,1792,1744,989.39,2001.73,2416.78,2458.92,1725.43,1554.25
2022-03-25 19:10:28.963796,37,808,1600,2226,2568,1788,1742,990.61,2001.73,2414.61,2457.01,1721.58,1552.47
2022-03-25 19:10:38.957833,37,808,1601,2227,2570,1789,1743,990.61,2002.98,2415.69,2458.92,1722.54,1553.36
2022-03-25 19:10:48.967494,37,808,1600,2227,2569,1788,1742,990.61,2001.73,2415.69,2457.97,1721.58,1552.47
2022-03-25 19:10:58.977016,37,810,1603,2229,2573,1792,1744,993.07,2005.48,2417.86,2461.79,1725.43,1554.25
2022-03-25 19:11:08.986809,38,809,1601,2227,2570,1789,1743,991.84,2002.98,2415.69,2458.92,1722.54,1553.36
2022-03-25 19:11:18.996111,38,809,1601,2227,2570,1788,1743,991.84,2002.98,2415.69,2458.92,1721.58,1553.36
2022-03-25 19:11:28.990133,37,807,1599,2224,2566,1788,1740,989.39,2000.48,2412.44,2455.10,1721.58,1550.69
2022-03-25 19:11:38.999609,37,807,1597,2223,2565,1787,1740,989.39,1997.98,2411.35,2454.14,1720.61,1550.69
2022-03-25 19:11:48.993822,38,807,1598,2222,2565,1785,1740,989.39,1999.23,2410.27,2454.14,1718.69,1550.69
2022-03-25 19:11:59.003320,37,808,1599,2223,2566,1785,1740,990.61,2000.48,2411.35,2455.10,1718.69,1550.69
2022-03-25 19:12:09.012764,37,807,1599,2223,2567,1786,1741,989.39,2000.48,2411.35,2456.05,1719.65,1551.58
2022-03-25 19:12:19.022229,37,808,1601,2226,2569,1790,1743,990.61,2002.98,2414.61,2457.97,1723.50,1553.36
2022-03-25 19:12:29.016699,37,809,1602,2227,2570,1788,1743,991.84,2004.23,2415.69,2458.92,1721.58,1553.36
2022-03-25 19:12:39.026174,37,809,1601,2226,2570,1788,1742,991.84,2002.98,2414.61,2458.92,1721.58,1552.47
2022-03-25 19:12:49.035337,38,809,1602,2228,2571,1789,1745,991.84,2004.23,2416.78,2459.88,1722.54,1555.14
2022-03-25 19:12:59.045120,37,810,1617,2230,2575,1791,1746,993.07,2023.00,2418.94,2463.71,1724.46,1556.03
2022-03-25 19:13:09.039294,37,809,1604,2230,2575,1792,1746,991.84,2006.74,2418.94,2463.71,1725.43,1556.03
2022-03-25 19:13:19.048774,37,809,1603,2230,2575,1791,1745,991.84,2005.48,2418.94,2463.71,1724.46,1555.14
2022-03-25 19:13:29.058267,38,810,1605,2233,2578,1793,1747,993.07,2007.99,2422.20,2466.58,1726.39,1556.92
2022-03-25 19:13:39.052701,37,810,1606,2233,2577,1795,1747,993.07,2009.24,2422.20,2465.62,1728.32,1556.92
2022-03-25 19:13:49.061946,37,811,1605,2233,2578,1795,1748,994.29,2007.99,2422.20,2466.58,1728.32,1557.82
2022-03-25 19:13:59.071602,37,809,1604,2231,2576,1791,1746,991.84,2006.74,2420.03,2464.66,1724.46,1556.03
