dateTime,temperature,pressure,humidity,altitude
2022-03-25 19:09:31.269771,28.87,100056.00,12.00,106.18
2022-03-25 19:09:41.303409,28.87,100056.00,12.00,106.18
2022-03-25 19:09:51.337020,28.80,100059.00,11.00,105.92
2022-03-25 19:10:01.356035,28.88,100060.00,12.00,105.84
2022-03-25 19:10:11.388656,28.94,100061.00,12.00,105.75
2022-03-25 19:10:21.422612,28.91,100062.00,11.00,105.67
2022-03-25 19:10:31.456215,28.99,100060.00,12.00,105.84
2022-03-25 19:10:41.475090,29.02,100058.00,12.00,106.01
2022-03-25 19:10:51.509054,28.85,100057.00,11.00,106.09
2022-03-25 19:11:01.542454,28.74,100053.00,11.00,106.43
2022-03-25 19:11:11.561088,28.71,100054.00,13.00,106.34
2022-03-25 19:11:21.594712,28.82,100052.00,12.00,106.51
2022-03-25 19:11:31.628512,28.84,100056.00,12.00,106.18
2022-03-25 19:11:41.647128,28.92,100053.00,12.00,106.43
2022-03-25 19:11:51.680485,28.95,100053.00,12.00,106.43
2022-03-25 19:12:01.714325,29.02,100056.00,13.00,106.18
2022-03-25 19:12:11.732686,29.15,100054.00,14.00,106.34
2022-03-25 19:12:21.766173,29.22,100052.00,15.00,106.51
2022-03-25 19:12:31.799692,29.26,100051.00,13.00,106.60
2022-03-25 19:12:41.818656,29.30,100052.00,12.00,106.51
2022-03-25 19:12:51.852278,29.27,100048.00,11.00,106.85
2022-03-25 19:13:01.886267,29.27,100050.00,11.00,106.68
2022-03-25 19:13:11.919725,29.29,100049.00,12.00,106.76
2022-03-25 19:13:21.938649,29.34,100049.00,11.00,106.76
2022-03-25 19:13:31.972600,29.33,100049.00,10.00,106.76
2022-03-25 19:13:41.991301,29.34,100050.00,11.00,106.68
2022-03-25 19:13:52.024880,29.37,100050.00,11.00,106.68
2022-03-25 19:14:02.058794,29.45,100052.00,11.00,106.51
2022-03-25 19:14:12.076973,29.39,100048.00,12.00,106.85
2022-03-25 19:14:22.110982,29.37,100048.00,12.00,106.85
2022-03-25 19:14:32.144581,29.46,100049.00,11.00,106.76
2022-03-25 19:14:42.178481,29.48,100049.00,10.00,106.76
2022-03-25 19:14:52.197365,29.50,100052.00,10.00,106.51
2022-03-25 19:15:02.231216,29.53,100050.00,11.00,106.68
2022-03-25 19:15:12.265096,29.60,100052.00,11.00,106.51
2022-03-25 19:15:22.283919,29.63,100051.00,11.00,106.60
2022-03-25 19:15:32.317907,29.70,100050.00,13.00,106.68
2022-03-25 19:15:42.336972,29.70,100051.00,13.00,106.60
2022-03-25 19:15:52.369793,29.75,100052.00,14.00,106.51
2022-03-25 19:16:02.403726,29.58,100048.00,12.00,106.85
2022-03-25 19:16:12.436925,29.50,100047.00,12.00,106.93
2022-03-25 19:16:22.455481,29.43,100048.00,12.00,106.85
2022-03-25 19:16:32.488969,29.38,100043.00,12.00,107.27
2022-03-25 19:16:42.522512,29.44,100045.00,13.00,107.10
2022-03-25 19:16:52.541551,29.50,100043.00,13.00,107.27
2022-03-25 19:17:02.575400,29.39,100042.00,12.00,107.35
2022-03-25 19:17:12.609378,29.24,100040.00,11.00,107.52
2022-03-25 19:17:22.628209,29.19,100039.00,12.00,107.61
2022-03-25 19:17:32.661883,29.25,100038.00,11.00,107.69
2022-03-25 19:17:42.695577,29.22,100036.00,13.00,107.86
2022-03-25 19:17:52.714010,29.27,100039.00,11.00,107.61
2022-03-25 19:18:02.747677,29.30,100038.00,12.00,107.69
2022-03-25 19:18:12.780380,29.45,100040.00,12.00,107.52
2022-03-25 19:18:22.799167,29.54,100039.00,11.00,107.61
2022-03-25 19:18:32.832995,29.60,100041.00,10.00,107.44
2022-03-25 19:18:42.851978,29.62,100039.00,10.00,107.61
2022-03-25 19:18:52.885830,29.60,100037.00,10.00,107.77
2022-03-25 19:19:02.919549,29.58,100039.00,10.00,107.61
2022-03-25 19:19:12.953463,29.57,100039.00,11.00,107.61
2022-03-25 19:19:22.972293,29.40,100034.00,10.00,108.03
2022-03-25 19:19:33.006033,29.35,100033.00,11.00,108.11
2022-03-25 19:19:43.039464,29.46,100033.00,11.00,108.11
2022-03-25 19:19:53.057964,29.48,100036.00,11.00,107.86
2022-03-25 19:20:03.091446,29.34,100032.00,10.00,108.20
2022-03-25 19:20:13.124369,29.40,100033.00,10.00,108.11
2022-03-25 19:20:23.142794,29.38,100033.00,10.00,108.11
2022-03-25 19:20:33.176516,29.28,100031.00,10.00,108.28
2022-03-25 19:20:43.210055,29.29,100029.00,9.00,108.45
2022-03-25 19:20:53.228617,29.26,100031.00,9.00,108.28
2022-03-25 19:21:03.262292,29.29,100028.00,9.00,108.53
2022-03-25 19:21:13.296005,29.25,100028.00,10.00,108.53
2022-03-25 19:21:23.314857,29.28,100030.00,11.00,108.36
2022-03-25 19:21:33.348575,29.30,100028.00,10.00,108.53
2022-03-25 19:21:43.382319,29.23,100027.00,12.00,108.62
2022-03-25 19:21:53.415749,29.33,100026.00,10.00,108.70
2022-03-25 19:22:03.434303,29.32,100026.00,11.00,108.70
2022-03-25 19:22:13.467197,29.25,100026.00,11.00,108.70
2022-03-25 19:22:23.500957,29.26,100027.00,11.00,108.62
2022-03-25 19:22:33.519494,29.29,100028.00,11.00,108.53
2022-03-25 19:22:43.552873,29.32,100029.00,10.00,108.45
2022-03-25 19:22:53.586666,29.27,100026.00,11.00,108.70
2022-03-25 19:23:03.605167,29.24,100027.00,12.00,108.62
2022-03-25 19:23:13.638999,29.29,100028.00,12.00,108.53
2022-03-25 19:23:23.672690,29.28,100027.00,11.00,108.62
2022-03-25 19:23:33.691387,29.23,100027.00,11.00,108.62
2022-03-25 19:23:43.724659,29.20,100027.00,11.00,108.62
2022-03-25 19:23:53.758605,29.19,100027.00,10.00,108.62
2022-03-25 19:24:03.777336,29.11,100023.00,11.00,108.95
2022-03-25 19:24:13.810753,29.00,100021.00,11.00,109.12
2022-03-25 19:24:23.844358,28.95,100026.00,11.00,108.70
2022-03-25 19:24:33.862964,29.02,100022.00,11.00,109.04
2022-03-25 19:24:43.896088,29.12,100022.00,10.00,109.04
2022-03-25 19:24:53.929806,29.17,100023.00,10.00,108.95
2022-03-25 19:25:03.948384,29.23,100030.00,11.00,108.36
2022-03-25 19:25:13.981807,29.14,100027.00,11.00,108.62
2022-03-25 19:25:24.015679,29.14,100025.00,10.00,108.78
2022-03-25 19:25:34.049568,29.10,100024.00,10.00,108.87
2022-03-25 19:25:44.068351,29.11,100024.00,11.00,108.87
2022-03-25 19:25:54.101927,29.00,100024.00,11.00,108.87
2022-03-25 19:26:04.135550,29.01,100026.00,10.00,108.70
2022-03-25 19:26:14.153923,29.02,100026.00,11.00,108.70
2022-03-25 19:26:24.187333,28.98,100027.00,11.00,108.62
2022-03-25 19:26:34.220745,28.92,100030.00,11.00,108.36
2022-03-25 19:26:44.239215,28.83,100027.00,12.00,108.62
2022-03-25 19:26:54.272643,28.92,100028.00,11.00,108.53
2022-03-25 19:27:04.306466,28.96,100024.00,11.00,108.87
2022-03-25 19:27:14.324762,28.97,100021.00,10.00,109.12
2022-03-25 19:27:24.358162,28.97,100021.00,10.00,109.12
2022-03-25 19:27:34.391653,28.96,100023.00,11.00,108.95
2022-03-25 19:27:44.425225,28.98,100022.00,11.00,109.04
2022-03-25 19:27:54.443996,28.99,100019.00,11.00,109.29
2022-03-25 19:28:04.477435,28.99,100022.00,11.00,109.04
2022-03-25 19:28:14.510736,29.10,100021.00,12.00,109.12
2022-03-25 19:28:24.529218,29.13,100024.00,12.00,108.87
2022-03-25 19:28:34.563071,29.13,100021.00,10.00,109.12
2022-03-25 19:28:44.596673,29.22,100024.00,11.00,108.87
2022-03-25 19:28:54.615416,29.22,100022.00,12.00,109.04
2022-03-25 19:29:04.648778,29.23,100023.00,10.00,108.95
2022-03-25 19:29:14.682481,29.22,100018.00,10.00,109.37
2022-03-25 19:29:24.701017,29.28,100018.00,10.00,109.37
2022-03-25 19:29:34.735278,29.28,100023.00,10.00,108.95
2022-03-25 19:29:44.768824,29.28,100022.00,10.00,109.04
2022-03-25 19:29:54.787737,29.29,100018.00,10.00,109.37
2022-03-25 19:30:04.821591,29.28,100017.00,10.00,109.46
2022-03-25 19:30:14.854600,29.31,100019.00,11.00,109.29
2022-03-25 19:30:24.888485,29.32,100018.00,13.00,109.37
2022-03-25 19:30:34.907374,29.37,100017.00,12.00,109.46
2022-03-25 19:30:44.940595,29.40,100018.00,12.00,109.37
2022-03-25 19:30:54.974521,29.46,100019.00,12.00,109.29
