dateTime,luminance,voltage,raw
2022-03-25 19:09:26.494220,66.37,0.24,49
2022-03-25 19:09:38.480411,69.76,0.25,52
2022-03-25 19:09:50.481529,68.62,0.25,51
2022-03-25 19:10:02.467924,65.25,0.23,48
2022-03-25 19:10:14.469183,66.37,0.24,49
2022-03-25 19:10:26.455334,69.76,0.25,52
2022-03-25 19:10:38.441601,66.37,0.24,49
2022-03-25 19:10:50.442856,64.13,0.23,47
2022-03-25 19:11:02.444180,67.50,0.24,50
2022-03-25 19:11:14.430783,65.25,0.23,48
2022-03-25 19:11:26.431842,65.25,0.23,48
2022-03-25 19:11:38.418279,68.62,0.25,51
2022-03-25 19:11:50.419449,65.25,0.23,48
2022-03-25 19:12:02.421056,66.37,0.24,49
2022-03-25 19:12:14.407339,67.50,0.24,50
2022-03-25 19:12:26.408982,69.76,0.25,52
2022-03-25 19:12:38.410478,66.37,0.24,49
2022-03-25 19:12:50.396808,69.76,0.25,52
2022-03-25 19:13:02.398305,71.01,0.26,53
2022-03-25 19:13:14.384230,66.37,0.24,49
2022-03-25 19:13:26.385568,66.37,0.24,49
2022-03-25 19:13:38.371820,65.25,0.23,48
2022-03-25 19:13:50.372880,66.37,0.24,49
2022-03-25 19:14:02.359046,66.37,0.24,49
2022-03-25 19:14:14.360519,65.25,0.23,48
2022-03-25 19:14:26.346541,67.50,0.24,50
2022-03-25 19:14:38.347850,65.25,0.23,48
2022-03-25 19:14:50.334334,68.62,0.25,51
2022-03-25 19:15:02.335511,69.76,0.25,52
2022-03-25 19:15:14.337445,66.37,0.24,49
2022-03-25 19:15:26.338759,72.27,0.26,54
2022-03-25 19:15:38.340506,67.50,0.24,50
2022-03-25 19:15:50.326669,69.76,0.25,52
2022-03-25 19:16:02.328036,67.50,0.24,50
2022-03-25 19:16:14.314199,66.37,0.24,49
2022-03-25 19:16:26.315515,69.76,0.25,52
2022-03-25 19:16:38.302255,67.50,0.24,50
2022-03-25 19:16:50.303258,72.27,0.26,54
2022-03-25 19:17:02.289533,65.25,0.23,48
2022-03-25 19:17:14.290402,69.76,0.25,52
2022-03-25 19:17:26.276767,67.50,0.24,50
2022-03-25 19:17:38.278553,69.76,0.25,52
2022-03-25 19:17:50.279721,64.13,0.23,47
2022-03-25 19:18:02.266092,71.01,0.26,53
2022-03-25 19:18:14.267441,65.25,0.23,48
2022-03-25 19:18:26.253672,64.13,0.23,47
2022-03-25 19:18:38.254961,64.13,0.23,47
2022-03-25 19:18:50.256522,72.27,0.26,54
2022-03-25 19:19:02.242965,69.76,0.25,52
2022-03-25 19:19:14.244516,67.50,0.24,50
2022-03-25 19:19:26.230731,65.25,0.23,48
2022-03-25 19:19:38.232038,67.50,0.24,50
2022-03-25 19:19:50.233463,71.01,0.26,53
2022-03-25 19:20:02.219989,66.37,0.24,49
2022-03-25 19:20:14.221291,69.76,0.25,52
2022-03-25 19:20:26.207542,72.27,0.26,54
2022-03-25 19:20:38.208732,72.27,0.26,54
2022-03-25 19:20:50.210260,66.37,0.24,49
2022-03-25 19:21:02.196529,65.25,0.23,48
2022-03-25 19:21:14.197910,65.25,0.23,48
2022-03-25 19:21:26.184174,65.25,0.23,48
2022-03-25 19:21:38.185364,65.25,0.23,48
2022-03-25 19:21:50.186824,72.27,0.26,54
2022-03-25 19:22:02.172852,69.76,0.25,52
2022-03-25 19:22:14.159105,67.50,0.24,50
2022-03-25 19:22:26.160702,67.50,0.24,50
2022-03-25 19:22:38.161851,66.37,0.24,49
2022-03-25 19:22:50.148294,67.50,0.24,50
2022-03-25 19:23:02.149560,67.50,0.24,50
2022-03-25 19:23:14.135958,66.37,0.24,49
2022-03-25 19:23:26.137540,68.62,0.25,51
2022-03-25 19:23:38.138724,71.01,0.26,53
2022-03-25 19:23:50.125499,65.25,0.23,48
2022-03-25 19:24:02.126700,67.50,0.24,50
2022-03-25 19:24:14.128285,67.50,0.24,50
2022-03-25 19:24:26.129686,67.50,0.24,50
2022-03-25 19:24:38.116380,65.25,0.23,48
2022-03-25 19:24:50.117766,64.13,0.23,47
2022-03-25 19:25:02.119259,65.25,0.23,48
2022-03-25 19:25:14.105720,68.62,0.25,51
2022-03-25 19:25:26.107011,68.62,0.25,51
2022-03-25 19:25:38.093411,65.25,0.23,48
2022-03-25 19:25:50.094832,72.27,0.26,54
2022-03-25 19:26:02.096033,65.25,0.23,48
2022-03-25 19:26:14.082189,67.50,0.24,50
2022-03-25 19:26:26.083601,68.62,0.25,51
2022-03-25 19:26:38.084985,68.62,0.25,51
2022-03-25 19:26:50.071541,68.62,0.25,51
2022-03-25 19:27:02.073238,65.25,0.23,48
2022-03-25 19:27:14.059212,72.27,0.26,54
2022-03-25 19:27:26.060550,69.76,0.25,52
2022-03-25 19:27:38.061788,66.37,0.24,49
2022-03-25 19:27:50.048268,68.62,0.25,51
2022-03-25 19:28:02.049550,66.37,0.24,49
2022-03-25 19:28:14.035940,71.01,0.26,53
2022-03-25 19:28:26.036992,67.50,0.24,50
2022-03-25 19:28:38.023383,66.37,0.24,49
2022-03-25 19:28:50.024831,69.76,0.25,52
2022-03-25 19:29:02.011360,65.25,0.23,48
2022-03-25 19:29:14.012381,66.37,0.24,49
2022-03-25 19:29:25.998590,66.37,0.24,49
2022-03-25 19:29:37.999779,66.37,0.24,49
2022-03-25 19:29:50.001310,69.76,0.25,52
2022-03-25 19:30:01.987537,67.50,0.24,50
2022-03-25 19:30:13.988816,67.50,0.24,50
2022-03-25 19:30:25.974972,71.01,0.26,53
2022-03-25 19:30:37.976387,67.50,0.24,50
2022-03-25 19:30:49.962318,67.50,0.24,50
2022-03-25 19:31:01.948756,67.50,0.24,50
2022-03-25 19:31:13.950280,65.25,0.23,48
2022-03-25 19:31:25.951731,66.37,0.24,49
2022-03-25 19:31:37.953393,67.50,0.24,50
2022-03-25 19:31:49.939612,66.37,0.24,49
2022-03-25 19:32:01.940668,71.01,0.26,53
2022-03-25 19:32:13.927101,66.37,0.24,49
2022-03-25 19:32:25.928466,67.50,0.24,50
2022-03-25 19:32:37.914885,68.62,0.25,51
2022-03-25 19:32:49.916060,66.37,0.24,49
2022-03-25 19:33:01.902736,69.76,0.25,52
2022-03-25 19:33:13.904052,72.27,0.26,54
2022-03-25 19:33:25.890111,65.25,0.23,48
2022-03-25 19:33:37.891558,66.37,0.24,49
2022-03-25 19:33:49.893002,69.76,0.25,52
2022-03-25 19:34:01.879433,66.37,0.24,49
2022-03-25 19:34:13.880712,68.62,0.25,51
2022-03-25 19:34:25.866946,65.25,0.23,48
2022-03-25 19:34:37.868082,65.25,0.23,48
2022-03-25 19:34:49.854261,65.25,0.23,48
2022-03-25 19:35:01.855749,67.50,0.24,50
2022-03-25 19:35:13.842227,67.50,0.24,50
2022-03-25 19:35:25.843687,67.50,0.24,50
2022-03-25 19:35:37.845081,66.37,0.24,49
2022-03-25 19:35:49.846477,69.76,0.25,52
2022-03-25 19:36:01.832657,67.50,0.24,50
2022-03-25 19:36:13.818948,67.50,0.24,50
2022-03-25 19:36:25.820304,71.01,0.26,53
2022-03-25 19:36:37.821795,71.01,0.26,53
2022-03-25 19:36:49.808293,68.62,0.25,51
2022-03-25 19:37:01.809673,65.25,0.23,48
2022-03-25 19:37:13.811305,65.25,0.23,48
2022-03-25 19:37:25.797812,66.37,0.24,49
2022-03-25 19:37:37.798969,66.37,0.24,49
2022-03-25 19:37:49.785089,66.37,0.24,49
2022-03-25 19:38:01.786752,67.50,0.24,50
2022-03-25 19:38:13.788244,67.50,0.24,50
2022-03-25 19:38:25.774480,68.62,0.25,51
2022-03-25 19:38:37.776386,69.76,0.25,52
2022-03-25 19:38:49.777733,66.37,0.24,49
2022-03-25 19:39:01.779253,68.62,0.25,51
2022-03-25 19:39:13.765416,71.01,0.26,53
2022-03-25 19:39:25.766826,72.27,0.26,54
2022-03-25 19:39:37.753413,69.76,0.25,52
2022-03-25 19:39:49.755026,73.52,0.27,55
2022-03-25 19:40:01.755959,66.37,0.24,49
2022-03-25 19:40:13.742247,67.50,0.24,50
2022-03-25 19:40:25.743565,66.37,0.24,49
2022-03-25 19:40:37.729892,64.13,0.23,47
2022-03-25 19:40:49.731273,72.27,0.26,54
2022-03-25 19:41:01.717427,65.25,0.23,48
2022-03-25 19:41:13.718726,71.01,0.26,53
2022-03-25 19:41:25.720487,69.76,0.25,52
2022-03-25 19:41:37.706726,66.37,0.24,49
2022-03-25 19:41:49.708270,66.37,0.24,49
2022-03-25 19:42:01.709546,66.37,0.24,49
2022-03-25 19:42:13.711145,68.62,0.25,51
2022-03-25 19:42:25.697290,66.37,0.24,49
2022-03-25 19:42:37.698535,65.25,0.23,48
2022-03-25 19:42:49.685335,69.76,0.25,52
2022-03-25 19:43:01.686309,68.62,0.25,51
2022-03-25 19:43:13.672822,65.25,0.23,48
2022-03-25 19:43:25.674188,69.76,0.25,52
2022-03-25 19:43:37.660318,66.37,0.24,49
2022-03-25 19:43:49.661612,65.25,0.23,48
2022-03-25 19:44:01.647864,71.01,0.26,53
2022-03-25 19:44:13.649090,68.62,0.25,51
2022-03-25 19:44:25.650477,66.37,0.24,49
2022-03-25 19:44:37.636709,71.01,0.26,53
2022-03-25 19:44:49.638039,73.52,0.27,55
2022-03-25 19:45:01.624259,65.25,0.23,48
2022-03-25 19:45:13.625661,65.25,0.23,48
2022-03-25 19:45:25.611640,66.37,0.24,49
2022-03-25 19:45:37.612908,68.62,0.25,51
2022-03-25 19:45:49.599021,64.13,0.23,47
2022-03-25 19:46:01.600347,65.25,0.23,48
2022-03-25 19:46:13.586657,67.50,0.24,50
2022-03-25 19:46:25.588078,72.27,0.26,54
2022-03-25 19:46:37.574025,69.76,0.25,52
2022-03-25 19:46:49.575365,67.50,0.24,50
2022-03-25 19:47:01.561637,67.50,0.24,50
2022-03-25 19:47:13.563070,65.25,0.23,48
2022-03-25 19:47:25.549161,68.62,0.25,51
2022-03-25 19:47:37.550252,66.37,0.24,49
2022-03-25 19:47:49.536505,71.01,0.26,53
2022-03-25 19:48:01.537759,68.62,0.25,51
2022-03-25 19:48:13.524057,66.37,0.24,49
2022-03-25 19:48:25.525625,66.37,0.24,49
2022-03-25 19:48:37.527208,69.76,0.25,52
2022-03-25 19:48:49.513448,67.50,0.24,50
2022-03-25 19:49:01.514621,71.01,0.26,53
2022-03-25 19:49:13.501017,67.50,0.24,50
2022-03-25 19:49:25.502210,71.01,0.26,53
2022-03-25 19:49:37.503384,72.27,0.26,54
2022-03-25 19:49:49.490010,66.37,0.24,49
2022-03-25 19:50:01.491521,68.62,0.25,51
2022-03-25 19:50:13.477585,65.25,0.23,48
2022-03-25 19:50:25.478769,66.37,0.24,49
2022-03-25 19:50:37.480534,66.37,0.24,49
