dateTime,pm1,pm2_5,pm10
2022-03-25 19:09:34.065871,3,4,7
2022-03-25 19:09:44.106510,3,4,7
2022-03-25 19:09:54.131752,3,4,7
2022-03-25 19:10:04.172481,2,3,6
2022-03-25 19:10:14.197627,2,3,6
2022-03-25 19:10:24.238173,3,4,7
2022-03-25 19:10:34.263402,2,3,6
2022-03-25 19:10:44.304001,3,4,7
2022-03-25 19:10:54.329432,3,4,7
2022-03-25 19:11:04.369973,2,3,6
2022-03-25 19:11:14.395250,3,4,7
2022-03-25 19:11:24.435709,3,4,7
2022-03-25 19:11:34.476078,3,4,7
2022-03-25 19:11:44.501475,3,4,7
2022-03-25 19:11:54.542110,3,4,7
2022-03-25 19:12:04.567122,3,4,7
2022-03-25 19:12:14.607804,3,4,7
2022-03-25 19:12:24.648513,3,4,7
2022-03-25 19:12:34.673636,2,3,6
2022-03-25 19:12:44.714241,3,4,7
2022-03-25 19:12:54.739498,3,4,7
2022-03-25 19:13:04.779904,3,4,7
2022-03-25 19:13:14.805235,3,4,7
2022-03-25 19:13:24.845782,3,4,7
2022-03-25 19:13:34.886411,3,4,7
2022-03-25 19:13:44.911571,3,4,7
2022-03-25 19:13:54.952242,3,4,7
2022-03-25 19:14:04.977778,3,4,7
2022-03-25 19:14:15.018154,3,4,7
2022-03-25 19:14:25.043480,3,4,7
2022-03-25 19:14:35.084076,3,4,7
2022-03-25 19:14:45.109332,3,4,7
2022-03-25 19:14:55.149596,3,4,7
2022-03-25 19:15:05.190230,3,4,7
2022-03-25 19:15:15.215440,3,4,7
2022-03-25 19:15:25.240811,3,4,7
2022-03-25 19:15:35.281013,3,4,7
2022-03-25 19:15:45.306134,3,4,7
2022-03-25 19:15:55.346756,3,4,7
2022-03-25 19:16:05.387304,3,4,7
2022-03-25 19:16:15.412563,3,4,7
2022-03-25 19:16:25.453211,2,3,6
2022-03-25 19:16:35.478413,2,3,6
2022-03-25 19:16:45.518893,2,3,6
2022-03-25 19:16:55.559571,2,3,6
2022-03-25 19:17:05.584684,3,4,7
2022-03-25 19:17:15.625393,3,4,7
2022-03-25 19:17:25.650728,2,3,6
2022-03-25 19:17:35.691052,2,3,6
2022-03-25 19:17:45.716459,3,4,7
2022-03-25 19:17:55.756773,3,4,7
2022-03-25 19:18:05.781947,3,4,7
2022-03-25 19:18:15.822590,2,3,6
