Labels,Scientific name,Common name
0,Abroscopus superciliaris,Yellow-bellied Warbler
1,Aburria aburri,Wattled Guan
2,Acanthagenys rufogularis,Spiny-cheeked Honeyeater
3,Acanthis cabaret,Lesser Redpoll
4,Acanthis flammea,Common Redpoll
5,Acanthis hornemanni,Hoary Redpoll
6,Acanthiza chrysorrhoa,Yellow-rumped Thornbill
7,Acanthiza pusilla,Brown Thornbill
8,Acanthorhynchus tenuirostris,Eastern Spinebill
9,Accipiter badius,Shikra
10,Accipiter bicolor,Bicolored Hawk
11,Accipiter cooperii,Cooper's Hawk
12,Accipiter fasciatus,Brown Goshawk
13,Accipiter gentilis,Northern Goshawk
14,Accipiter nisus,Eurasian Sparrowhawk
15,Accipiter striatus,Sharp-shinned Hawk
16,Accipiter tachiro,African Goshawk
17,Acridotheres cristatellus,Crested Myna
18,Acridotheres fuscus,Jungle Myna
19,Acridotheres tristis,Common Myna
20,Acris crepitans,Northern Cricket Frog
21,Acris gryllus,Southern Cricket Frog
22,Acrocephalus agricola,Paddyfield Warbler
23,Acrocephalus arundinaceus,Great Reed Warbler
24,Acrocephalus australis,Australian Reed Warbler
25,Acrocephalus bistrigiceps,Black-browed Reed Warbler
26,Acrocephalus dumetorum,Blyth's Reed Warbler
27,Acrocephalus gracilirostris,Lesser Swamp Warbler
28,Acrocephalus melanopogon,Moustached Warbler
29,Acrocephalus orientalis,Oriental Reed Warbler
30,Acrocephalus palustris,Marsh Warbler
31,Acrocephalus schoenobaenus,Sedge Warbler
32,Acrocephalus scirpaceus,Eurasian Reed Warbler
33,Acrocephalus stentoreus,Clamorous Reed Warbler
34,Acropternis orthonyx,Ocellated Tapaculo
35,Actinodura strigula,Chestnut-tailed Minla
36,Actitis hypoleucos,Common Sandpiper
37,Actitis macularius,Spotted Sandpiper
38,Adelomyia melanogenys,Speckled Hummingbird
39,Aechmophorus clarkii,Clark's Grebe
40,Aechmophorus occidentalis,Western Grebe
41,Aegithalos caudatus,Long-tailed Tit
42,Aegithalos concinnus,Black-throated Tit
43,Aegithina tiphia,Common Iora
44,Aegolius acadicus,Northern Saw-whet Owl
45,Aegolius funereus,Boreal Owl
46,Aegotheles cristatus,Australian Owlet-nightjar
47,Aeronautes saxatalis,White-throated Swift
48,Aethopyga christinae,Fork-tailed Sunbird
49,Aethopyga nipalensis,Green-tailed Sunbird
50,Aethopyga siparaja,Crimson Sunbird
51,Agapornis roseicollis,Rosy-faced Lovebird
52,Agelaioides badius,Grayish Baywing
53,Agelaius phoeniceus,Red-winged Blackbird
54,Agelaius tricolor,Tricolored Blackbird
