mac_address,name,node_type,device_type,in_use,,,,,
001e06318c91,Central Hub 1,Central Node,XU4,1,,,,,
a84041ffff2037bc,Central Hub 1,Central Node,Dragino ,1,,,,,
00044bec2707,Central Hub 1,Central Node,Jetson,0,,,,,
001e0642c3d6,Central Hub 1,Central Node,N2,1,,,,,
001e06373724,Central Hub 2,Central Node,XU4,1,,,,,
a84041ffff2058a4,Central Hub 2,Central Node,Dragino ,1,,,,,
00044be6fea1,Central Hub 2,Central Node,Jetson,1,,,,,
Not Yet Installed,Central Hub 2,Central Node,N2 ,0,,,,,
001e0637371e,Central Hub 3,Central Node,XU4,1,,,,,
a84041ffff206194,Central Hub 3,Central Node,Dragino ,1,,,,,
00044be5fc9c,Central Hub 3,Central Node,Jetson,1,,,,,
Not Yet Installed,Central Hub 3,Central Node,N2 ,0,,,,,
001e06373996,Central Hub 4,Central Node,XU4,1,,,,,
a84041ffff205e64,Central Hub 4,Central Node,Dragino ,1,,,,,
00044be5fc9d,Central Hub 4,Central Node,Jetson,0,,,,,
001e0643022b,Central Hub 4,Central Node,N2 ,1,,,,,
001e063739c7,Central Hub 5,Central Node,XU4,1,,,,,
a84041ffff203c80,Central Hub 5,Central Node,Dragino ,1,,,,,
00044bec2ca6,Central Hub 5,Central Node,Jetson,0,,,,,
001e0642ff0f,Central Hub 5,Central Node,N2 ,1,,,,,
001e063739cd,Central Hub 6,Central Node,XU4,1,,,,,
a84041ffff206214,Central Hub 6,Central Node,Dragino ,1,,,,,
000000000001,Central Hub 6,Central Node,Jetson,0,,,,,
001e064300d3,Central Hub 6,Central Node,N2 ,1,,,,,
001e0636e547,Central Hub 7,Central Node,XU4,1,,,,,
a84041ffff203ccc,Central Hub 7,Central Node,Dragino ,1,,,,,
00e04c680001,Central Hub 7,Central Node,Jetson,0,,,,,
001e06430225,Central Hub 7,Central Node,N2 ,1,,,,,
001e06323a37,Central Hub 8,Central Node,XU4,1,,,,,
a84041ffff205984,Central Hub 8,Central Node,Dragino ,1,,,,,
00044bebddd8,Central Hub 8,Central Node,Jetson,0,,,,,
001e06430224,Central Hub 8,Central Node,N2 ,1,,,,,
001e0637372e,Central Hub 9,Central Node,XU4,1,,,,,
a84041ffff206240,Central Hub 9,Central Node,Dragino ,1,,,,,
00e04c680190,Central Hub 9,Central Node,Jetson,0,,,,,
001e064300d0,Central Hub 9,Central Node,N2 ,1,,,,,
001e06318c9d,Central Hub 10,Central Node,XU4,1,,,,,
a84041ffff205774,Central Hub 10,Central Node,Dragino ,1,,,,,
48b02d3d4f3d,Central Hub 10,Central Node,Jetson,0,,,,,
001e0643022a,Central Hub 10,Central Node,N2 ,1,,,,,
001e06323a12,UTD Node 1,UTD Node ,XU4,1,,,,,
001e06318cd1,UTD Node 2,UTD Node ,XU4,0,,,,,
001e06305a61,UTD Node 3,UTD Node ,XU4,1,,,,,
001e06323a05,UTD Node 4,UTD Node ,XU4,1,,,,,
001e06305a57,UTD Node 5,UTD Node ,XU4,1,,,,,
001e063059c2,UTD Node 6,UTD Node ,XU4,1,,,,,
001e06318c28,UTD Node 7,UTD Node ,XU4,1,,,,,
001e06305a6b,UTD Node 8,UTD Node ,XU4,1,,,,,
001e063239e3,UTD Node 9,UTD Node ,XU4,1,,,,,
001e06305a6c,UTD Node 10,UTD Node ,XU4,1,,,,,
001e063239e6,UTD Node 11,UTD Node ,XU4,1,,,,,
001e06305a0a,UTD Node 12,UTD Node ,XU4,1,,,,,
001e06318cee,UTD Node 13,UTD Node ,XU4,1,,,,,
001e06318cf1,UTD Node 14,UTD Node ,XU4,1,,,,,
001e063059c1,UTD Node 15,UTD Node ,XU4,1,,,,,
001e063239e4,UTD Node 16,UTD Node ,XU4,1,,,,,
001e06323952,UTD Node 17,UTD Node ,XU4,0,,,,,
001e06305a2c,UTD Node 18,UTD Node ,XU4,1,,,,,
001e06323a06,UTD Node 19,UTD Node ,XU4,1,,,,,
001e06305a12,UTD Node 20,UTD Node ,XU4,1,,,,,
001e06303b4f,UTD Node 21,UTD Node ,XU4,1,,,,,
001e06318c3c,UTD Node 22,UTD Node ,XU4,1,,,,,
475a5fe30021002d,LoRa Node 002,LoRa Node,RHF76-052AM,1,,,,,
472b544e0018003c,LoRa Node 003,LoRa Node,RHF76-052AM,1,,,,,
47db558000400039,LoRa Node 004,LoRa Node,RHF76-052AM,1,,,,,
472b544e001b003c,LoRa Node 005,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30024001c,LoRa Node 006,LoRa Node,RHF76-052AM,1,,,,,
47db558000410047,LoRa Node 007,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300340018,LoRa Node 008,LoRa Node,RHF76-052AM,1,,,,,
47eb5580003c001a,LoRa Node 009,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3003e0023,LoRa Node 010,LoRa Node,RHF76-052AM,1,,,,,
472b544e00230033,LoRa Node 011,LoRa Node,RHF76-052AM,1,,,,,
472b544e00240036,LoRa Node 012,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3003b001b,LoRa Node 013,LoRa Node,RHF76-052AM,1,,,,,
47cb5580003a001c,LoRa Node 014,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300440023,LoRa Node 015,LoRa Node,RHF76-052AM,1,,,,,
47db558000240039,LoRa Node 016,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3003c0023,LoRa Node 017,LoRa Node,RHF76-052AM,1,,,,,
472b544e0024002b,LoRa Node 018,LoRa Node,RHF76-052AM,1,,,,,
47db558000330044,LoRa Node 019,LoRa Node,RHF76-052AM,1,,,,,
47db5580001e0039,LoRa Node 020,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000589b5,LoRa Node 021,LoRa Node,RHF76-052AM,1,,,,,
472b544e002d004b,LoRa Node 022,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30033001a,LoRa Node 023,LoRa Node,RHF76-052AM,1,,,,,
476a5fe30022002b,LoRa Node 024,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300480023,LoRa Node 025,LoRa Node,RHF76-052AM,1,,,,,
472b544e00250042,LoRa Node 026,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059fd3,LoRa Node 027,LoRa Node,RHF76-052AM,1,,,,,
47eb5580002f0019,LoRa Node 028,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30035001b,LoRa Node 029,LoRa Node,RHF76-052AM,1,,,,,
47db5580002f0042,LoRa Node 030,LoRa Node,RHF76-052AM,1,,,,,
477b41f200470032,LoRa Node 031,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002e001f,LoRa Node 032,LoRa Node,RHF76-052AM,1,,,,,
47db5fe300200033,LoRa Node 033,LoRa Node,RHF76-052AM,1,,,,,
472b544e0024004b,LoRa Node 034,LoRa Node,RHF76-052AM,1,,,,,
472b544e00270032,LoRa Node 035,LoRa Node,RHF76-052AM,1,,,,,
47db5580002b0039,LoRa Node 036,LoRa Node,RHF76-052AM,1,,,,,
471b41f200340049,LoRa Node 037,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300400022,LoRa Node 038,LoRa Node,RHF76-052AM,1,,,,,
478b5fe30040004b,LoRa Node 039,LoRa Node,RHF76-052AM,1,,,,,
477b41f2004c0035,LoRa Node 040,LoRa Node,RHF76-052AM,1,,,,,
477b41f20048001f,LoRa Node 041,LoRa Node,RHF76-052AM,1,,,,,
478b5fe3002c0019,LoRa Node 042,LoRa Node,RHF76-052AM,1,,,,,
47db558000420035,LoRa Node 043,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002f001b,LoRa Node 044,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30035001a,LoRa Node 045,LoRa Node,RHF76-052AM,1,,,,,
477b41f20049002f,LoRa Node 046,LoRa Node,RHF76-052AM,1,,,,,
47bb5580002d0049,LoRa Node 047,LoRa Node,RHF76-052AM,1,,,,,
47fb558000450044,LoRa Node 048,LoRa Node,RHF76-052AM,1,,,,,
47fb5fe30039004a,LoRa Node 049,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002a001a,LoRa Node 050,LoRa Node,RHF76-052AM,1,,,,,
47db558000390039,LoRa Node 051,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300200021,LoRa Node 052,LoRa Node,RHF76-052AM,1,,,,,
47cb55800041001c,LoRa Node 053,LoRa Node,RHF76-052AM,1,,,,,
472b544e0028002b,LoRa Node 054,LoRa Node,RHF76-052AM,1,,,,,
471b41f20034004a,LoRa Node 055,LoRa Node,RHF76-052AM,1,,,,,
47db558000340048,LoRa Node 056,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30031001f,LoRa Node 057,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300320019,LoRa Node 058,LoRa Node,RHF76-052AM,1,,,,,
479b5580001a0031,LoRa Node 059,LoRa Node,RHF76-052AM,1,,,,,
47db558000350047,LoRa Node 060,LoRa Node,RHF76-052AM,1,,,,,
479b558000320033,LoRa Node 061,LoRa Node,RHF76-052AM,1,,,,,
476a5fe300330021,LoRa Node 062,LoRa Node,RHF76-052AM,1,,,,,
476a5fe3003f0021,LoRa Node 063,LoRa Node,RHF76-052AM,1,,,,,
47bb5580001f0020,LoRa Node 064,LoRa Node,RHF76-052AM,1,,,,,
476a5fe300420032,LoRa Node 065,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30038001a,LoRa Node 066,LoRa Node,RHF76-052AM,1,,,,,
475b41f20037001e,LoRa Node 067,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3003b0022,LoRa Node 068,LoRa Node,RHF76-052AM,1,,,,,
47cb558000220031,LoRa Node 069,LoRa Node,RHF76-052AM,1,,,,,
