mac_address,name,node_type,device_type,in_use,,,,,
70b3d540f40ce423,Indoor IQ Node 01,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce429,Indoor IQ Node 02,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce435,Indoor IQ Node 03,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce430,Indoor IQ Node 04,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce41f,Indoor IQ Node 05,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce43c,Indoor IQ Node 06,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce420,Indoor IQ Node 07,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce425,Indoor IQ Node 08,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce438,Indoor IQ Node 09,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce436,Indoor IQ Node 10,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce433,Indoor IQ Node 11,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce43a,Indoor IQ Node 12,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce422,Indoor IQ Node 13,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce421,Indoor IQ Node 14,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce427,Indoor IQ Node 15,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce426,Indoor IQ Node 16,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce42f,Indoor IQ Node 17,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce434,Indoor IQ Node 18,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce424,Indoor IQ Node 19,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce42d,Indoor IQ Node 20,Indoor IQ Node,D739FSENSE,1,,,,,
70b3d540f40ce43b,Indoor IQ Node 21,Indoor IQ Node,D739FSENSE,1,,,,,
