nodename,nodeID,pmSensor,climateSensor,gpsSensor,latitude,longitude,altitude,activity
vaLo Node 01,2cf7f1203230480a,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 01,001e064a1520,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 02,2cf7f12032302d45,IPS7100,BME280V2,GPSGPGGA2,32.986,-96.6345,175.383,1
vaLo Node 02,001e064a87a6,IPS7100,BME280V2,GPSGPGGA2,32.986,-96.6345,175.383,1
vaLo Node 03,2cf7f1203230216e,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 03,001e064a870a,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 04,2cf7f12032301ecb,IPS7100,BME280V2,GPSGPGGA2,32.847260, -97.108810,200,1
vaLo Node 04,001e064a87be,IPS7100,BME280V2,GPSGPGGA2,32.847260,-97.108810,200,1
vaLo Node 05,2cf7f1203230291a,IPS7100,BME280V2,GPSGPGGA2,33.10291537434161,-96.6267375319792,200,1
vaLo Node 05,001e064a8687,IPS7100,BME280V2,GPSGPGGA2,33.10291537434161,-96.6267375319792,200,1
vaLo Node 06,2cf7f1203230214b,IPS7100,BME280V2,GPSGPGGA2,32.759155, -97.342342,200,1
vaLo Node 06,001e064a8753,IPS7100,BME280V2,GPSGPGGA2,32.759155, -97.342342,200,1
vaLo Node 07,2cf7f12032301fda,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 07,001e064a869e,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 08,2cf7f12032301e9b,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 08,001e064a869c,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 09,2cf7f12032302e92,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 09,001e064a87c9,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 10,2cf7f12032302dd6,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 10,001e064a86ac,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 11,2cf7f1203230201d,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
vaLo Node 11,001e064a86c7,IPS7100,BME280V2,GPSGPGGA2,32.992199,-96.757895,200,1
Salor Node 01,a8610a3234408703,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 02,a8610a3230386e05,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 03,a8610a34323b6413,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 04,a8610a32302d6715,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 05,a8610a3233458b03,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 06,a8610a32333f7508,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 07,a8610a343232730e,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 08,a8610a3233368503,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 09,a8610a3432385d10,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 10,a8610a3432428d11,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 11,a8610a343246750e,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 12,a8610a3234208d16,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 13,a8610a32302f8404,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 14,a8610a3233349303,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 15,a8610a34322a8711,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 16,a8610a34321e6d13,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 17,a8610a3234296817,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 18,a8610a3233336204,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 19,a8610a3432256513,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 20,a8610a3230368504,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 21,a8610a3230408504,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 22,a8610a3233417008,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 23,a8610a32342c6317,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 24,a8610a32303f8004,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 25,a8610a3230247804,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 26,a8610a3234458a16,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 27,a8610a3230308304,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 28,a8610a32304b8504,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 29,a8610a3234458c16,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 30,a8610a3234298916,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
Salor Node 31,a8610a32342f6217,IPS7100,BME280V2,PA1010D,32.992199,-96.757895,200,1
