dateTime,c02,temperature,humidity
2022-03-25 19:09:27.865720,451,29.03,18.39
2022-03-25 19:09:37.896807,451,29.03,18.35
2022-03-25 19:09:47.928003,451,29.01,17.65
2022-03-25 19:09:57.959468,452,28.98,18.21
2022-03-25 19:10:07.975295,452,28.98,18.39
2022-03-25 19:10:18.005985,451,28.93,17.68
2022-03-25 19:10:28.037224,451,28.94,17.78
2022-03-25 19:10:38.053396,451,28.93,16.93
2022-03-25 19:10:48.084377,451,28.85,16.75
2022-03-25 19:10:58.115772,448,28.80,16.46
2022-03-25 19:11:08.146806,448,28.75,16.60
2022-03-25 19:11:18.163011,449,28.66,16.01
2022-03-25 19:11:28.194349,449,28.60,16.98
2022-03-25 19:11:38.225254,449,28.56,16.79
2022-03-25 19:11:48.241438,448,28.52,16.96
2022-03-25 19:11:58.272758,448,28.49,17.00
2022-03-25 19:12:08.303385,448,28.46,17.22
2022-03-25 19:12:18.334235,449,28.42,18.80
2022-03-25 19:12:28.350122,449,28.42,18.50
2022-03-25 19:12:38.381499,450,28.38,17.61
2022-03-25 19:12:48.412592,451,28.38,18.08
2022-03-25 19:12:58.428990,452,28.35,17.30
2022-03-25 19:13:08.460064,452,28.32,17.56
2022-03-25 19:13:18.491095,453,28.28,17.76
2022-03-25 19:13:28.507469,455,28.27,18.03
2022-03-25 19:13:38.538625,455,28.27,18.21
2022-03-25 19:13:48.570139,455,28.29,17.23
2022-03-25 19:13:58.601094,456,28.31,16.54
2022-03-25 19:14:08.617095,456,28.31,17.50
2022-03-25 19:14:18.648283,455,28.29,18.66
2022-03-25 19:14:28.679662,455,28.28,19.01
2022-03-25 19:14:38.695903,455,28.31,18.86
2022-03-25 19:14:48.726934,455,28.32,18.86
2022-03-25 19:14:58.758410,455,28.35,19.02
2022-03-25 19:15:08.789372,455,28.35,17.86
2022-03-25 19:15:18.805660,454,28.38,17.63
2022-03-25 19:15:28.836861,454,28.39,17.54
2022-03-25 19:15:38.868272,454,28.42,17.67
2022-03-25 19:15:48.884285,453,28.45,17.63
2022-03-25 19:15:58.915507,453,28.46,17.40
2022-03-25 19:16:08.945886,453,28.48,18.55
2022-03-25 19:16:18.976448,453,28.49,17.99
2022-03-25 19:16:28.992907,454,28.49,18.02
2022-03-25 19:16:39.023988,455,28.52,18.54
2022-03-25 19:16:49.055513,456,28.55,18.35
2022-03-25 19:16:59.071713,455,28.53,17.06
2022-03-25 19:17:09.102872,455,28.52,16.89
2022-03-25 19:17:19.133940,453,28.50,16.65
2022-03-25 19:17:29.149910,453,28.49,17.43
2022-03-25 19:17:39.181613,453,28.50,17.63
2022-03-25 19:17:49.212633,452,28.56,18.27
2022-03-25 19:17:59.244087,451,28.55,17.76
2022-03-25 19:18:09.260340,451,28.57,18.63
2022-03-25 19:18:19.291380,451,28.59,17.78
2022-03-25 19:18:29.322604,450,28.59,17.16
2022-03-25 19:18:39.338528,450,28.66,17.35
2022-03-25 19:18:49.370023,451,28.70,18.15
2022-03-25 19:18:59.401072,451,28.69,17.77
2022-03-25 19:19:09.432588,450,28.73,17.70
2022-03-25 19:19:19.448496,450,28.75,17.61
2022-03-25 19:19:29.479774,451,28.80,18.28
2022-03-25 19:19:39.511029,451,28.85,18.94
2022-03-25 19:19:49.527603,451,28.89,17.59
2022-03-25 19:19:59.558828,451,28.91,17.40
2022-03-25 19:20:09.589877,451,28.94,17.13
2022-03-25 19:20:19.620563,452,28.93,16.66
2022-03-25 19:20:29.636918,451,28.96,16.76
2022-03-25 19:20:39.667989,451,28.98,17.30
2022-03-25 19:20:49.699371,451,28.98,17.80
2022-03-25 19:20:59.715594,451,29.04,17.75
2022-03-25 19:21:09.746670,451,29.08,17.38
2022-03-25 19:21:19.777764,452,29.08,17.16
2022-03-25 19:21:29.808604,451,29.11,17.38
2022-03-25 19:21:39.824904,450,29.10,17.19
2022-03-25 19:21:49.856395,450,29.15,17.42
2022-03-25 19:21:59.887814,450,29.15,17.71
2022-03-25 19:22:09.903861,450,29.17,17.23
2022-03-25 19:22:19.934685,450,29.20,17.45
2022-03-25 19:22:29.966011,449,29.20,17.13
2022-03-25 19:22:39.996954,449,29.17,17.09
2022-03-25 19:22:50.013304,449,29.14,17.08
2022-03-25 19:23:00.044620,450,29.13,17.77
2022-03-25 19:23:10.075904,451,29.13,17.16
2022-03-25 19:23:20.092054,450,29.13,16.97
2022-03-25 19:23:30.123483,451,29.14,16.74
2022-03-25 19:23:40.154677,452,29.15,16.82
2022-03-25 19:23:50.185977,451,29.15,16.82
2022-03-25 19:24:00.202288,452,29.15,16.82
2022-03-25 19:24:10.233161,450,29.13,16.64
2022-03-25 19:24:20.264532,452,29.13,16.17
2022-03-25 19:24:30.280944,451,29.08,15.88
2022-03-25 19:24:40.311916,451,29.05,16.88
2022-03-25 19:24:50.343139,452,28.98,17.15
2022-03-25 19:25:00.359593,451,28.98,16.93
2022-03-25 19:25:10.390613,451,28.90,16.89
2022-03-25 19:25:20.421729,451,28.87,17.55
2022-03-25 19:25:30.452806,451,28.80,17.43
2022-03-25 19:25:40.468914,449,28.76,16.98
2022-03-25 19:25:50.500441,450,28.69,16.27
2022-03-25 19:26:00.531577,450,28.67,16.15
2022-03-25 19:26:10.547786,450,28.65,15.89
2022-03-25 19:26:20.578473,450,28.59,15.92
2022-03-25 19:26:30.609507,451,28.56,16.41
2022-03-25 19:26:40.640531,451,28.53,16.52
2022-03-25 19:26:50.656807,452,28.55,17.13
2022-03-25 19:27:00.688075,452,28.55,17.16
2022-03-25 19:27:10.719339,451,28.55,17.42
2022-03-25 19:27:20.735165,451,28.56,17.50
2022-03-25 19:27:30.766895,450,28.59,17.88
2022-03-25 19:27:40.798042,450,28.59,17.25
2022-03-25 19:27:50.829371,449,28.60,17.03
2022-03-25 19:28:00.845704,449,28.63,17.32
2022-03-25 19:28:10.876650,450,28.67,17.17
2022-03-25 19:28:20.907534,450,28.69,17.29
2022-03-25 19:28:30.924016,451,28.67,17.49
2022-03-25 19:28:40.955078,451,28.67,17.86
2022-03-25 19:28:50.986120,451,28.66,17.71
2022-03-25 19:29:01.001862,450,28.69,17.34
2022-03-25 19:29:11.033320,450,28.69,17.27
2022-03-25 19:29:21.064433,450,28.70,17.80
2022-03-25 19:29:31.095690,450,28.69,18.33
2022-03-25 19:29:41.112083,450,28.69,18.02
2022-03-25 19:29:51.143456,449,28.70,19.18
2022-03-25 19:30:01.174585,449,28.72,18.87
2022-03-25 19:30:11.205440,450,28.72,18.60
2022-03-25 19:30:21.220879,450,28.72,17.83
2022-03-25 19:30:31.252166,451,28.73,18.34
2022-03-25 19:30:41.283699,449,28.73,18.53
2022-03-25 19:30:51.299432,447,28.77,18.77
2022-03-25 19:31:01.330785,449,28.82,20.61
2022-03-25 19:31:11.361978,451,28.82,19.01
2022-03-25 19:31:21.378140,450,28.82,17.13
2022-03-25 19:31:31.409199,449,28.80,17.58
2022-03-25 19:31:41.440528,451,28.79,17.36
2022-03-25 19:31:51.471768,451,28.76,17.80
2022-03-25 19:32:01.487779,446,28.73,17.27
2022-03-25 19:32:11.518368,447,28.69,16.66
2022-03-25 19:32:21.549531,455,28.63,16.79
2022-03-25 19:32:31.565820,454,28.62,17.27
2022-03-25 19:32:41.596609,451,28.60,18.42
2022-03-25 19:32:51.628073,453,28.59,18.01
2022-03-25 19:33:01.659250,453,28.62,17.69
2022-03-25 19:33:11.675358,456,28.63,18.78
2022-03-25 19:33:21.706205,456,28.69,18.22
2022-03-25 19:33:31.737569,458,28.66,17.85
2022-03-25 19:33:41.754167,458,28.69,17.87
2022-03-25 19:33:51.785307,458,28.65,17.76
2022-03-25 19:34:01.816674,458,28.63,17.74
2022-03-25 19:34:11.832366,458,28.66,18.51
2022-03-25 19:34:21.863540,458,28.65,17.03
2022-03-25 19:34:31.894561,459,28.65,16.54
2022-03-25 19:34:41.925248,459,28.67,17.02
2022-03-25 19:34:51.941404,459,28.72,17.48
2022-03-25 19:35:01.972570,459,28.76,17.79
2022-03-25 19:35:12.003691,460,28.75,17.34
2022-03-25 19:35:22.019681,461,28.79,17.55
