dateTime,luminance,voltage,raw
2022-03-25 19:09:32.040705,64.13,0.23,47
2022-03-25 19:09:44.060293,63.01,0.22,46
2022-03-25 19:09:56.094322,64.13,0.23,47
2022-03-25 19:10:08.113471,65.25,0.23,48
2022-03-25 19:10:20.132689,64.13,0.23,47
2022-03-25 19:10:32.167045,64.13,0.23,47
2022-03-25 19:10:44.186284,63.01,0.22,46
2022-03-25 19:10:56.205204,64.13,0.23,47
2022-03-25 19:11:08.224354,63.01,0.22,46
2022-03-25 19:11:20.258761,64.13,0.23,47
2022-03-25 19:11:32.277811,64.13,0.23,47
2022-03-25 19:11:44.296896,65.25,0.23,48
2022-03-25 19:11:56.315958,63.01,0.22,46
2022-03-25 19:12:08.350394,63.01,0.22,46
2022-03-25 19:12:20.369674,64.13,0.23,47
2022-03-25 19:12:32.388624,64.13,0.23,47
2022-03-25 19:12:44.407656,61.89,0.22,45
2022-03-25 19:12:56.442282,63.01,0.22,46
2022-03-25 19:13:08.461081,64.13,0.23,47
2022-03-25 19:13:20.480195,63.01,0.22,46
2022-03-25 19:13:32.514748,63.01,0.22,46
2022-03-25 19:13:44.533759,65.25,0.23,48
2022-03-25 19:13:56.552897,63.01,0.22,46
2022-03-25 19:14:08.587487,64.13,0.23,47
2022-03-25 19:14:20.606706,64.13,0.23,47
2022-03-25 19:14:32.625653,63.01,0.22,46
2022-03-25 19:14:44.644896,61.89,0.22,45
2022-03-25 19:14:56.679186,64.13,0.23,47
2022-03-25 19:15:08.698300,63.01,0.22,46
2022-03-25 19:15:20.717358,63.01,0.22,46
2022-03-25 19:15:32.736360,64.13,0.23,47
2022-03-25 19:15:44.770934,63.01,0.22,46
2022-03-25 19:15:56.789973,63.01,0.22,46
2022-03-25 19:16:08.809059,64.13,0.23,47
2022-03-25 19:16:20.828032,63.01,0.22,46
2022-03-25 19:16:32.862589,64.13,0.23,47
2022-03-25 19:16:44.881634,63.01,0.22,46
2022-03-25 19:16:56.900769,63.01,0.22,46
2022-03-25 19:17:08.919650,63.01,0.22,46
2022-03-25 19:17:20.939105,64.13,0.23,47
2022-03-25 19:17:32.973382,63.01,0.22,46
2022-03-25 19:17:44.992480,63.01,0.22,46
2022-03-25 19:17:57.026955,64.13,0.23,47
2022-03-25 19:18:09.046065,64.13,0.23,47
2022-03-25 19:18:21.065361,64.13,0.23,47
2022-03-25 19:18:33.099837,64.13,0.23,47
2022-03-25 19:18:45.119189,63.01,0.22,46
2022-03-25 19:18:57.138337,64.13,0.23,47
2022-03-25 19:19:09.157490,65.25,0.23,48
2022-03-25 19:19:21.191538,64.13,0.23,47
2022-03-25 19:19:33.210604,63.01,0.22,46
2022-03-25 19:19:45.229612,64.13,0.23,47
2022-03-25 19:19:57.248751,64.13,0.23,47
2022-03-25 19:20:09.267807,63.01,0.22,46
2022-03-25 19:20:21.302296,63.01,0.22,46
2022-03-25 19:20:33.321243,64.13,0.23,47
2022-03-25 19:20:45.340508,64.13,0.23,47
2022-03-25 19:20:57.375035,64.13,0.23,47
2022-03-25 19:21:09.394199,64.13,0.23,47
2022-03-25 19:21:21.413533,64.13,0.23,47
2022-03-25 19:21:33.447612,64.13,0.23,47
2022-03-25 19:21:45.466613,64.13,0.23,47
2022-03-25 19:21:57.485704,64.13,0.23,47
2022-03-25 19:22:09.504853,63.01,0.22,46
2022-03-25 19:22:21.539327,63.01,0.22,46
2022-03-25 19:22:33.558785,64.13,0.23,47
2022-03-25 19:22:45.593146,64.13,0.23,47
2022-03-25 19:22:57.612312,64.13,0.23,47
2022-03-25 19:23:09.631373,63.01,0.22,46
2022-03-25 19:23:21.666182,63.01,0.22,46
2022-03-25 19:23:33.685491,64.13,0.23,47
2022-03-25 19:23:45.719773,63.01,0.22,46
2022-03-25 19:23:57.738833,63.01,0.22,46
2022-03-25 19:24:09.757889,64.13,0.23,47
2022-03-25 19:24:21.776963,64.13,0.23,47
2022-03-25 19:24:33.811374,64.13,0.23,47
2022-03-25 19:24:45.830680,65.25,0.23,48
2022-03-25 19:24:57.849648,63.01,0.22,46
2022-03-25 19:25:09.884215,64.13,0.23,47
2022-03-25 19:25:21.903332,64.13,0.23,47
2022-03-25 19:25:33.922301,64.13,0.23,47
2022-03-25 19:25:45.941417,63.01,0.22,46
2022-03-25 19:25:57.975870,63.01,0.22,46
2022-03-25 19:26:09.994963,64.13,0.23,47
2022-03-25 19:26:22.014079,64.13,0.23,47
2022-03-25 19:26:34.048609,64.13,0.23,47
2022-03-25 19:26:46.067625,63.01,0.22,46
2022-03-25 19:26:58.086866,63.01,0.22,46
2022-03-25 19:27:10.106254,64.13,0.23,47
2022-03-25 19:27:22.140351,64.13,0.23,47
2022-03-25 19:27:34.159516,65.25,0.23,48
2022-03-25 19:27:46.178980,65.25,0.23,48
2022-03-25 19:27:58.213294,64.13,0.23,47
2022-03-25 19:28:10.232422,63.01,0.22,46
2022-03-25 19:28:22.267032,64.13,0.23,47
2022-03-25 19:28:34.286714,64.13,0.23,47
2022-03-25 19:28:46.320934,65.25,0.23,48
2022-03-25 19:28:58.340084,61.89,0.22,45
2022-03-25 19:29:10.359161,64.13,0.23,47
2022-03-25 19:29:22.393588,64.13,0.23,47
2022-03-25 19:29:34.412608,63.01,0.22,46
2022-03-25 19:29:46.431698,64.13,0.23,47
2022-03-25 19:29:58.466532,64.13,0.23,47
2022-03-25 19:30:10.485473,65.25,0.23,48
2022-03-25 19:30:22.504587,63.01,0.22,46
2022-03-25 19:30:34.523959,63.01,0.22,46
2022-03-25 19:30:46.557970,64.13,0.23,47
2022-03-25 19:30:58.577114,64.13,0.23,47
2022-03-25 19:31:10.596601,64.13,0.23,47
2022-03-25 19:31:22.615833,64.13,0.23,47
2022-03-25 19:31:34.649857,64.13,0.23,47
2022-03-25 19:31:46.669033,64.13,0.23,47
2022-03-25 19:31:58.688001,63.01,0.22,46
2022-03-25 19:32:10.722562,63.01,0.22,46
2022-03-25 19:32:22.741487,64.13,0.23,47
2022-03-25 19:32:34.760601,63.01,0.22,46
2022-03-25 19:32:46.795200,64.13,0.23,47
2022-03-25 19:32:58.814296,65.25,0.23,48
2022-03-25 19:33:10.833360,65.25,0.23,48
2022-03-25 19:33:22.852462,64.13,0.23,47
2022-03-25 19:33:34.886892,64.13,0.23,47
2022-03-25 19:33:46.905942,64.13,0.23,47
2022-03-25 19:33:58.925110,64.13,0.23,47
2022-03-25 19:34:10.944121,64.13,0.23,47
2022-03-25 19:34:22.963135,63.01,0.22,46
2022-03-25 19:34:34.997756,65.25,0.23,48
2022-03-25 19:34:47.016675,65.25,0.23,48
2022-03-25 19:34:59.036044,64.13,0.23,47
2022-03-25 19:35:11.070412,64.13,0.23,47
2022-03-25 19:35:23.089613,64.13,0.23,47
2022-03-25 19:35:35.108589,65.25,0.23,48
2022-03-25 19:35:47.143032,61.89,0.22,45
2022-03-25 19:35:59.162061,63.01,0.22,46
2022-03-25 19:36:11.181112,63.01,0.22,46
2022-03-25 19:36:23.200195,65.25,0.23,48
2022-03-25 19:36:35.219369,65.25,0.23,48
2022-03-25 19:36:47.253680,65.25,0.23,48
2022-03-25 19:36:59.272775,65.25,0.23,48
2022-03-25 19:37:11.291930,65.25,0.23,48
2022-03-25 19:37:23.326387,64.13,0.23,47
2022-03-25 19:37:35.345547,64.13,0.23,47
2022-03-25 19:37:47.364742,64.13,0.23,47
2022-03-25 19:37:59.399225,64.13,0.23,47
2022-03-25 19:38:11.418281,63.01,0.22,46
2022-03-25 19:38:23.437685,64.13,0.23,47
2022-03-25 19:38:35.471821,64.13,0.23,47
2022-03-25 19:38:47.490926,63.01,0.22,46
2022-03-25 19:38:59.510011,64.13,0.23,47
