dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:31:11.331616,31832,33707,10121,6223,1086.79,-7040.20,-1.03
2022-03-25 19:31:15.527857,28710,31350,9060,5417,1392.19,-4856.75,-0.61
2022-03-25 19:31:48.104683,28557,31180,8976,5390,1461.58,-4731.70,-0.58
2022-03-25 19:31:58.116452,28588,31175,8950,5381,1562.27,-4644.25,-0.55
2022-03-25 19:32:08.128375,28612,31129,8917,5364,1682.14,-4563.15,-0.52
2022-03-25 19:32:18.155352,28729,31142,8919,5361,1798.69,-4550.80,-0.50
2022-03-25 19:32:28.167268,28759,31081,8922,5350,1836.66,-4601.40,-0.50
2022-03-25 19:32:38.194397,28642,30948,8903,5331,1787.11,-4645.10,-0.52
2022-03-25 19:32:48.206628,28538,30923,8895,5330,1702.20,-4644.75,-0.53
2022-03-25 19:32:58.233314,28405,30883,8867,5325,1638.01,-4593.40,-0.53
2022-03-25 19:33:08.245537,28301,30816,8831,5325,1613.93,-4554.20,-0.53
2022-03-25 19:33:18.272748,28232,30720,8800,5322,1617.74,-4553.50,-0.53
2022-03-25 19:33:28.284662,28171,30584,8775,5319,1616.23,-4610.50,-0.54
2022-03-25 19:33:38.312003,28129,30453,8758,5323,1606.65,-4698.35,-0.55
2022-03-25 19:33:48.323909,28063,30312,8740,5326,1576.62,-4791.50,-0.57
2022-03-25 19:33:58.351021,27994,30193,8736,5327,1515.17,-4900.45,-0.60
2022-03-25 19:34:08.363112,27888,30028,8737,5319,1417.59,-5054.40,-0.64
2022-03-25 19:34:18.389864,27809,29878,8732,5311,1360.33,-5175.65,-0.67
2022-03-25 19:34:28.401867,27819,29835,8729,5310,1378.32,-5208.05,-0.68
2022-03-25 19:34:38.428767,27790,29709,8689,5285,1471.37,-5172.30,-0.66
2022-03-25 19:34:48.441153,27955,29766,8693,5283,1630.15,-5123.60,-0.62
2022-03-25 19:34:58.468387,28042,29768,8678,5272,1765.08,-5058.10,-0.59
2022-03-25 19:35:08.480260,28069,29788,8647,5262,1874.20,-4929.15,-0.55
2022-03-25 19:35:18.507715,28158,29938,8643,5275,1954.79,-4790.10,-0.52
2022-03-25 19:35:28.519595,28156,30016,8619,5273,2008.73,-4637.80,-0.48
2022-03-25 19:35:38.546817,28177,30084,8618,5280,2022.64,-4579.10,-0.47
2022-03-25 19:35:48.558704,28235,30127,8638,5291,2021.61,-4614.35,-0.48
2022-03-25 19:35:58.570393,28350,30200,8682,5316,2005.68,-4714.90,-0.50
2022-03-25 19:36:08.597119,28398,30199,8692,5324,2020.84,-4759.40,-0.50
2022-03-25 19:36:18.609242,28528,30310,8723,5344,2055.42,-4774.85,-0.50
2022-03-25 19:36:28.636083,28524,30316,8725,5346,2044.32,-4778.25,-0.50
2022-03-25 19:36:38.647586,28543,30392,8748,5358,1996.30,-4791.10,-0.51
2022-03-25 19:36:48.674893,28536,30422,8754,5360,1973.32,-4782.30,-0.51
2022-03-25 19:36:58.687137,28593,30474,8762,5366,2004.58,-4764.40,-0.51
2022-03-25 19:37:08.714298,28695,30511,8765,5368,2097.26,-4739.75,-0.49
2022-03-25 19:37:18.741630,28848,30599,8782,5378,2199.22,-4719.40,-0.47
2022-03-25 19:37:28.753552,28992,30699,8797,5390,2293.96,-4684.65,-0.45
2022-03-25 19:37:38.780452,29124,30815,8811,5400,2381.58,-4627.45,-0.43
2022-03-25 19:37:48.792583,29226,30951,8824,5415,2434.77,-4556.05,-0.41
2022-03-25 19:37:58.820026,29309,31067,8836,5429,2472.51,-4499.95,-0.39
2022-03-25 19:38:08.847312,29349,31138,8836,5436,2503.20,-4441.20,-0.38
2022-03-25 19:38:18.859194,29451,31272,8865,5447,2526.19,-4412.00,-0.37
2022-03-25 19:38:28.886616,29477,31322,8880,5445,2521.55,-4402.75,-0.37
2022-03-25 19:38:38.898424,29539,31436,8914,5448,2504.08,-4394.30,-0.37
2022-03-25 19:38:48.925231,29562,31491,8931,5442,2497.32,-4378.95,-0.37
2022-03-25 19:38:58.937140,29639,31594,8965,5444,2496.18,-4379.75,-0.37
2022-03-25 19:39:08.964619,29674,31667,8994,5446,2464.14,-4395.80,-0.37
2022-03-25 19:39:18.976360,29665,31724,9021,5445,2396.53,-4416.70,-0.39
2022-03-25 19:39:29.003464,29608,31722,9037,5441,2309.33,-4458.90,-0.41
2022-03-25 19:39:39.015554,29554,31762,9081,5443,2154.99,-4552.20,-0.45
2022-03-25 19:39:49.042440,29448,31764,9124,5440,1957.52,-4671.80,-0.50
2022-03-25 19:39:59.069921,29320,31744,9169,5429,1744.25,-4805.30,-0.55
2022-03-25 19:40:09.081439,29224,31769,9219,5422,1546.56,-4915.55,-0.60
2022-03-25 19:40:19.093348,29152,31821,9257,5413,1402.17,-4959.90,-0.63
2022-03-25 19:40:29.120361,29058,31831,9267,5393,1312.57,-4944.40,-0.64
2022-03-25 19:40:39.147707,29034,31885,9288,5392,1243.28,-4950.60,-0.65
2022-03-25 19:40:49.159914,28976,31855,9293,5386,1182.16,-4984.85,-0.67
2022-03-25 19:40:59.187185,28877,31735,9286,5376,1112.00,-5066.70,-0.69
2022-03-25 19:41:09.214739,28806,31639,9282,5367,1061.85,-5135.15,-0.71
2022-03-25 19:41:19.227039,28748,31559,9294,5364,981.20,-5245.30,-0.74
2022-03-25 19:41:29.254077,28673,31438,9285,5357,935.49,-5327.50,-0.76
2022-03-25 19:41:39.266077,28675,31347,9267,5362,970.80,-5374.15,-0.77
2022-03-25 19:41:49.293056,28710,31281,9249,5368,1037.78,-5397.55,-0.76
2022-03-25 19:41:59.304763,28748,31165,9200,5364,1189.88,-5362.00,-0.73
2022-03-25 19:42:09.331654,28762,30974,9108,5346,1432.06,-5250.10,-0.67
2022-03-25 19:42:19.343692,28723,30763,9030,5326,1592.82,-5196.00,-0.64
2022-03-25 19:42:29.370585,28711,30621,8973,5313,1724.65,-5147.10,-0.61
2022-03-25 19:42:39.382486,28664,30520,8924,5297,1807.71,-5075.55,-0.59
2022-03-25 19:42:49.409273,28588,30453,8884,5279,1844.45,-4993.05,-0.57
2022-03-25 19:42:59.421087,28427,30369,8839,5258,1811.28,-4907.55,-0.56
2022-03-25 19:43:09.448273,28286,30365,8827,5259,1695.59,-4877.90,-0.57
2022-03-25 19:43:19.460622,28214,30421,8835,5278,1580.56,-4878.75,-0.59
2022-03-25 19:43:29.487736,27936,30337,8781,5286,1411.80,-4817.45,-0.60
2022-03-25 19:43:39.499561,27737,30245,8734,5301,1297.19,-4797.05,-0.62
2022-03-25 19:43:49.526795,27589,30108,8693,5315,1221.59,-4837.60,-0.64
2022-03-25 19:43:59.538748,27465,29926,8661,5320,1161.98,-4933.95,-0.66
2022-03-25 19:44:09.565668,27365,29751,8635,5319,1121.03,-5030.50,-0.68
2022-03-25 19:44:19.577665,27205,29589,8589,5304,1083.10,-5030.55,-0.69
2022-03-25 19:44:29.604777,27180,29611,8587,5312,1051.90,-5016.65,-0.69
2022-03-25 19:44:39.616877,27177,29630,8580,5317,1057.79,-4985.75,-0.69
2022-03-25 19:44:49.643783,27179,29647,8593,5312,1037.58,-4998.35,-0.69
2022-03-25 19:44:59.655721,27287,29724,8637,5309,1051.89,-5045.90,-0.70
2022-03-25 19:45:09.667609,27494,29830,8708,5309,1101.27,-5149.35,-0.71
2022-03-25 19:45:19.695056,27735,29905,8778,5305,1192.19,-5273.85,-0.71
2022-03-25 19:45:29.707037,27875,29891,8821,5286,1262.00,-5381.45,-0.72
2022-03-25 19:45:39.734568,28037,29937,8874,5281,1312.99,-5483.05,-0.73
2022-03-25 19:45:49.761518,28210,30063,8927,5295,1349.71,-5537.90,-0.74
2022-03-25 19:45:59.773584,28329,30168,8942,5313,1411.47,-5508.65,-0.72
2022-03-25 19:46:09.800325,28407,30211,8933,5322,1497.48,-5454.85,-0.70
2022-03-25 19:46:19.812315,28653,30355,8936,5337,1716.87,-5345.95,-0.65
2022-03-25 19:46:29.839577,28839,30433,8924,5334,1933.50,-5227.30,-0.60
2022-03-25 19:46:39.851174,29078,30609,8931,5345,2142.33,-5091.20,-0.54
2022-03-25 19:46:49.878353,29308,30837,8937,5362,2336.40,-4910.65,-0.48
2022-03-25 19:46:59.905172,29435,31024,8950,5384,2405.28,-4800.50,-0.45
2022-03-25 19:47:09.917213,29482,31154,8977,5403,2367.07,-4783.40,-0.45
2022-03-25 19:47:19.944061,29546,31249,9019,5418,2317.88,-4838.55,-0.47
2022-03-25 19:47:29.956190,29686,31349,9069,5431,2329.59,-4908.80,-0.48
2022-03-25 19:47:39.983133,29850,31407,9114,5438,2384.38,-4995.80,-0.49
2022-03-25 19:47:49.994860,29970,31426,9144,5443,2431.13,-5074.05,-0.50
2022-03-25 19:48:00.021986,30041,31430,9164,5454,2443.10,-5148.30,-0.50
2022-03-25 19:48:10.049262,30002,31388,9164,5463,2392.13,-5206.05,-0.52
2022-03-25 19:48:20.061132,29944,31368,9166,5470,2320.38,-5244.20,-0.54
2022-03-25 19:48:30.088479,29840,31324,9158,5466,2239.46,-5257.60,-0.55
2022-03-25 19:48:40.100428,29716,31274,9149,5457,2147.41,-5265.30,-0.57
2022-03-25 19:48:50.111963,29671,31306,9151,5455,2100.63,-5235.70,-0.57
2022-03-25 19:49:00.139572,29596,31338,9141,5450,2054.48,-5165.45,-0.57
2022-03-25 19:49:10.166941,29448,31316,9119,5441,1967.29,-5106.80,-0.57
2022-03-25 19:49:20.178883,29304,31325,9125,5443,1807.31,-5119.00,-0.60
2022-03-25 19:49:30.205791,29239,31343,9147,5453,1680.17,-5183.40,-0.63
2022-03-25 19:49:40.218066,29140,31287,9147,5448,1587.82,-5230.65,-0.65
2022-03-25 19:49:50.245251,29108,31284,9157,5449,1532.29,-5264.90,-0.66
2022-03-25 19:50:00.257018,29051,31317,9163,5438,1476.60,-5230.35,-0.66
2022-03-25 19:50:10.284183,28991,31319,9147,5416,1481.38,-5142.65,-0.65
2022-03-25 19:50:20.296300,28952,31275,9127,5399,1509.39,-5097.90,-0.64
