dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
2022-03-25 19:09:25.835532,62645,12462,3080,148,39,0,0, 0.05234415, 0.33349546, 0.65524136, 0.77926102, 1.08891623, 1.08891623, 1.08891623
2022-03-25 19:09:26.837173,63462,12523,3063,149,48,0,0, 0.05302660, 0.33556655, 0.65549050, 0.78077937, 1.15740103, 1.15740103, 1.15740103
2022-03-25 19:09:27.838478,64090,12559,3055,151,56,0,0, 0.05355151, 0.33688338, 0.65604387, 0.78268969, 1.22323744, 1.22323744, 1.22323744
2022-03-25 19:09:28.840000,64405,12593,3051,153,63,0,0, 0.05381477, 0.33792343, 0.65665237, 0.78462590, 1.28605154, 1.28605154, 1.28605154
2022-03-25 19:09:29.840734,64527,12626,3041,154,71,0,0, 0.05391643, 0.33877956, 0.65640572, 0.78558914, 1.34540081, 1.34540081, 1.34540081
2022-03-25 19:09:30.842402,64439,12656,3011,154,78,0,0, 0.05384272, 0.33936232, 0.65389768, 0.78311118, 1.39826852, 1.39826852, 1.39826852
2022-03-25 19:09:31.844103,64006,12622,2979,154,85,0,0, 0.05348110, 0.33823906, 0.64937751, 0.77823673, 1.44597363, 1.44597363, 1.44597363
2022-03-25 19:09:32.845538,63542,12587,2947,153,87,0,0, 0.05309320, 0.33707597, 0.64488759, 0.77342178, 1.45859378, 1.45859378, 1.45859378
2022-03-25 19:09:33.847025,62975,12578,2913,152,85,0,0, 0.05261960, 0.33639683, 0.64065666, 0.76830599, 1.44102659, 1.44102659, 1.44102659
2022-03-25 19:09:34.848543,62527,12641,2873,149,81,0,0, 0.05224506, 0.33744519, 0.63751520, 0.76274475, 1.40197428, 1.40197428, 1.40197428
2022-03-25 19:09:35.850204,62056,12718,2824,146,77,0,0, 0.05185181, 0.33877760, 0.63379469, 0.75654597, 1.36312289, 1.36312289, 1.36312289
2022-03-25 19:09:36.851752,61820,12837,2774,143,73,0,0, 0.05165494, 0.34126002, 0.63101020, 0.75131245, 1.32662373, 1.32662373, 1.32662373
2022-03-25 19:09:37.853468,61683,12955,2724,141,69,0,0, 0.05154018, 0.34380784, 0.62840182, 0.74631354, 1.29201258, 1.29201258, 1.29201258
