dateTime,countPerMinute,radiationValue,timeSpent,LIBRADCount
2022-03-25 19:09:31.502349,12.0000,0.0974,10000,2
2022-03-25 19:09:41.645971,6.0000,0.0487,10000,1
2022-03-25 19:09:51.804987,24.0000,0.1949,10000,4
2022-03-25 19:10:01.949003,18.0000,0.1462,10000,3
2022-03-25 19:10:12.092511,0.0000,0.0000,10000,0
2022-03-25 19:10:22.251899,18.0000,0.1462,10000,3
2022-03-25 19:10:32.395611,6.0000,0.0487,10000,1
2022-03-25 19:10:42.554878,12.0000,0.0974,10000,2
2022-03-25 19:10:52.698733,0.0000,0.0000,10000,0
2022-03-25 19:11:02.858109,24.0000,0.1949,10000,4
2022-03-25 19:11:13.002067,30.0000,0.2436,10000,5
2022-03-25 19:11:23.161004,0.0000,0.0000,10000,0
2022-03-25 19:11:33.304927,24.0000,0.1949,10000,4
2022-03-25 19:11:43.448394,12.0000,0.0974,10000,2
2022-03-25 19:11:53.607626,18.0000,0.1462,10000,3
2022-03-25 19:12:03.751519,30.0000,0.2436,10000,5
2022-03-25 19:12:13.910639,18.0000,0.1462,10000,3
2022-03-25 19:12:24.054753,12.0000,0.0974,10000,2
2022-03-25 19:12:34.198672,6.0000,0.0487,10000,1
2022-03-25 19:12:44.357658,18.0000,0.1462,10000,3
2022-03-25 19:12:54.501846,30.0000,0.2436,10000,5
2022-03-25 19:13:04.660916,6.0000,0.0487,10000,1
2022-03-25 19:13:14.805256,24.0000,0.1949,10000,4
2022-03-25 19:13:24.964381,30.0000,0.2436,10000,5
2022-03-25 19:13:35.108488,30.0000,0.2436,10000,5
2022-03-25 19:13:45.267472,12.0000,0.0974,10000,2
2022-03-25 19:13:55.411524,18.0000,0.1462,10000,3
2022-03-25 19:14:05.555184,6.0000,0.0487,10000,1
2022-03-25 19:14:15.714518,24.0000,0.1949,10000,4
2022-03-25 19:14:25.858343,12.0000,0.0974,10000,2
2022-03-25 19:14:36.017502,24.0000,0.1949,10000,4
2022-03-25 19:14:46.161399,18.0000,0.1462,10000,3
2022-03-25 19:14:56.320436,6.0000,0.0487,10000,1
2022-03-25 19:15:06.464170,0.0000,0.0000,10000,0
2022-03-25 19:15:16.623474,18.0000,0.1462,10000,3
2022-03-25 19:15:26.767235,6.0000,0.0487,10000,1
2022-03-25 19:15:36.911319,18.0000,0.1462,10000,3
2022-03-25 19:15:47.070291,30.0000,0.2436,10000,5
2022-03-25 19:15:57.214045,12.0000,0.0974,10000,2
2022-03-25 19:16:07.373220,12.0000,0.0974,10000,2
2022-03-25 19:16:17.517230,0.0000,0.0000,10000,0
2022-03-25 19:16:27.661362,6.0000,0.0487,10000,1
2022-03-25 19:16:37.820463,6.0000,0.0487,10000,1
2022-03-25 19:16:47.964465,6.0000,0.0487,10000,1
2022-03-25 19:16:58.123669,60.0000,0.4872,10000,10
2022-03-25 19:17:08.267419,42.0000,0.3410,10000,7
2022-03-25 19:17:18.426349,18.0000,0.1462,10000,3
2022-03-25 19:17:28.570170,12.0000,0.0974,10000,2
2022-03-25 19:17:38.713991,12.0000,0.0974,10000,2
2022-03-25 19:17:48.873218,12.0000,0.0974,10000,2
2022-03-25 19:17:59.016975,42.0000,0.3410,10000,7
2022-03-25 19:18:09.175979,0.0000,0.0000,10000,0
2022-03-25 19:18:19.320007,36.0000,0.2923,10000,6
2022-03-25 19:18:29.479205,12.0000,0.0974,10000,2
2022-03-25 19:18:39.623167,24.0000,0.1949,10000,4
2022-03-25 19:18:49.782236,30.0000,0.2436,10000,5
2022-03-25 19:18:59.925955,6.0000,0.0487,10000,1
2022-03-25 19:19:10.085131,18.0000,0.1462,10000,3
2022-03-25 19:19:20.229012,6.0000,0.0487,10000,1
2022-03-25 19:19:30.372739,6.0000,0.0487,10000,1
2022-03-25 19:19:40.531955,18.0000,0.1462,10000,3
2022-03-25 19:19:50.675712,24.0000,0.1949,10000,4
2022-03-25 19:20:00.834823,24.0000,0.1949,10000,4
2022-03-25 19:20:10.978593,18.0000,0.1462,10000,3
2022-03-25 19:20:21.122144,6.0000,0.0487,10000,1
2022-03-25 19:20:31.281314,24.0000,0.1949,10000,4
2022-03-25 19:20:41.425417,12.0000,0.0974,10000,2
2022-03-25 19:20:51.584468,12.0000,0.0974,10000,2
2022-03-25 19:21:01.728357,18.0000,0.1462,10000,3
2022-03-25 19:21:11.887488,18.0000,0.1462,10000,3
2022-03-25 19:21:22.031403,24.0000,0.1949,10000,4
