dateTime,infraRed,red,green,blue,proximity
2022-03-25 19:09:33.938486,43271.00,12369.00,13958.00,19905.00,32
2022-03-25 19:09:50.923065,43270.00,12367.00,13958.00,19901.00,32
2022-03-25 19:10:07.937534,43263.00,12366.00,13958.00,19897.00,32
2022-03-25 19:10:24.922324,43260.00,12364.00,13956.00,19896.00,32
2022-03-25 19:10:41.922522,43263.00,12364.00,13957.00,19899.00,32
2022-03-25 19:10:58.923006,43262.00,12364.00,13961.00,19898.00,33
2022-03-25 19:11:15.922394,43265.00,12365.00,13963.00,19902.00,33
2022-03-25 19:11:32.922521,43276.00,12370.00,13967.00,19904.00,33
2022-03-25 19:11:49.922532,43280.00,12373.00,13970.00,19909.00,32
2022-03-25 19:12:06.922583,43288.00,12377.00,13975.00,19911.00,33
2022-03-25 19:12:23.922672,43304.00,12382.00,13981.00,19918.00,32
2022-03-25 19:12:40.923228,43313.00,12386.00,13982.00,19920.00,32
2022-03-25 19:12:57.922968,43320.00,12391.00,13989.00,19924.00,32
2022-03-25 19:13:14.922701,43335.00,12397.00,13994.00,19933.00,32
2022-03-25 19:13:31.922915,43357.00,12405.00,14003.00,19941.00,32
2022-03-25 19:13:48.922780,43372.00,12411.00,14009.00,19948.00,33
2022-03-25 19:14:05.922748,43390.00,12417.00,14018.00,19957.00,32
2022-03-25 19:14:22.922945,43410.00,12425.00,14025.00,19967.00,32
2022-03-25 19:14:39.907145,43429.00,12431.00,14032.00,19975.00,33
2022-03-25 19:14:56.906963,43447.00,12439.00,14040.00,19980.00,33
2022-03-25 19:15:13.907091,43469.00,12446.00,14048.00,19989.00,33
2022-03-25 19:15:30.907737,43491.00,12455.00,14059.00,19999.00,32
2022-03-25 19:15:47.907352,43505.00,12459.00,14064.00,20006.00,32
2022-03-25 19:16:04.907407,43521.00,12464.00,14071.00,20017.00,33
2022-03-25 19:16:21.907043,43533.00,12467.00,14076.00,20022.00,33
2022-03-25 19:16:38.906822,43541.00,12470.00,14080.00,20028.00,32
2022-03-25 19:16:55.891489,43551.00,12473.00,14085.00,20034.00,33
2022-03-25 19:17:12.891337,43574.00,12479.00,14094.00,20042.00,33
2022-03-25 19:17:29.891181,43581.00,12482.00,14097.00,20049.00,32
2022-03-25 19:17:46.890794,43588.00,12486.00,14102.00,20055.00,33
2022-03-25 19:18:03.890559,43602.00,12489.00,14107.00,20059.00,32
2022-03-25 19:18:20.890659,43612.00,12492.00,14111.00,20062.00,32
2022-03-25 19:18:37.890577,43625.00,12495.00,14117.00,20072.00,32
2022-03-25 19:18:54.890458,43631.00,12498.00,14121.00,20076.00,32
2022-03-25 19:19:11.875248,43645.00,12502.00,14127.00,20078.00,33
2022-03-25 19:19:28.875192,43652.00,12505.00,14131.00,20087.00,33
2022-03-25 19:19:45.874988,43658.00,12506.00,14134.00,20085.00,33
2022-03-25 19:20:02.874932,43660.00,12506.00,14136.00,20087.00,33
2022-03-25 19:20:19.875124,43651.00,12503.00,14135.00,20084.00,33
2022-03-25 19:20:36.874883,43645.00,12500.00,14135.00,20084.00,32
2022-03-25 19:20:53.875070,43640.00,12497.00,14134.00,20085.00,32
2022-03-25 19:21:10.859635,43639.00,12494.00,14135.00,20084.00,33
2022-03-25 19:21:27.859472,43641.00,12493.00,14136.00,20087.00,32
2022-03-25 19:21:44.859328,43650.00,12492.00,14143.00,20093.00,33
2022-03-25 19:22:01.859374,43635.00,12486.00,14137.00,20088.00,33
2022-03-25 19:22:18.859485,43632.00,12483.00,14138.00,20091.00,33
2022-03-25 19:22:35.859674,43635.00,12482.00,14140.00,20092.00,33
2022-03-25 19:22:52.859677,43632.00,12480.00,14140.00,20093.00,33
2022-03-25 19:23:09.859696,43632.00,12478.00,14140.00,20094.00,32
2022-03-25 19:23:26.843551,43628.00,12475.00,14138.00,20093.00,32
2022-03-25 19:23:43.843548,43621.00,12474.00,14139.00,20090.00,32
2022-03-25 19:24:00.843721,43623.00,12472.00,14141.00,20093.00,33
2022-03-25 19:24:17.843934,43618.00,12471.00,14140.00,20093.00,33
2022-03-25 19:24:34.843611,43614.00,12468.00,14139.00,20090.00,32
2022-03-25 19:24:51.843441,43606.00,12464.00,14140.00,20091.00,32
2022-03-25 19:25:08.843220,43603.00,12460.00,14137.00,20090.00,33
2022-03-25 19:25:25.843588,43602.00,12460.00,14137.00,20092.00,32
2022-03-25 19:25:42.843331,43603.00,12459.00,14140.00,20091.00,32
2022-03-25 19:25:59.827811,43586.00,12452.00,14134.00,20088.00,32
2022-03-25 19:26:16.827755,43576.00,12445.00,14131.00,20082.00,33
2022-03-25 19:26:33.827799,43570.00,12444.00,14132.00,20080.00,32
2022-03-25 19:26:50.827318,43560.00,12441.00,14131.00,20076.00,33
2022-03-25 19:27:07.827262,43544.00,12435.00,14127.00,20071.00,33
2022-03-25 19:27:24.827429,43534.00,12429.00,14123.00,20065.00,32
2022-03-25 19:27:41.827621,43515.00,12420.00,14119.00,20058.00,32
2022-03-25 19:27:58.827636,43507.00,12415.00,14117.00,20056.00,32
2022-03-25 19:28:15.827971,43506.00,12413.00,14117.00,20060.00,33
2022-03-25 19:28:32.827867,43500.00,12410.00,14117.00,20058.00,33
2022-03-25 19:28:49.812411,43493.00,12409.00,14118.00,20059.00,32
2022-03-25 19:29:06.812612,43491.00,12409.00,14118.00,20058.00,32
2022-03-25 19:29:23.812455,43505.00,12413.00,14122.00,20060.00,32
2022-03-25 19:29:40.812473,43516.00,12420.00,14128.00,20068.00,33
2022-03-25 19:29:57.812771,43532.00,12426.00,14134.00,20073.00,33
2022-03-25 19:30:14.812476,43548.00,12434.00,14142.00,20080.00,33
2022-03-25 19:30:31.812268,43562.00,12438.00,14147.00,20085.00,32
2022-03-25 19:30:48.812073,43572.00,12444.00,14153.00,20089.00,32
2022-03-25 19:31:05.811847,43579.00,12446.00,14155.00,20093.00,33
2022-03-25 19:31:22.797053,43577.00,12448.00,14157.00,20093.00,32
2022-03-25 19:31:39.797090,43581.00,12449.00,14158.00,20092.00,32
2022-03-25 19:31:56.796596,43579.00,12448.00,14158.00,20093.00,32
2022-03-25 19:32:13.797049,43568.00,12445.00,14157.00,20089.00,32
2022-03-25 19:32:30.797676,43563.00,12442.00,14155.00,20085.00,32
2022-03-25 19:32:47.796977,43566.00,12443.00,14159.00,20086.00,33
2022-03-25 19:33:04.797047,43560.00,12442.00,14158.00,20085.00,33
2022-03-25 19:33:21.797043,43551.00,12438.00,14157.00,20084.00,32
2022-03-25 19:33:38.797022,43541.00,12436.00,14156.00,20080.00,32
