dateTime,nodeID,sensorID,gatewayID,rssi,loRaSNR,channel,rfChain,frequency,bandwidth,spreadingFactor,codeRate,dataRate,frameCounters,framePort,base64Data,base16Data,devAddr,deviceAddDecoded
2022-03-25 19:09:33.986623,472b544e0028002b,BME280,a84041ffff205774,-47,13.8,4,1,914300000,125,7,4/5,3,6,21,KVzvQT2qeEQAACBB,295cef413daa784400002041,AITBzg==,0084c1ce
2022-03-25 19:09:40.194375,472b544e0024002b,INA219Duo,a84041ffff205774,-52,10.2,2,0,913900000,125,7,4/5,3,4,3,4Xp4wVK4fkDNTBzDAIAbRJqZ8UEj27lAM3OXQwCA20Q=,e17a78c152b87e40cd4c1cc300801b449a99f14123dbb940337397430080db44,AX70vg==,017ef4be
2022-03-25 19:10:21.985168,472b544e001b003c,MGS001,a84041ffff205774,-49,13,3,0,914100000,125,7,4/5,3,446,31,3gdDP2TKMj+aThRErt7NQwAAAACd7y5EmwcTPo1MkEA=,de07433f64ca323f9a4e1444aedecd43000000009def2e449b07133e8d4c9040,AFZMtg==,00564cb6
2022-03-25 19:10:44.674266,472b544e001b003c,IPS7100,a84041ffff205774,-49,9.2,2,0,913900000,125,7,4/5,3,448,15,nxMAAH0LAABNBAAAPAEAAIEAAAAjAAAAAAAAADKNiTuNfJA9fgs+PqlA5j7aZwlAa0W7QGtFu0A=,9f1300007d0b00004d0400003c010000810000002300000000000000328d893b8d7c903d7e0b3e3ea940e63eda6709406b45bb406b45bb40,AFZMtg==,00564cb6
2022-03-25 19:11:11.629690,475a5fe300200021,IPS7100,a84041ffff205774,-49,13.5,3,0,914100000,125,7,4/5,3,2,15,jFcAABgqAACuBAAANAAAABAAAAAEAAAAAAAAAOlpmTzOD4Y+PCvGPkTB3D6wziQ/jGONP4xjjT8=,8c570000182a0000ae04000034000000100000000400000000000000e969993cce0f863e3c2bc63e44c1dc3eb0ce243f8c638d3f8c638d3f,AcPceQ==,01c3dc79
2022-03-25 19:11:23.272861,472b544e0024002b,IPS7100,a84041ffff205774,-97,5.2,0,0,913500000,125,7,4/5,3,6,15,HgkAAMgEAABZAgAAOgAAAA4AAAAAAAAAAAAAADCe/zqCRfI8AyW9PcfZED7c5Ko+3OSqPtzkqj4=,1e090000c8040000590200003a0000000e0000000000000000000000309eff3a8245f23c0325bd3dc7d9103edce4aa3edce4aa3edce4aa3e,AX70vg==,017ef4be
2022-03-25 19:11:24.152444,475a5fe30024001c,INA219Duo,a84041ffff205774,-51,13.8,4,1,914300000,125,7,4/5,3,11,3,cT2QQVCNd0AzMy5DAAApROxReD/pJsFAmpkZQQAAaEI=,713d9041508d774033332e4300002944ec51783fe926c1409a99194100006842,AYDYJQ==,0180d825
2022-03-25 19:11:39.040273,475a5fe300480023,BME280,a84041ffff205774,-96,3.2,7,1,914900000,125,7,4/5,3,10,21,cT34QddzeEQAACBB,713df841d773784400002041,AEOdzQ==,00439dcd
2022-03-25 19:11:56.369500,479b558000380033,PM,a84041ffff205774,-45,13.8,1,0,913700000,125,8,4/5,2,9,2,BgA=,0600,ARhkOw==,0118643b
2022-03-25 19:12:05.598951,472b544e001b003c,SCD30,a84041ffff205774,-47,13.2,4,1,914300000,125,7,4/5,3,457,33,AAAQQ6CN90EAGUhB,00001043a08df74100194841,AFZMtg==,00564cb6
2022-03-25 19:12:07.643480,8cf957200005854f,PM,a84041ffff205774,-54,13.8,6,1,914700000,125,8,4/5,2,2,2,BgA=,0600,AQmLLQ==,01098b2d
2022-03-25 19:12:16.699743,475a5fe3002f001b,GPGGALR,a84041ffff205774,-53,13.5,1,0,913700000,125,7,4/5,3,4,5,DOVEuwp/QEBjewJogTBYwAAAAAAAAAAAMzMzMzMzb0CkcD0K16NkQK5H4XoUru8/5gcDGRMMDQ==,0ce544bb0a7f4040637b0268813058c000000000000000003333333333336f40a4703d0ad7a36440ae47e17a14aeef3fe6070319130c0d,AOic6Q==,00e89ce9
2022-03-25 19:12:19.820836,8cf957200005854f,IPS7100,a84041ffff205774,-57,10.5,2,0,913900000,125,7,4/5,3,3,15,9XIAAFE0AAB2BgAAaQAAAAsAAAAAAAAAAAAAAOJwyTzdSqc+jcH/PuR0Fj/5Dz0/+Q89P/kPPT8=,f57200005134000076060000690000000b0000000000000000000000e270c93cdd4aa73e8dc1ff3ee474163ff90f3d3ff90f3d3ff90f3d3f,AQmLLQ==,01098b2d
2022-03-25 19:12:20.429829,479b558000380033,BME280,a84041ffff205774,-45,13.5,7,1,914900000,125,7,4/5,3,11,21,uB7zQfZoeEQAAFBB,b81ef341f668784400005041,ARhkOw==,0118643b
2022-03-25 19:12:31.718988,8cf957200005854f,BME280,a84041ffff205774,-55,14.2,4,1,914300000,125,7,4/5,3,4,21,AADqQYVLeEQAAFBB,0000ea41854b784400005041,AQmLLQ==,01098b2d
2022-03-25 19:12:32.151630,472b544e001b003c,GPGGALR,a84041ffff205774,-48,13.2,4,1,914300000,125,7,4/5,3,460,5,kxgEVg5/QED6epPmfDBYwL8OnDOitLc/ZmZmZmaWfEBmZmZmZsZyQK5H4XoUru8/5gcDGRMMHQ==,931804560e7f4040fa7a93e67c3058c0bf0e9c33a2b4b73f6666666666967c406666666666c67240ae47e17a14aeef3fe6070319130c1d,AFZMtg==,00564cb6
2022-03-25 19:12:39.152051,472b544e001b003c,INA219Duo,a84041ffff205774,-47,13.2,5,1,914500000,125,7,4/5,3,461,3,SOFCwS2yfUDNTAbDAADlQ3E9AkKTGLRAM7OjQwCA5UQ=,48e142c12db27d40cd4c06c30000e543713d02429318b44033b3a3430080e544,AFZMtg==,00564cb6
2022-03-25 19:12:48.509024,475a5fe30035001a,IPS7100,a84041ffff205774,-52,16,1,0,913700000,125,8,4/5,2,5,15,9KYAAEVJAAAoCgAA3AAAABYAAAAAAAAAAAAAAJlGEj1w8eo++QI7P0caaj9UXZs/rz+dP68/nT8=,f4a6000045490000280a0000dc0000001600000000000000000000009946123d70f1ea3ef9023b3f471a6a3f545d9b3faf3f9d3faf3f9d3f,AL28ug==,00bdbcba
2022-03-25 19:12:49.608814,479b558000380033,GPGGALR,a84041ffff205774,-45,13.2,1,0,913700000,125,7,4/5,3,13,5,ZSGQBAd/QEAfFSr4gDBYwBh47j1ccqw/AAAAAACAakAzMzMzM/MyQK5H4XoUru8/5gcDGRMMLg==,65219004077f40401f152af8803058c01878ee3d5c72ac3f0000000000806a403333333333f33240ae47e17a14aeef3fe6070319130c2e,ARhkOw==,0118643b
2022-03-25 19:12:59.235328,47db5580001e0039,PM,a84041ffff205774,-56,14.8,1,0,913700000,125,8,4/5,2,3,2,BgM=,0603,AXectQ==,01779cb5
2022-03-25 19:13:14.354623,472b544e00230033,IPS7100,a84041ffff205774,-59,14,6,1,914700000,125,7,4/5,3,3,15,0+8BAGH5AAAXKgAA4AQAAPwAAAAAAAAAAAAAAJg12T2j7cU/qfwqQAXDbUDyduBA8nbgQPJ24EA=,d3ef010061f90000172a0000e0040000fc00000000000000000000009835d93da3edc53fa9fc2a4005c36d40f276e040f276e040f276e040,ATNepw==,01335ea7
2022-03-25 19:13:14.662613,472b544e001b003c,IPS7100,a84041ffff205774,-50,13.5,0,0,913500000,125,7,4/5,3,466,15,3AAAADQBAABXAwAAoAAAAB0AAAAAAAAAAAAAAKhAQTlN8uk78qbFPXnDaz6qWBw/FjcvPxY3Lz8=,dc0000003401000057030000a00000001d0000000000000000000000a84041394df2e93bf2a6c53d79c36b3eaa581c3f16372f3f16372f3f,AFZMtg==,00564cb6
2022-03-25 19:13:22.313429,47db558000330044,IPS7100,a84041ffff205774,-52,13.5,1,0,913700000,125,7,4/5,3,14,15,xiMAAG4TAABLAgAAOQAAABgAAAAFAAAAAAAAAKvD+jtef/U9IZk5PliEaj64VAw/iMiPP4jIjz8=,c62300006e1300004b02000039000000180000000500000000000000abc3fa3b5e7ff53d2199393e58846a3eb8540c3f88c88f3f88c88f3f,AM9YbA==,00cf586c
2022-03-25 19:13:28.588125,8cf9572000059fd7,BME280,a84041ffff205774,-47,13.5,4,1,914300000,125,7,4/5,3,2,21,SOHqQT16eEQAAEBB,48e1ea413d7a784400004041,AdAGtg==,01d006b6
2022-03-25 19:13:34.193149,475a5fe300480023,IPS7100,a84041ffff205774,-96,-3.5,1,0,913700000,125,7,4/5,3,13,15,gHIAABY7AAAvDQAA5AEAAJwAAAAsAAAAAAAAAAClyDz+Qrs+k983P2/Jjz8UXEpAxAH5QHvQ+0A=,80720000163b00002f0d0000e40100009c0000002c0000000000000000a5c83cfe42bb3e93df373f6fc98f3f145c4a40c401f9407bd0fb40,AEOdzQ==,00439dcd
2022-03-25 19:13:35.382827,47db5580001e0039,INA219Duo,a84041ffff205774,-54,13.2,6,1,914700000,125,7,4/5,3,6,3,XI+qwekmcUDNTE/DAABERGZmAUItsr1AmtmhQwAA8EQ=,5c8faac1e9267140cd4c4fc300004444666601422db2bd409ad9a1430000f044,AXectQ==,01779cb5
2022-03-25 19:13:37.168978,472b544e001b003c,SCD30,a84041ffff205774,-47,13,4,1,914300000,125,7,4/5,3,468,33,AAAOQ/j59kHATVNB,00000e43f8f9f641c04d5341,AFZMtg==,00564cb6
