dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-07-01 14:17:58,47cb5580002e004a,0.08,0.00,17.28,0.70,599.20,415.25,100932.89,5.92,417186,2.78,1441.14,790427,5.27,2796.20,27.18,100331.00,31,nan,32.715983,-96.748388,15.53,4.04,155.40,-0.01,0.70,-0.50,7449,27.61,34.57
2021-07-01 14:19:19,47cb5580002e004a,0.08,0.00,16.09,0.70,593.23,411.74,77473.67,5.31,499292,3.33,1729.96,1363708,9.09,5240.63,28.23,100335.00,100,nan,32.715983,-96.748388,15.57,4.04,155.70,0.06,6.53,0.50,5780,27.78,57.45
2021-07-01 14:28:33,47cb5580002e004a,0.11,0.00,10.41,0.70,593.23,411.74,15449.91,2.73,191084,1.27,659.15,315443,2.10,1087.58,31.52,100338.00,84,nan,32.715990,-96.750527,15.64,3.94,155.60,0.01,5.05,0.40,3110,31.55,60.57
2021-07-01 14:31:16,47cb5580002e004a,0.12,0.00,7.06,0.70,599.20,415.25,3669.47,1.51,54163,0.36,187.94,317258,2.12,1093.86,31.70,100336.00,81,nan,32.715990,-96.750527,15.61,3.98,156.20,0.03,4.88,0.50,3082,31.69,60.42
2021-07-01 14:45:55,47cb5580002e004a,0.12,0.00,6.35,0.71,605.25,418.81,2483.80,1.28,172072,1.15,593.80,327008,2.18,1127.58,36.08,100329.00,57,nan,32.716072,-96.750453,15.52,4.01,155.60,0.05,5.90,0.30,3070,39.09,45.70
2021-07-01 14:47:17,47cb5580002e004a,0.11,0.00,6.19,0.71,605.25,418.81,2264.71,1.24,0,0.00,0.62,0,0.00,0.62,37.05,100325.00,51,nan,32.716072,-96.750453,15.68,4.00,156.10,0.05,5.93,0.60,3085,39.60,45.00
2021-07-01 14:47:57,47cb5580002e004a,0.12,0.00,5.90,0.71,605.25,418.81,1893.49,1.15,0,0.00,0.62,0,0.00,0.62,37.08,100329.00,50,nan,32.716072,-96.750453,15.57,4.01,155.60,0.02,5.94,0.50,3086,39.83,42.82
2021-07-01 14:48:38,47cb5580002e004a,0.12,0.00,5.83,0.71,605.25,418.81,1812.65,1.13,175703,1.17,606.28,329266,2.20,1135.40,37.25,100337.00,50,nan,32.716072,-96.750453,15.70,4.01,155.30,0.05,5.95,0.50,3095,40.07,43.16
2021-07-01 14:50:41,47cb5580002e004a,0.12,0.00,6.19,0.71,605.25,418.81,2264.71,1.24,0,0.00,0.62,0,0.00,0.62,38.56,100334.00,46,nan,nan,nan,16.15,4.02,161.10,0.07,6.00,0.60,3064,40.56,42.71
2021-07-01 14:52:02,47cb5580002e004a,0.12,0.00,5.87,0.71,605.25,418.81,1852.53,1.14,169834,1.13,586.10,328200,2.19,1131.71,38.73,100332.00,44,nan,nan,nan,16.02,4.02,161.00,0.06,6.01,0.50,3141,41.31,40.68
2021-07-01 14:52:43,47cb5580002e004a,0.12,0.00,5.70,0.71,605.25,418.81,1663.32,1.09,0,0.00,0.62,87558,0.58,303.08,38.74,100330.00,44,nan,nan,nan,15.56,4.03,155.90,0.04,6.01,0.30,3141,41.48,40.19
2021-07-01 14:53:24,47cb5580002e004a,0.12,0.00,5.73,0.71,605.25,418.81,1699.19,1.10,0,0.00,0.62,0,0.00,0.62,39.22,100331.00,43,nan,nan,nan,16.32,4.02,160.80,0.05,6.00,0.30,3141,41.61,40.78
2021-07-01 14:54:04,47cb5580002e004a,0.13,0.00,5.54,0.71,605.25,418.81,1497.32,1.04,0,0.00,0.62,0,0.00,0.62,38.79,100328.00,44,nan,nan,nan,15.55,4.02,156.10,0.06,6.02,0.60,3139,41.79,39.30
2021-07-01 14:54:45,47cb5580002e004a,0.13,0.00,5.48,0.71,605.25,418.81,1436.66,1.03,178484,1.19,615.84,333286,2.22,1149.32,38.86,100329.00,43,nan,nan,nan,15.64,4.02,155.60,0.04,6.03,0.40,3135,41.89,39.15
2021-07-01 14:56:07,47cb5580002e004a,0.13,0.00,5.51,0.71,605.25,418.81,1466.60,1.03,0,0.00,0.62,0,0.00,0.62,39.21,100327.00,43,nan,nan,nan,15.57,4.02,156.10,0.03,6.03,0.70,3133,41.88,39.69
2021-07-01 14:56:47,47cb5580002e004a,0.13,0.00,5.51,0.71,605.25,418.81,1466.60,1.03,0,0.00,0.62,0,0.00,0.62,39.69,100326.00,42,nan,nan,nan,15.66,4.02,155.90,0.05,6.04,0.60,3134,42.02,39.45
2021-07-01 14:57:28,47cb5580002e004a,0.13,0.00,5.60,0.71,605.25,418.81,1561.16,1.06,0,0.00,0.62,0,0.00,0.62,39.89,100328.00,40,nan,nan,nan,15.57,4.02,156.80,0.09,6.04,0.50,3136,42.20,39.05
2021-07-01 14:58:09,47cb5580002e004a,0.13,0.00,5.39,0.71,605.25,418.81,1351.22,1.00,199996,1.33,689.79,337664,2.25,1164.48,38.78,100325.00,42,nan,nan,nan,16.26,4.02,163.00,0.05,6.05,0.50,3133,42.46,37.63
2021-07-01 15:01:57,47cb5580002e004a,0.13,0.00,5.24,0.71,605.25,418.81,1222.26,0.96,169006,1.13,583.26,265212,1.77,914.22,36.91,100332.00,49,nan,nan,nan,15.50,4.01,157.10,0.04,5.95,0.50,3098,39.53,42.48
2021-07-01 15:03:59,47cb5580002e004a,0.13,0.00,5.51,0.71,605.25,418.81,1466.60,1.03,0,0.00,0.62,0,0.00,0.62,36.56,100323.00,48,nan,nan,nan,15.57,4.02,156.20,0.07,5.95,0.50,3091,39.63,41.83
2021-07-01 15:04:40,47cb5580002e004a,0.13,0.00,5.42,0.71,605.25,418.81,1378.99,1.01,0,0.00,0.62,0,0.00,0.62,36.39,100328.00,49,nan,nan,nan,15.61,4.01,155.80,0.05,5.96,0.50,3096,39.65,41.39
2021-07-01 15:05:21,47cb5580002e004a,0.13,0.00,5.48,0.71,605.25,418.81,1436.66,1.03,214177,1.43,738.56,348317,2.32,1201.40,37.02,100330.00,48,nan,nan,nan,15.61,4.02,155.80,0.04,5.88,0.50,3118,39.83,41.95
2021-07-01 15:06:42,47cb5580002e004a,0.12,0.00,6.16,0.71,605.25,418.81,2213.69,1.23,582328,3.88,2026.45,1351309,9.01,5181.00,37.97,100346.00,46,nan,nan,nan,15.59,4.02,155.20,0.04,5.10,0.40,3118,40.04,41.64
2021-07-01 15:08:44,47cb5580002e004a,0.10,0.00,12.68,0.70,599.20,415.25,32127.47,3.69,195928,1.31,675.81,247801,1.65,854.25,38.52,100341.00,43,nan,nan,nan,16.65,4.01,166.80,0.44,5.12,4.50,3305,40.09,40.93
2021-07-01 15:09:25,47cb5580002e004a,0.10,0.00,14.11,0.70,599.20,415.25,47686.08,4.35,199691,1.33,688.74,266258,1.78,917.83,38.68,100339.00,43,nan,nan,nan,16.65,4.01,167.00,0.44,5.12,4.40,3394,40.03,41.15
2021-07-01 15:13:54,47cb5580002e004a,0.05,0.00,40.31,0.70,599.20,415.25,2320046.75,21.59,84866,0.57,293.80,217158,1.45,748.81,39.64,100338.00,43,nan,nan,nan,15.40,4.02,154.80,0.03,5.14,0.40,3639,40.22,41.93
2021-07-01 15:14:35,47cb5580002e004a,0.05,0.00,44.30,0.70,599.20,415.25,3289876.75,24.94,0,0.00,0.62,0,0.00,0.62,39.78,100340.00,42,nan,nan,nan,15.41,4.02,154.50,0.03,5.14,0.30,3636,40.29,41.90
2021-07-01 15:15:16,47cb5580002e004a,0.04,0.00,49.09,0.70,599.20,415.25,4809166.50,29.17,0,0.00,0.62,0,0.00,0.62,39.91,100341.00,42,nan,nan,nan,16.10,4.01,160.70,0.03,5.15,0.40,3627,40.40,41.97
