dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2022-03-25 19:09:33.423416,56,4061,13674,8752,11857,5120,7837,4695.25,17424.66,9523.41,11255.16,5125.41,6951.36
2022-03-25 19:09:43.424083,56,4058,13672,8756,11853,5122,7840,4691.78,17422.11,9527.76,11251.36,5127.41,6954.03
2022-03-25 19:09:53.424670,56,4052,13641,8737,11831,5110,7830,4684.85,17382.61,9507.08,11230.48,5115.40,6945.16
2022-03-25 19:10:03.440869,56,4051,13666,8725,11817,5105,7820,4683.69,17414.46,9494.03,11217.19,5110.39,6936.29
2022-03-25 19:10:13.441546,56,4056,13698,8731,11824,5108,7823,4689.47,17455.24,9500.56,11223.83,5113.39,6938.95
2022-03-25 19:10:23.456746,56,4053,13689,8726,11814,5104,7816,4686.00,17443.77,9495.12,11214.34,5109.39,6932.74
2022-03-25 19:10:33.457632,56,4058,13715,8732,11821,5108,7820,4691.78,17476.90,9501.64,11220.99,5113.39,6936.29
2022-03-25 19:10:43.458228,56,4054,13717,8736,11837,5111,7822,4687.16,17479.45,9506.00,11236.17,5116.40,6938.06
2022-03-25 19:10:53.473701,56,4058,13736,8734,11821,5109,7817,4691.78,17503.66,9503.82,11220.99,5114.40,6933.62
2022-03-25 19:11:03.474483,56,4056,13717,8738,11825,5108,7817,4689.47,17479.45,9508.17,11224.78,5113.39,6933.62
2022-03-25 19:11:13.490111,56,4055,13725,8746,11830,5112,7820,4688.32,17489.65,9516.88,11229.53,5117.40,6936.29
2022-03-25 19:11:23.490609,56,4054,13725,8735,11814,5103,7805,4687.16,17489.65,9504.91,11214.34,5108.39,6922.98
2022-03-25 19:11:33.506666,56,4057,13735,8740,11829,5105,7807,4690.63,17502.39,9510.35,11228.58,5110.39,6924.75
2022-03-25 19:11:43.507367,56,4063,13771,8742,11823,5106,7805,4697.57,17548.27,9512.53,11222.88,5111.39,6922.98
2022-03-25 19:11:53.523074,56,4054,13740,8738,11819,5102,7797,4687.16,17508.76,9508.17,11219.09,5107.39,6915.88
2022-03-25 19:12:03.523915,56,4057,13754,8743,11825,5103,7799,4690.63,17526.60,9513.61,11224.78,5108.39,6917.66
2022-03-25 19:12:13.524014,56,4054,13751,8738,11825,5101,7783,4687.16,17522.78,9508.17,11224.78,5106.39,6903.47
2022-03-25 19:12:23.524704,56,4056,13769,8737,11823,5101,7792,4689.47,17545.72,9507.08,11222.88,5106.39,6911.45
2022-03-25 19:12:33.540397,56,4054,13774,8736,11821,5100,7787,4687.16,17552.09,9506.00,11220.99,5105.39,6907.01
2022-03-25 19:12:43.541152,56,4055,13777,8739,11822,5104,7780,4688.32,17555.91,9509.26,11221.93,5109.39,6900.81
2022-03-25 19:12:53.556745,56,4052,13781,8728,11810,5100,7769,4684.85,17561.01,9497.29,11210.54,5105.39,6891.05
2022-03-25 19:13:03.557435,56,4054,13819,8726,11816,5102,7777,4687.16,17609.43,9495.12,11216.24,5107.39,6898.15
2022-03-25 19:13:13.557973,56,4057,13849,8727,11814,5105,7768,4690.63,17647.66,9496.20,11214.34,5110.39,6890.16
2022-03-25 19:13:23.573674,55,4057,13867,8726,11817,5106,7774,4690.63,17670.60,9495.12,11217.19,5111.39,6895.48
2022-03-25 19:13:33.574343,56,4059,13897,8723,11813,5105,7773,4692.94,17708.83,9491.85,11213.39,5110.39,6894.60
2022-03-25 19:13:43.590167,56,4055,13905,8726,11827,5111,7765,4688.32,17719.02,9495.12,11226.68,5116.40,6887.50
2022-03-25 19:13:53.590821,56,4061,13948,8724,11814,5110,7764,4695.25,17773.81,9492.94,11214.34,5115.40,6886.61
2022-03-25 19:14:03.591584,55,4059,13956,8711,11809,5105,7753,4692.94,17784.01,9478.79,11209.59,5110.39,6876.86
2022-03-25 19:14:13.606954,56,4059,13977,8715,11809,5105,7765,4692.94,17810.77,9483.15,11209.59,5110.39,6887.50
2022-03-25 19:14:23.607579,55,4059,13994,8713,11807,5105,7763,4692.94,17832.43,9480.97,11207.70,5110.39,6885.73
