dateTime,temperature,pressure,humidity,altitude
2022-03-25 19:09:31.753326,28.31,98962.00,20.00,198.59
2022-03-25 19:09:41.784169,28.30,98962.00,19.00,198.59
2022-03-25 19:09:51.800207,28.31,98963.00,20.00,198.50
2022-03-25 19:10:01.831685,28.31,98958.00,20.00,198.93
2022-03-25 19:10:11.862572,28.31,98962.00,20.00,198.59
2022-03-25 19:10:21.893463,28.30,98964.00,19.00,198.42
2022-03-25 19:10:31.909817,28.23,98963.00,18.00,198.50
2022-03-25 19:10:41.940548,28.14,98965.00,18.00,198.33
2022-03-25 19:10:51.971822,28.07,98964.00,18.00,198.42
2022-03-25 19:11:01.988159,28.00,98958.00,18.00,198.93
2022-03-25 19:11:12.019356,27.94,98964.00,18.00,198.42
2022-03-25 19:11:22.050502,27.91,98961.00,19.00,198.67
2022-03-25 19:11:32.081730,27.90,98957.00,18.00,199.01
2022-03-25 19:11:42.097502,27.88,98959.00,18.00,198.84
2022-03-25 19:11:52.128699,27.86,98959.00,19.00,198.84
2022-03-25 19:12:02.160110,27.84,98960.00,19.00,198.76
2022-03-25 19:12:12.175611,27.85,98957.00,21.00,199.01
2022-03-25 19:12:22.206504,27.87,98957.00,20.00,199.01
2022-03-25 19:12:32.237452,27.86,98959.00,19.00,198.84
2022-03-25 19:12:42.268738,27.85,98955.00,20.00,199.18
2022-03-25 19:12:52.285131,27.79,98957.00,19.00,199.01
2022-03-25 19:13:02.316382,27.76,98966.00,19.00,198.25
2022-03-25 19:13:12.347353,27.77,98960.00,19.00,198.76
2022-03-25 19:13:22.363511,27.78,98958.00,20.00,198.93
2022-03-25 19:13:32.394891,27.82,98956.00,20.00,199.10
2022-03-25 19:13:42.426285,27.84,98953.00,19.00,199.35
2022-03-25 19:13:52.457425,27.82,98952.00,18.00,199.43
2022-03-25 19:14:02.473510,27.83,98954.00,19.00,199.27
2022-03-25 19:14:12.504567,27.84,98955.00,20.00,199.18
2022-03-25 19:14:22.535685,27.88,98954.00,21.00,199.27
2022-03-25 19:14:32.551994,27.90,98956.00,21.00,199.10
2022-03-25 19:14:42.582973,27.94,98956.00,20.00,199.10
2022-03-25 19:14:52.614363,27.97,98958.00,21.00,198.93
2022-03-25 19:15:02.630600,27.96,98961.00,19.00,198.67
2022-03-25 19:15:12.661877,27.95,98965.00,19.00,198.33
2022-03-25 19:15:22.693203,27.96,98960.00,18.00,198.76
2022-03-25 19:15:32.724200,27.97,98963.00,19.00,198.50
2022-03-25 19:15:42.740532,27.95,98959.00,19.00,198.84
2022-03-25 19:15:52.771625,27.96,98958.00,18.00,198.93
2022-03-25 19:16:02.802467,27.99,98959.00,21.00,198.84
2022-03-25 19:16:12.818026,27.99,98956.00,19.00,199.10
2022-03-25 19:16:22.848966,28.00,98955.00,20.00,199.18
2022-03-25 19:16:32.880224,28.02,98956.00,20.00,199.10
2022-03-25 19:16:42.911483,28.04,98954.00,20.00,199.27
2022-03-25 19:16:52.927923,28.02,98957.00,18.00,199.01
2022-03-25 19:17:02.959014,28.01,98956.00,19.00,199.10
2022-03-25 19:17:12.990107,27.98,98957.00,18.00,199.01
2022-03-25 19:17:23.006192,27.99,98952.00,19.00,199.43
2022-03-25 19:17:33.037576,28.04,98959.00,19.00,198.84
2022-03-25 19:17:43.068880,28.06,98955.00,20.00,199.18
2022-03-25 19:17:53.100205,28.11,98956.00,20.00,199.10
2022-03-25 19:18:03.116598,28.16,98955.00,21.00,199.18
2022-03-25 19:18:13.147621,28.16,98955.00,19.00,199.18
2022-03-25 19:18:23.178886,28.17,98956.00,18.00,199.10
2022-03-25 19:18:33.194952,28.18,98956.00,18.00,199.10
2022-03-25 19:18:43.226161,28.22,98959.00,19.00,198.84
2022-03-25 19:18:53.257320,28.26,98957.00,19.00,199.01
2022-03-25 19:19:03.273456,28.26,98954.00,19.00,199.27
2022-03-25 19:19:13.304609,28.30,98955.00,19.00,199.18
2022-03-25 19:19:23.335969,28.34,98956.00,19.00,199.10
2022-03-25 19:19:33.367255,28.39,98959.00,21.00,198.84
2022-03-25 19:19:43.383522,28.35,98956.00,18.00,199.10
2022-03-25 19:19:53.414993,28.35,98952.00,18.00,199.43
2022-03-25 19:20:03.445773,28.34,98953.00,18.00,199.35
2022-03-25 19:20:13.462112,28.32,98948.00,18.00,199.78
2022-03-25 19:20:23.492981,28.31,98953.00,18.00,199.35
2022-03-25 19:20:33.524256,28.33,98953.00,18.00,199.35
2022-03-25 19:20:43.540506,28.36,98952.00,19.00,199.43
2022-03-25 19:20:53.571675,28.39,98955.00,19.00,199.18
2022-03-25 19:21:03.602945,28.39,98950.00,18.00,199.60
2022-03-25 19:21:13.634071,28.40,98954.00,18.00,199.27
2022-03-25 19:21:23.649954,28.40,98950.00,18.00,199.60
2022-03-25 19:21:33.681118,28.42,98953.00,18.00,199.35
2022-03-25 19:21:43.712398,28.43,98953.00,18.00,199.35
2022-03-25 19:21:53.743786,28.44,98954.00,19.00,199.27
2022-03-25 19:22:03.760129,28.42,98952.00,18.00,199.43
2022-03-25 19:22:13.790954,28.39,98954.00,19.00,199.27
2022-03-25 19:22:23.822098,28.36,98954.00,19.00,199.27
2022-03-25 19:22:33.838192,28.32,98954.00,19.00,199.27
2022-03-25 19:22:43.869423,28.28,98952.00,18.00,199.43
2022-03-25 19:22:53.900644,28.30,98951.00,19.00,199.52
2022-03-25 19:23:03.931888,28.28,98951.00,18.00,199.52
2022-03-25 19:23:13.948050,28.27,98950.00,17.00,199.60
2022-03-25 19:23:23.979265,28.25,98951.00,17.00,199.52
2022-03-25 19:23:34.010865,28.25,98949.00,17.00,199.69
2022-03-25 19:23:44.027081,28.25,98946.00,17.00,199.94
2022-03-25 19:23:54.058290,28.24,98947.00,18.00,199.86
2022-03-25 19:24:04.089522,28.20,98951.00,18.00,199.52
2022-03-25 19:24:14.120567,28.16,98950.00,18.00,199.60
2022-03-25 19:24:24.136983,28.15,98950.00,17.00,199.60
2022-03-25 19:24:34.168250,28.13,98946.00,18.00,199.94
2022-03-25 19:24:44.199345,28.12,98950.00,19.00,199.60
2022-03-25 19:24:54.215771,28.10,98945.00,18.00,200.03
2022-03-25 19:25:04.246784,28.07,98946.00,18.00,199.94
2022-03-25 19:25:14.277950,28.05,98948.00,19.00,199.78
2022-03-25 19:25:24.294009,28.01,98946.00,19.00,199.94
2022-03-25 19:25:34.325307,27.98,98948.00,19.00,199.78
2022-03-25 19:25:44.356409,27.95,98946.00,18.00,199.94
2022-03-25 19:25:54.387724,27.91,98946.00,18.00,199.94
2022-03-25 19:26:04.403632,27.86,98946.00,17.00,199.94
2022-03-25 19:26:14.434767,27.87,98942.00,17.00,200.28
2022-03-25 19:26:24.465685,27.89,98941.00,18.00,200.37
2022-03-25 19:26:34.481836,27.90,98939.00,18.00,200.54
2022-03-25 19:26:44.512846,27.92,98940.00,20.00,200.45
2022-03-25 19:26:54.544272,27.92,98942.00,19.00,200.28
2022-03-25 19:27:04.575440,27.94,98939.00,19.00,200.54
2022-03-25 19:27:14.591668,27.96,98940.00,19.00,200.45
2022-03-25 19:27:24.622698,27.99,98940.00,19.00,200.45
2022-03-25 19:27:34.654234,28.01,98938.00,19.00,200.62
2022-03-25 19:27:44.670481,28.03,98937.00,18.00,200.71
2022-03-25 19:27:54.701729,28.04,98937.00,19.00,200.71
2022-03-25 19:28:04.732834,28.05,98937.00,18.00,200.71
2022-03-25 19:28:14.749073,28.04,98939.00,19.00,200.54
2022-03-25 19:28:24.780056,28.04,98934.00,19.00,200.96
2022-03-25 19:28:34.811293,28.06,98934.00,20.00,200.96
2022-03-25 19:28:44.842298,28.06,98936.00,19.00,200.79
2022-03-25 19:28:54.858209,28.05,98940.00,19.00,200.45
2022-03-25 19:29:04.889374,28.06,98938.00,19.00,200.62
2022-03-25 19:29:14.920577,28.07,98937.00,19.00,200.71
2022-03-25 19:29:24.936813,28.08,98936.00,20.00,200.79
2022-03-25 19:29:34.968233,28.05,98932.00,19.00,201.13
2022-03-25 19:29:44.999551,28.08,98934.00,21.00,200.96
2022-03-25 19:29:55.030779,28.11,98931.00,21.00,201.22
2022-03-25 19:30:05.046597,28.15,98933.00,20.00,201.05
2022-03-25 19:30:15.077395,28.14,98927.00,19.00,201.56
2022-03-25 19:30:25.108262,28.17,98929.00,20.00,201.39
2022-03-25 19:30:35.139553,28.20,98928.00,20.00,201.47
2022-03-25 19:30:45.155609,28.25,98930.00,22.00,201.30
2022-03-25 19:30:55.186795,28.28,98927.00,21.00,201.56
2022-03-25 19:31:05.218012,28.34,98926.00,20.00,201.64
2022-03-25 19:31:15.234147,28.24,98929.00,19.00,201.39
2022-03-25 19:31:25.265396,28.22,98930.00,19.00,201.30
2022-03-25 19:31:35.296827,28.21,98929.00,19.00,201.39
2022-03-25 19:31:45.312935,28.21,98926.00,19.00,201.64
2022-03-25 19:31:55.343962,28.16,98934.00,19.00,200.96
2022-03-25 19:32:05.374672,28.09,98931.00,18.00,201.22
2022-03-25 19:32:15.405769,28.05,98933.00,18.00,201.05
2022-03-25 19:32:25.422056,28.04,98933.00,19.00,201.05
2022-03-25 19:32:35.452895,28.08,98933.00,21.00,201.05
2022-03-25 19:32:45.484083,28.09,98931.00,19.00,201.22
2022-03-25 19:32:55.500422,28.11,98928.00,18.00,201.47
2022-03-25 19:33:05.531606,28.14,98929.00,21.00,201.39
2022-03-25 19:33:15.562488,28.16,98927.00,20.00,201.56
2022-03-25 19:33:25.578655,28.13,98928.00,19.00,201.47
2022-03-25 19:33:35.609974,28.12,98931.00,19.00,201.22
2022-03-25 19:33:45.641495,28.12,98926.00,19.00,201.64
2022-03-25 19:33:55.672637,28.12,98929.00,19.00,201.39
2022-03-25 19:34:05.688499,28.14,98927.00,20.00,201.56
2022-03-25 19:34:15.719838,28.14,98923.00,19.00,201.90
2022-03-25 19:34:25.750515,28.12,98925.00,18.00,201.73
2022-03-25 19:34:35.766400,28.13,98923.00,18.00,201.90
2022-03-25 19:34:45.797533,28.14,98922.00,18.00,201.98
2022-03-25 19:34:55.828871,28.15,98922.00,19.00,201.98
2022-03-25 19:35:05.859877,28.15,98920.00,18.00,202.15
2022-03-25 19:35:15.876055,28.16,98922.00,19.00,201.98
2022-03-25 19:35:25.906815,28.16,98920.00,19.00,202.15
2022-03-25 19:35:35.938125,28.16,98926.00,18.00,201.64
2022-03-25 19:35:45.969299,28.17,98923.00,18.00,201.90
2022-03-25 19:35:55.985719,28.19,98924.00,19.00,201.81
2022-03-25 19:36:06.016843,28.23,98923.00,20.00,201.90
2022-03-25 19:36:16.047924,28.27,98921.00,21.00,202.07
2022-03-25 19:36:26.064271,28.23,98926.00,18.00,201.64
2022-03-25 19:36:36.095461,28.22,98923.00,19.00,201.90
2022-03-25 19:36:46.126833,28.23,98919.00,20.00,202.24
2022-03-25 19:36:56.143120,28.21,98917.00,19.00,202.40
