dateTime,timestamp,latitudeCoordinate,longitudeCoordinate,latitude,latitudeDirection,longitude,longitudeDirection,gpsQuality,numberOfSatellites,HorizontalDilution,altitude,altitudeUnits,undulation,undulationUnits,age,stationID
2022-03-25 19:09:28.090010,19:09:28,30.750641000000005,-97.68212333333334,3045.03846,N,09740.92740,W,2,10,0.93,241.1,M,-24.1,M,,0000
2022-03-25 19:09:31.085981,19:09:31,30.750639999999997,-97.68211950000001,3045.03840,N,09740.92717,W,2,10,0.93,241.6,M,-24.1,M,,0000
2022-03-25 19:09:34.089169,19:09:34,30.750638666666667,-97.68211566666666,3045.03832,N,09740.92694,W,2,10,0.93,242.1,M,-24.1,M,,0000
2022-03-25 19:09:37.088844,19:09:37,30.750636833333335,-97.68211183333332,3045.03821,N,09740.92671,W,2,10,0.93,242.6,M,-24.1,M,,0000
2022-03-25 19:09:40.092051,19:09:40,30.75063583333333,-97.68211166666667,3045.03815,N,09740.92670,W,2,10,0.93,242.9,M,-24.1,M,,0000
2022-03-25 19:09:43.091739,19:09:43,30.7506345,-97.68211116666667,3045.03807,N,09740.92667,W,2,10,0.93,243.2,M,-24.1,M,,0000
2022-03-25 19:09:46.088240,19:09:46,30.750633666666666,-97.68210983333331,3045.03802,N,09740.92659,W,2,10,0.93,243.4,M,-24.1,M,,0000
2022-03-25 19:09:49.086133,19:09:49,30.7506325,-97.68210849999998,3045.03795,N,09740.92651,W,2,10,0.93,243.6,M,-24.1,M,,0000
2022-03-25 19:09:52.085715,19:09:52,30.750632333333336,-97.68210750000001,3045.03794,N,09740.92645,W,2,10,0.93,243.8,M,-24.1,M,,0000
2022-03-25 19:09:55.085902,19:09:55,30.75063283333333,-97.68210733333332,3045.03797,N,09740.92644,W,2,10,0.93,244.1,M,-24.1,M,,0000
2022-03-25 19:09:58.086528,19:09:58,30.750633166666663,-97.68210683333334,3045.03799,N,09740.92641,W,2,10,0.93,244.4,M,-24.1,M,,0000
2022-03-25 19:10:01.089267,19:10:01,30.75063283333333,-97.68210733333332,3045.03797,N,09740.92644,W,2,10,0.93,244.7,M,-24.1,M,,0000
2022-03-25 19:10:04.087381,19:10:04,30.75063283333333,-97.68210866666668,3045.03797,N,09740.92652,W,2,09,0.95,245.0,M,-24.1,M,,0000
2022-03-25 19:10:07.083091,19:10:07,30.750633666666666,-97.68210983333331,3045.03802,N,09740.92659,W,2,10,0.93,245.2,M,-24.1,M,,0000
2022-03-25 19:10:09.085505,19:10:09,30.75063433333333,-97.68211083333333,3045.03806,N,09740.92665,W,2,10,0.93,245.3,M,-24.1,M,,0000
2022-03-25 19:10:12.091677,19:10:12,30.750634666666663,-97.68211066666666,3045.03808,N,09740.92664,W,2,10,0.93,245.5,M,-24.1,M,,0000
2022-03-25 19:10:15.089678,19:10:15,30.750633999999998,-97.68210933333333,3045.03804,N,09740.92656,W,2,10,0.93,245.5,M,-24.1,M,,0000
2022-03-25 19:10:18.081562,19:10:18,30.750633666666666,-97.68210783333333,3045.03802,N,09740.92647,W,2,10,0.93,245.6,M,-24.1,M,,0000
2022-03-25 19:10:21.088013,19:10:21,30.750633166666663,-97.68210466666666,3045.03799,N,09740.92628,W,2,10,0.93,245.8,M,-24.1,M,,0000
2022-03-25 19:10:24.091241,19:10:24,30.750632666666668,-97.68210249999998,3045.03796,N,09740.92615,W,2,10,0.93,246.1,M,-24.1,M,,0000
2022-03-25 19:10:27.085120,19:10:27,30.750633,-97.682102,3045.03798,N,09740.92612,W,2,10,0.93,246.4,M,-24.1,M,,0000
2022-03-25 19:10:30.085345,19:10:30,30.75063433333333,-97.6821035,3045.03806,N,09740.92621,W,2,10,0.93,246.4,M,-24.1,M,,0000
2022-03-25 19:10:33.084990,19:10:33,30.750635333333335,-97.68210483333333,3045.03812,N,09740.92629,W,2,10,0.93,246.4,M,-24.1,M,,0000
2022-03-25 19:10:36.084111,19:10:36,30.750636666666665,-97.68210466666666,3045.03820,N,09740.92628,W,2,09,1.19,246.4,M,-24.1,M,,0000
2022-03-25 19:10:39.085214,19:10:39,30.750637833333332,-97.68210633333335,3045.03827,N,09740.92638,W,2,09,1.19,246.1,M,-24.1,M,,0000
