dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:35.506616,28.43,99.75,12.41,8048.05
2022-03-25 19:09:45.536001,28.50,99.75,12.49,8000.00
2022-03-25 19:09:55.565411,28.65,99.75,12.61,7946.63
2022-03-25 19:10:05.594765,28.76,99.75,12.44,7870.78
2022-03-25 19:10:15.623763,28.83,99.75,12.58,7785.04
2022-03-25 19:10:25.668364,28.78,99.75,13.11,7734.49
2022-03-25 19:10:35.697821,28.76,99.75,13.22,7651.68
2022-03-25 19:10:45.727040,28.65,99.74,12.71,7679.08
2022-03-25 19:10:55.756251,28.56,99.75,12.62,7701.15
2022-03-25 19:11:05.785308,28.32,99.74,12.51,7773.75
2022-03-25 19:11:15.829707,28.27,99.75,12.49,7807.72
2022-03-25 19:11:25.858616,28.25,99.76,12.62,7779.39
2022-03-25 19:11:35.887944,28.14,99.75,12.38,7870.78
2022-03-25 19:11:45.917151,28.07,99.76,12.37,7847.73
2022-03-25 19:11:55.946429,27.93,99.76,12.28,7946.63
2022-03-25 19:12:05.990401,27.72,99.74,12.03,7928.99
2022-03-25 19:12:16.019360,27.68,99.74,12.02,8066.21
2022-03-25 19:12:26.048267,27.56,99.74,12.03,8042.01
2022-03-25 19:12:36.077613,27.27,99.75,12.15,8060.15
2022-03-25 19:12:46.107112,27.14,99.74,12.57,8115.06
2022-03-25 19:12:56.151940,27.27,99.74,12.76,8060.15
2022-03-25 19:13:06.181216,27.41,99.75,12.85,7970.26
2022-03-25 19:13:16.210349,27.39,99.74,12.76,7970.26
2022-03-25 19:13:26.239525,27.58,99.74,12.62,7994.03
2022-03-25 19:13:36.284014,27.80,99.74,12.69,7988.08
2022-03-25 19:13:46.313266,27.94,99.75,12.73,7923.13
2022-03-25 19:13:56.342725,28.04,99.74,12.77,7940.74
2022-03-25 19:14:06.372027,28.10,99.75,12.71,7876.56
2022-03-25 19:14:16.401192,28.10,99.74,12.60,7928.99
2022-03-25 19:14:26.445768,28.22,99.74,12.57,7940.74
2022-03-25 19:14:36.474891,28.22,99.74,12.43,7964.34
2022-03-25 19:14:46.504315,28.05,99.74,12.33,7976.19
2022-03-25 19:14:56.533257,28.03,99.74,12.18,8078.37
2022-03-25 19:15:06.562430,28.20,99.74,12.20,7994.03
2022-03-25 19:15:16.606718,28.23,99.75,12.30,8066.21
2022-03-25 19:15:26.635899,28.28,99.74,12.31,8060.15
2022-03-25 19:15:36.664985,28.27,99.75,12.15,8127.37
2022-03-25 19:15:46.694157,28.28,99.74,11.94,8164.51
2022-03-25 19:15:56.738568,28.29,99.74,12.01,8158.29
2022-03-25 19:16:06.767373,28.32,99.74,11.96,8214.56
2022-03-25 19:16:16.796313,28.37,99.74,11.90,8239.82
2022-03-25 19:16:26.825340,28.49,99.74,11.85,8246.15
2022-03-25 19:16:36.854274,28.58,99.74,11.82,8239.82
2022-03-25 19:16:46.898792,28.62,99.74,11.82,8265.23
2022-03-25 19:16:56.928000,28.65,99.74,11.79,8252.50
2022-03-25 19:17:06.957585,28.65,99.74,11.59,8297.21
2022-03-25 19:17:16.986468,28.71,99.74,11.47,8355.42
2022-03-25 19:17:27.015561,28.77,99.74,11.38,8375.00
2022-03-25 19:17:37.059979,28.71,99.74,11.30,8434.30
2022-03-25 19:17:47.089220,28.76,99.74,11.29,8474.31
2022-03-25 19:17:57.118264,28.76,99.74,11.28,8507.94
2022-03-25 19:18:07.147321,28.65,99.74,11.28,8582.87
2022-03-25 19:18:17.191373,28.65,99.74,11.29,8582.87
2022-03-25 19:18:27.220637,28.31,99.74,11.29,8645.16
2022-03-25 19:18:37.249912,28.13,99.74,11.40,8722.54
2022-03-25 19:18:47.279236,28.09,99.74,11.48,8765.33
2022-03-25 19:18:57.308658,28.18,99.73,11.52,8779.69
2022-03-25 19:19:07.337974,28.25,99.74,11.53,8751.02
2022-03-25 19:19:17.382258,28.34,99.73,11.58,8715.45
2022-03-25 19:19:27.411568,28.47,99.73,11.52,8708.37
2022-03-25 19:19:37.440724,28.62,99.73,11.46,8701.30
2022-03-25 19:19:47.470257,28.64,99.73,11.43,8708.37
2022-03-25 19:19:57.514739,28.56,99.74,11.42,8736.76
2022-03-25 19:20:07.544085,28.70,99.73,11.48,8694.24
2022-03-25 19:20:17.573413,28.78,99.73,11.56,8631.24
2022-03-25 19:20:27.602536,28.89,99.73,11.63,8576.00
2022-03-25 19:20:37.632110,28.80,99.73,11.79,8582.87
2022-03-25 19:20:47.676232,28.86,99.73,11.86,8569.14
2022-03-25 19:20:57.705460,28.86,99.73,12.06,8487.73
2022-03-25 19:21:07.734644,28.88,99.73,12.19,8361.93
2022-03-25 19:21:17.763945,28.79,99.73,12.36,8342.41
2022-03-25 19:21:27.793279,28.67,99.73,12.11,8355.42
2022-03-25 19:21:37.838084,28.58,99.73,11.89,8381.55
2022-03-25 19:21:47.867435,28.70,99.73,11.88,8342.41
2022-03-25 19:21:57.896709,28.79,99.72,11.97,8316.52
2022-03-25 19:22:07.926132,28.73,99.73,12.11,8329.45
2022-03-25 19:22:17.955277,28.87,99.73,12.22,8252.50
2022-03-25 19:22:27.999972,28.90,99.72,12.21,8271.61
2022-03-25 19:22:38.029084,28.90,99.73,12.06,8252.50
2022-03-25 19:22:48.058451,29.02,99.73,12.11,8233.49
2022-03-25 19:22:58.087881,28.92,99.72,12.00,8246.15
2022-03-25 19:23:08.116940,28.77,99.72,11.74,8271.61
2022-03-25 19:23:18.161388,28.91,99.73,11.65,8265.23
2022-03-25 19:23:28.191142,28.92,99.72,11.62,8277.99
2022-03-25 19:23:38.220331,29.04,99.72,11.63,8355.42
2022-03-25 19:23:48.249722,28.89,99.72,11.60,8368.46
2022-03-25 19:23:58.279141,28.62,99.72,11.59,8407.84
2022-03-25 19:24:08.323665,28.42,99.72,11.67,8460.93
2022-03-25 19:24:18.352818,28.49,99.72,11.74,8481.01
2022-03-25 19:24:28.382320,28.52,99.72,11.83,8434.30
2022-03-25 19:24:38.412131,28.49,99.72,11.75,8467.62
2022-03-25 19:24:48.456553,28.47,99.72,11.73,8487.73
2022-03-25 19:24:58.485905,28.50,99.72,11.73,8474.31
2022-03-25 19:25:08.515514,28.52,99.72,11.72,8460.93
2022-03-25 19:25:18.544891,28.44,99.72,11.73,8501.19
2022-03-25 19:25:28.574293,28.13,99.72,11.66,8528.24
