dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:35.882038,0.04,0.00,18.94,5.29,12548.27,5495.03,141828.56,7.16
2022-03-25 19:09:45.911003,0.04,0.00,19.25,5.41,12979.67,5655.02,150503.08,7.16
2022-03-25 19:09:55.939800,0.04,0.00,19.57,5.53,13432.07,5821.94,73619.16,5.20
2022-03-25 19:10:05.968649,0.04,0.00,18.94,5.17,12136.65,5341.59,133760.59,6.65
2022-03-25 19:10:15.997138,0.05,0.00,15.65,4.13,8635.17,4000.85,180744.38,7.53
2022-03-25 19:10:26.041674,0.04,0.00,18.36,4.95,11368.20,5053.02,133760.59,6.65
2022-03-25 19:10:36.070542,0.04,0.00,19.57,5.66,13906.80,5996.20,141828.56,6.82
2022-03-25 19:10:46.099452,0.05,0.00,15.87,3.97,8154.84,3811.08,150503.08,6.99
2022-03-25 19:10:56.128611,0.04,0.00,18.65,5.17,12136.65,5341.59,133760.59,6.65
2022-03-25 19:11:06.157462,0.04,0.00,19.89,5.53,13432.07,5821.94,69997.79,5.09
2022-03-25 19:11:16.186502,0.04,0.00,18.65,5.06,11743.65,5821.94,159838.98,7.16
2022-03-25 19:11:26.215635,0.04,0.00,19.25,5.29,12548.27,5821.94,159838.98,7.16
2022-03-25 19:11:36.244725,0.04,0.00,19.57,5.41,12979.67,3904.27,69997.79,5.09
2022-03-25 19:11:46.273403,0.04,0.00,19.89,5.41,12979.67,5495.03,150503.08,6.99
2022-03-25 19:11:56.302074,0.05,0.00,14.85,3.69,7300.24,5194.37,133760.59,6.65
2022-03-25 19:12:06.330827,0.04,0.00,18.94,5.29,12548.27,5655.02,159838.98,7.16
2022-03-25 19:12:16.359667,0.04,0.00,18.65,4.95,12136.65,5341.59,133760.59,6.65
2022-03-25 19:12:26.388726,0.04,0.00,19.25,5.41,11743.65,5194.37,126249.46,6.50
2022-03-25 19:12:36.432865,0.04,0.00,18.94,5.17,12979.67,5655.02,150503.08,6.99
2022-03-25 19:12:46.461987,0.04,0.00,19.25,5.29,8154.84,3811.08,63389.36,4.89
2022-03-25 19:12:56.491276,0.04,0.00,18.94,5.17,13432.07,5821.94,150503.08,6.99
2022-03-25 19:13:06.520447,0.04,0.00,18.65,5.17,13906.80,5996.20,169896.95,7.34
2022-03-25 19:13:16.549294,0.04,0.00,18.94,4.05,8390.20,3904.27,73619.16,5.20
2022-03-25 19:13:26.578580,0.04,0.00,19.89,4.95,11368.20,5053.02,126249.46,6.50
2022-03-25 19:13:36.607580,0.05,0.00,15.44,5.53,13432.07,5821.94,159838.98,7.16
2022-03-25 19:13:46.636445,0.04,0.00,19.89,4.95,11368.20,5053.02,126249.46,6.50
2022-03-25 19:13:56.665571,0.04,0.00,18.94,5.41,12979.67,5655.02,141828.56,6.82
2022-03-25 19:14:06.694334,0.05,0.00,16.31,4.29,9155.97,4204.82,81579.20,5.43
2022-03-25 19:14:16.723490,0.04,0.00,19.57,5.66,13906.80,5996.20,159838.98,7.16
2022-03-25 19:14:26.752537,0.04,0.00,16.55,4.29,9155.97,4204.82,85955.38,5.54
2022-03-25 19:14:36.781496,0.04,0.00,19.89,5.66,13906.80,5996.20,169896.95,7.34
2022-03-25 19:14:46.825907,0.04,0.00,19.57,5.41,12979.67,5655.02,159838.98,7.16
2022-03-25 19:14:56.854850,0.04,0.00,15.87,4.13,8635.17,4000.85,73619.16,5.20
2022-03-25 19:15:06.884262,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:15:16.913312,0.05,0.00,18.65,5.06,11743.65,5194.37,133760.59,6.65
2022-03-25 19:15:26.942383,0.04,0.00,18.94,5.29,12548.27,5495.03,141828.56,6.82
2022-03-25 19:15:36.971406,0.04,0.00,18.65,5.17,12136.65,5341.59,133760.59,6.65
2022-03-25 19:15:47.000571,0.04,0.00,19.57,5.41,12979.67,5655.02,159838.98,7.16
2022-03-25 19:15:57.029416,0.04,0.00,19.25,5.53,13432.07,5821.94,150503.08,6.99
2022-03-25 19:16:07.058233,0.05,0.00,14.11,3.44,6565.75,3170.46,47686.07,4.35
2022-03-25 19:16:17.087315,0.04,0.00,18.94,5.41,12979.67,5655.02,141828.56,6.82
2022-03-25 19:16:27.116662,0.04,0.00,18.94,5.29,12548.27,5495.03,141828.56,6.82
2022-03-25 19:16:37.145240,0.05,0.00,16.31,4.21,8890.24,4100.97,81579.20,5.43
2022-03-25 19:16:47.174099,0.04,0.00,19.25,5.41,12979.67,5655.02,150503.08,6.99
