dateTime,pm1,pm2_5,pm10
2022-03-25 19:09:29.757235,3,4,7
2022-03-25 19:09:39.776298,3,4,7
2022-03-25 19:09:49.795405,3,4,7
2022-03-25 19:09:59.814633,3,4,7
2022-03-25 19:10:09.833582,3,4,7
2022-03-25 19:10:19.852811,2,3,6
2022-03-25 19:10:29.871920,3,4,7
2022-03-25 19:10:39.906092,3,4,7
2022-03-25 19:10:49.925244,3,4,7
2022-03-25 19:10:59.944411,3,4,7
2022-03-25 19:11:09.963523,3,4,7
2022-03-25 19:11:19.982656,2,3,6
2022-03-25 19:11:30.001614,2,3,6
2022-03-25 19:11:40.020674,3,4,7
2022-03-25 19:11:50.055103,3,4,7
2022-03-25 19:12:00.074230,3,4,7
2022-03-25 19:12:10.093296,3,4,7
2022-03-25 19:12:20.112459,3,4,7
2022-03-25 19:12:30.131659,3,4,7
2022-03-25 19:12:40.150786,2,3,6
2022-03-25 19:12:50.169502,3,4,7
2022-03-25 19:13:00.188553,3,4,7
2022-03-25 19:13:10.207882,3,4,7
2022-03-25 19:13:20.242255,3,4,7
2022-03-25 19:13:30.261537,3,4,7
2022-03-25 19:13:40.280622,2,3,6
2022-03-25 19:13:50.299695,2,3,6
2022-03-25 19:14:00.318835,2,3,6
2022-03-25 19:14:10.337788,2,3,6
2022-03-25 19:14:20.356899,3,4,7
2022-03-25 19:14:30.375941,3,4,7
2022-03-25 19:14:40.394915,3,4,7
2022-03-25 19:14:50.414146,3,4,7
2022-03-25 19:15:00.448335,3,4,7
2022-03-25 19:15:10.467516,2,3,6
2022-03-25 19:15:20.486459,3,4,7
2022-03-25 19:15:30.505490,3,4,7
2022-03-25 19:15:40.524538,3,4,7
2022-03-25 19:15:50.543548,3,4,7
2022-03-25 19:16:00.562665,2,3,6
2022-03-25 19:16:10.581883,3,4,7
2022-03-25 19:16:20.600729,3,4,7
2022-03-25 19:16:30.635402,3,4,7
2022-03-25 19:16:40.654288,3,4,7
2022-03-25 19:16:50.673369,3,4,7
2022-03-25 19:17:00.692404,3,4,7
2022-03-25 19:17:10.711698,3,4,7
2022-03-25 19:17:20.730768,3,4,7
2022-03-25 19:17:30.749675,3,4,7
2022-03-25 19:17:40.768683,3,4,7
2022-03-25 19:17:50.803115,3,4,7
