dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
2022-03-25 19:09:26.250725,16877,9396,1110,97,54,0,0, 0.01410233, 0.22609055, 0.34209383, 0.42353419, 0.84830807, 0.84830807, 0.84830807
2022-03-25 19:09:27.250707,17217,9773,1104,95,51,0,0, 0.01438646, 0.23487704, 0.35027916, 0.43024392, 0.83287327, 0.83287327, 0.83287327
2022-03-25 19:09:28.250931,17525,10140,1099,94,48,0,0, 0.01464356, 0.24341265, 0.35821727, 0.43679583, 0.81784483, 0.81784483, 0.81784483
2022-03-25 19:09:29.249717,17766,10498,1093,92,46,0,0, 0.01484498, 0.25168703, 0.36590888, 0.44310041, 0.80422247, 0.80422247, 0.80422247
2022-03-25 19:09:30.249741,18001,10840,1089,90,43,0,0, 0.01504141, 0.25959632, 0.37339779, 0.44926162, 0.79073882, 0.79073882, 0.79073882
2022-03-25 19:09:31.250152,18230,11046,1091,89,41,0,0, 0.01523294, 0.26444376, 0.37846644, 0.45303181, 0.77651756, 0.77651756, 0.77651756
2022-03-25 19:09:32.249730,18386,11213,1095,87,39,0,0, 0.01536316, 0.26834714, 0.38274977, 0.45601668, 0.76207516, 0.76207516, 0.76207516
2022-03-25 19:09:33.249666,18520,11540,1105,86,37,0,0, 0.01547461, 0.27582887, 0.39126786, 0.46326555, 0.75326807, 0.75326807, 0.75326807
2022-03-25 19:09:34.248740,18716,11776,1113,84,34,0,0, 0.01563873, 0.28131415, 0.39758302, 0.46825301, 0.74248166, 0.74248166, 0.74248166
2022-03-25 19:09:35.248734,18843,11859,1120,82,33,0,0, 0.01574463, 0.28329149, 0.40028329, 0.46959633, 0.72860747, 0.72860747, 0.72860747
2022-03-25 19:09:36.247753,19026,11934,1133,81,31,0,0, 0.01589813, 0.28513957, 0.40352554, 0.47142231, 0.71632081, 0.71632081, 0.71632081
2022-03-25 19:09:37.247801,19445,12095,1148,79,29,0,0, 0.01624800, 0.28911521, 0.40903917, 0.47560739, 0.70666752, 0.70666752, 0.70666752
2022-03-25 19:09:38.246792,20005,12265,1168,78,27,0,0, 0.01671573, 0.29343021, 0.41549707, 0.48073759, 0.69934631, 0.71481839, 0.71481839
2022-03-25 19:09:39.248716,20588,12432,1179,76,26,2,0, 0.01720275, 0.29767286, 0.42086829, 0.48481035, 0.69096767, 0.85683839, 0.85683839
2022-03-25 19:09:40.247749,21172,12480,1184,75,24,2,0, 0.01769051, 0.29923937, 0.42291063, 0.48558431, 0.68039510, 0.84626582, 0.84626582
2022-03-25 19:09:41.246720,21731,12364,1182,73,23,0,0, 0.01815797, 0.29709763, 0.42059187, 0.48202641, 0.66604703, 0.67262423, 0.67262423
2022-03-25 19:09:42.245661,22213,12350,1183,72,22,0,0, 0.01856101, 0.29719235, 0.42084878, 0.48104335, 0.65454806, 0.65454806, 0.65454806
2022-03-25 19:09:43.245700,22601,12337,1183,70,20,0,0, 0.01888480, 0.29721737, 0.42079641, 0.47981117, 0.64307423, 0.64307423, 0.64307423
2022-03-25 19:09:44.245675,22875,12310,1176,69,19,0,0, 0.01911360, 0.29684229, 0.41966519, 0.47749931, 0.63135133, 0.63135133, 0.63135133
2022-03-25 19:09:45.245669,22915,12196,1167,67,18,0,0, 0.01914700, 0.29430712, 0.41622640, 0.47290995, 0.61763303, 0.61763303, 0.61763303
2022-03-25 19:09:46.244693,22909,12072,1154,66,17,0,0, 0.01914234, 0.29148932, 0.41205506, 0.46800081, 0.60414347, 0.60414347, 0.60414347
2022-03-25 19:09:47.244678,22924,11957,1150,67,16,0,0, 0.01915509, 0.28892314, 0.40910527, 0.46531673, 0.59343533, 0.59343533, 0.59343533
2022-03-25 19:09:48.244692,22878,11974,1152,67,15,0,0, 0.01911634, 0.28925566, 0.40962589, 0.46616155, 0.58653034, 0.58653034, 0.58653034
2022-03-25 19:09:49.244656,22686,11961,1153,68,14,0,0, 0.01895591, 0.28879886, 0.40929452, 0.46621453, 0.57938987, 0.57938987, 0.57938987
2022-03-25 19:09:50.244671,22304,11913,1162,70,16,0,0, 0.01863652, 0.28740550, 0.40880478, 0.46755383, 0.59484181, 0.59484181, 0.59484181
2022-03-25 19:09:51.243642,21972,11973,1180,73,19,0,0, 0.01835903, 0.28848003, 0.41173813, 0.47334981, 0.62803245, 0.62803245, 0.62803245
2022-03-25 19:09:52.243663,21700,12031,1197,77,23,0,0, 0.01813241, 0.28957193, 0.41464467, 0.47902958, 0.65972774, 0.65972774, 0.65972774
2022-03-25 19:09:53.243663,21569,12088,1214,80,26,0,0, 0.01802232, 0.29074614, 0.41760408, 0.48473297, 0.69005967, 0.69005967, 0.69005967
2022-03-25 19:09:54.243677,21356,12144,1228,83,29,0,0, 0.01784445, 0.29182387, 0.42007963, 0.48951048, 0.71780450, 0.71780450, 0.71780450
2022-03-25 19:09:55.242669,21091,12191,1230,84,31,0,0, 0.01762338, 0.29266558, 0.42122380, 0.49186454, 0.74257736, 0.74257736, 0.74257736
2022-03-25 19:09:56.242640,20833,12109,1228,85,34,0,0, 0.01740768, 0.29059596, 0.41887386, 0.49060668, 0.76206922, 0.76206922, 0.76206922
2022-03-25 19:09:57.242679,20614,11986,1224,87,37,0,0, 0.01722467, 0.28765080, 0.41548974, 0.48834305, 0.78000680, 0.78000680, 0.78000680
2022-03-25 19:09:58.242651,20498,11796,1209,86,37,0,0, 0.01712768, 0.28325004, 0.40958055, 0.48216898, 0.77411483, 0.77411483, 0.77411483
2022-03-25 19:09:59.242630,20358,11503,1196,88,39,0,0, 0.01701045, 0.27653216, 0.40146109, 0.47528866, 0.78825850, 0.84350698, 0.84350698
2022-03-25 19:10:00.243634,20185,11218,1193,90,44,2,0, 0.01686616, 0.26995531, 0.39464455, 0.47053762, 0.81588581, 0.99058877, 0.99058877
2022-03-25 19:10:01.243628,19976,10961,1197,93,47,2,0, 0.01669150, 0.26398625, 0.38907382, 0.46700315, 0.84306846, 0.98463486, 0.98463486
2022-03-25 19:10:02.243653,19832,10913,1214,96,51,1,0, 0.01657158, 0.26278600, 0.38967704, 0.47037960, 0.87550080, 0.98831544, 0.98831544
2022-03-25 19:10:03.243648,19821,10989,1243,101,55,0,0, 0.01656173, 0.26448588, 0.39434229, 0.47896947, 0.91121106, 0.91778826, 0.91778826
2022-03-25 19:10:04.242888,20030,11063,1271,105,58,0,0, 0.01673641, 0.26632326, 0.39907871, 0.48757119, 0.94610256, 0.94610256, 0.94610256
