dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2022-03-25 19:31:19.047317,67,51201,51201,51201,51201,51201,46719,57625.39,59116.09,53862.07,48836.82,49809.99,41298.99
2022-03-25 19:31:51.623278,67,49646,51201,51201,51201,51201,45665,55875.27,59116.09,53862.07,48836.82,49809.99,40367.27
2022-03-25 19:32:01.635215,67,49344,51201,51201,51201,51201,45636,55535.38,59116.09,53862.07,48836.82,49809.99,40341.63
2022-03-25 19:32:11.662237,67,48843,51201,51201,51201,51201,45648,54971.52,59116.09,53862.07,48836.82,49809.99,40352.24
2022-03-25 19:32:21.673784,67,48662,51201,51201,51201,51201,45848,54767.81,59116.09,53862.07,48836.82,49809.99,40529.04
2022-03-25 19:32:31.701550,67,48752,51201,51201,51201,51201,46238,54869.10,59116.09,53862.07,48836.82,49809.99,40873.79
2022-03-25 19:32:41.713418,67,48910,51201,51201,51201,51201,46538,55046.93,59116.09,53862.07,48836.82,49809.99,41138.99
2022-03-25 19:32:51.740335,67,49192,51201,51201,51201,51201,46902,55364.31,59116.09,53862.07,48836.82,49809.99,41460.76
2022-03-25 19:33:01.752291,67,49529,51201,51201,51201,51201,47268,55743.59,59116.09,53862.07,48836.82,49809.99,41784.30
2022-03-25 19:33:11.779542,67,49953,51201,51201,51201,51201,47636,56220.80,59116.09,53862.07,48836.82,49809.99,42109.61
2022-03-25 19:33:21.791436,67,50284,51201,51201,51201,51201,47862,56593.33,59116.09,53862.07,48836.82,49809.99,42309.39
2022-03-25 19:33:31.818800,67,50650,51201,51201,51201,51201,48096,57005.25,59116.09,53862.07,48836.82,49809.99,42516.24
2022-03-25 19:33:41.830795,67,51067,51201,51201,51201,51201,48205,57474.57,59116.09,53862.07,48836.82,49809.99,42612.59
2022-03-25 19:33:51.857749,67,51201,51201,51201,51201,51201,48272,57625.39,59116.09,53862.07,48836.82,49809.99,42671.82
2022-03-25 19:34:01.870157,67,51201,51201,51201,51201,51201,48305,57625.39,59116.09,53862.07,48836.82,49809.99,42700.99
2022-03-25 19:34:11.896777,67,51201,51201,51201,51201,51201,48405,57625.39,59116.09,53862.07,48836.82,49809.99,42789.39
2022-03-25 19:34:21.908542,67,51201,51201,51201,51201,51201,48386,57625.39,59116.09,53862.07,48836.82,49809.99,42772.59
2022-03-25 19:34:31.935626,67,51201,51201,51201,51201,51201,48382,57625.39,59116.09,53862.07,48836.82,49809.99,42769.06
2022-03-25 19:34:41.947760,67,51201,51201,51201,51201,51201,48325,57625.39,59116.09,53862.07,48836.82,49809.99,42718.67
2022-03-25 19:34:51.975221,67,51201,51201,51201,51201,51201,48300,57625.39,59116.09,53862.07,48836.82,49809.99,42696.57
2022-03-25 19:35:01.987075,67,51201,51201,51201,51201,51201,48378,57625.39,59116.09,53862.07,48836.82,49809.99,42765.52
2022-03-25 19:35:12.014290,67,51201,51201,51201,51201,51201,48380,57625.39,59116.09,53862.07,48836.82,49809.99,42767.29
2022-03-25 19:35:22.026342,67,51201,51201,51201,51201,51201,48456,57625.39,59116.09,53862.07,48836.82,49809.99,42834.47
2022-03-25 19:35:32.053572,67,51201,51201,51201,51201,51201,48522,57625.39,59116.09,53862.07,48836.82,49809.99,42892.82
2022-03-25 19:35:42.065544,67,51201,51201,51201,51201,51201,48486,57625.39,59116.09,53862.07,48836.82,49809.99,42861.00
2022-03-25 19:35:52.077400,67,51201,51201,51201,51201,51201,48495,57625.39,59116.09,53862.07,48836.82,49809.99,42868.95
2022-03-25 19:36:02.104454,67,51201,51201,51201,51201,51201,48454,57625.39,59116.09,53862.07,48836.82,49809.99,42832.71
2022-03-25 19:36:12.116032,67,51201,51201,51201,51201,51201,48419,57625.39,59116.09,53862.07,48836.82,49809.99,42801.77
2022-03-25 19:36:22.142882,67,51201,51201,51201,51201,51201,48186,57625.39,59116.09,53862.07,48836.82,49809.99,42595.80
2022-03-25 19:36:32.154545,67,51201,51201,51201,51201,51201,48020,57625.39,59116.09,53862.07,48836.82,49809.99,42449.05
2022-03-25 19:36:42.181540,67,51201,51201,51201,51201,51201,47965,57625.39,59116.09,53862.07,48836.82,49809.99,42400.44
2022-03-25 19:36:52.193908,67,51201,51201,51201,51201,51201,47824,57625.39,59116.09,53862.07,48836.82,49809.99,42275.79
2022-03-25 19:37:02.221180,67,51201,51201,51201,51201,51201,47691,57625.39,59116.09,53862.07,48836.82,49809.99,42158.22
2022-03-25 19:37:12.248437,67,51201,51201,51201,51201,51201,47542,57625.39,59116.09,53862.07,48836.82,49809.99,42026.51
2022-03-25 19:37:22.260287,67,51144,51201,51201,51201,51201,47385,57561.23,59116.09,53862.07,48836.82,49809.99,41887.72
2022-03-25 19:37:32.287489,67,50782,51201,51201,51201,51201,47399,57153.81,59116.09,53862.07,48836.82,49809.99,41900.10
2022-03-25 19:37:42.299295,67,50582,51201,51201,51201,51201,47393,56928.72,59116.09,53862.07,48836.82,49809.99,41894.80
2022-03-25 19:37:52.326700,67,50472,51201,51201,51201,51201,47392,56804.92,59116.09,53862.07,48836.82,49809.99,41893.91
2022-03-25 19:38:02.354317,67,50412,51201,51201,51201,51201,47287,56737.39,59116.09,53862.07,48836.82,49809.99,41801.09
2022-03-25 19:38:12.366165,67,50328,51201,51201,51201,51201,47251,56642.85,59116.09,53862.07,48836.82,49809.99,41769.27
2022-03-25 19:38:22.393212,66,50411,51201,51201,51201,51201,47081,56736.26,59116.09,53862.07,48836.82,49809.99,41618.99
2022-03-25 19:38:32.405245,67,50578,51200,51201,51201,51201,47159,56924.21,59114.93,53862.07,48836.82,49809.99,41687.95
2022-03-25 19:38:42.416786,67,50593,51201,51201,51201,51201,47131,56941.10,59116.09,53862.07,48836.82,49809.99,41663.19
2022-03-25 19:38:52.444168,67,50642,51201,51201,51201,51201,47225,56996.25,59116.09,53862.07,48836.82,49809.99,41746.29
