dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
2022-03-25 19:09:26.832300,129838,80345,25196,1423,294,0,0, 0.10848825, 1.92108426, 4.55264818, 5.74183137, 8.04861655, 8.04861655, 8.04861655
2022-03-25 19:09:27.832350,129408,80502,24734,1437,269,0,0, 0.10812844, 1.92427217, 4.50756768, 5.70855399, 7.81692382, 7.81692382, 7.81692382
2022-03-25 19:09:28.831464,128441,80334,24265,1451,246,0,0, 0.10732073, 1.91967056, 4.45394162, 5.66646534, 7.59496762, 7.59496762, 7.59496762
2022-03-25 19:09:29.830835,127313,80015,23792,1466,225,0,0, 0.10637784, 1.91153825, 4.39643081, 5.62152470, 7.38758670, 7.38758670, 7.38758670
2022-03-25 19:09:30.829596,126932,79391,23885,1514,206,0,0, 0.10605931, 1.89712690, 4.39169008, 5.65703206, 7.27615339, 7.27615339, 7.27615339
2022-03-25 19:09:31.828472,127271,78751,24615,1595,189,0,0, 0.10634279, 1.88298215, 4.45380763, 5.78710570, 7.27339900, 7.27339900, 7.27339900
2022-03-25 19:09:32.827588,127447,77922,25662,1661,174,0,0, 0.10648988, 1.86441638, 4.54465059, 5.93274469, 7.29866135, 7.29866135, 7.29866135
2022-03-25 19:09:33.826694,128155,77231,26780,1724,162,0,0, 0.10708160, 1.84942782, 4.64639577, 6.08710174, 7.35782668, 7.35782668, 7.35782668
2022-03-25 19:09:34.825916,128214,76667,27394,1728,151,0,0, 0.10713076, 1.83675529, 4.69781055, 6.14167327, 7.33048066, 7.33048066, 7.33048066
2022-03-25 19:09:35.824861,127954,76468,27796,1716,144,0,0, 0.10691349, 1.83204544, 4.73506584, 6.16889599, 7.30263981, 7.30263981, 7.30263981
2022-03-25 19:09:36.824086,128482,76718,28192,1729,141,0,0, 0.10735469, 1.83811610, 4.78258894, 6.22742592, 7.33321873, 7.33321873, 7.33321873
2022-03-25 19:09:37.823051,128823,76980,28602,1870,144,0,0, 0.10763950, 1.84430845, 4.83155772, 6.39448356, 7.53016287, 7.53016287, 7.53016287
2022-03-25 19:09:38.821662,128464,77215,28483,2176,149,0,0, 0.10733970, 1.84931228, 4.82412473, 6.64240940, 7.81655564, 7.81655564, 7.81655564
2022-03-25 19:09:39.819503,127366,77185,27750,2415,154,0,0, 0.10642196, 1.84772530, 4.74598407, 6.76450652, 7.97324086, 7.97324086, 7.97324086
2022-03-25 19:09:40.818874,126738,77146,27017,2632,157,0,0, 0.10589781, 1.84632239, 4.66805338, 6.86751635, 8.10309683, 8.10309683, 8.10309683
2022-03-25 19:09:41.817746,126602,77202,26329,2786,156,0,0, 0.10578362, 1.84746380, 4.59726988, 6.92565140, 8.15431269, 8.15431269, 8.15431269
2022-03-25 19:09:42.817772,127458,77156,26144,2910,155,0,0, 0.10649924, 1.84715089, 4.57768205, 7.00987104, 8.22746006, 8.22746006, 8.22746006
2022-03-25 19:09:43.816416,127878,76669,26171,2990,151,0,0, 0.10685008, 1.83651284, 4.56985082, 7.06869744, 8.25723057, 8.25723057, 8.25723057
2022-03-25 19:09:44.816221,127584,76623,26206,3036,145,0,0, 0.10660479, 1.83522549, 4.57225908, 7.10940610, 8.25006911, 8.25006911, 8.25006911
2022-03-25 19:09:45.813534,127367,76661,26224,2983,132,0,0, 0.10642317, 1.83589792, 4.57476454, 7.06779817, 8.10994699, 8.10994699, 8.10994699
2022-03-25 19:09:46.813734,127142,76421,26209,2758,120,0,0, 0.10623488, 1.83031517, 4.56765488, 6.87293149, 7.81407427, 7.81407427, 7.81407427
2022-03-25 19:09:47.813088,126737,76041,26197,2553,108,0,0, 0.10589669, 1.82138697, 4.55742473, 6.69061358, 7.54099197, 7.54099197, 7.54099197
2022-03-25 19:09:48.812399,125999,75658,26194,2372,101,0,0, 0.10527972, 1.81212422, 4.54789639, 6.53041957, 7.32600081, 7.32600081, 7.32600081
2022-03-25 19:09:49.811141,124541,75288,26184,2223,97,0,0, 0.10406218, 1.80258037, 4.53730145, 6.39483070, 7.15858994, 7.15858994, 7.15858994
2022-03-25 19:09:50.810322,122858,75381,26204,2113,94,0,0, 0.10265555, 1.80326825, 4.54005098, 6.30566446, 7.04258540, 7.04258540, 7.04258540
2022-03-25 19:09:51.809459,121110,75470,26804,2125,104,0,0, 0.10119469, 1.80379915, 4.60327512, 6.37906822, 7.19927801, 7.19927801, 7.19927801
2022-03-25 19:09:52.809113,119067,74720,27492,2180,123,0,0, 0.09948812, 1.78519139, 4.65646683, 6.47832185, 7.44713354, 7.44713354, 7.44713354
2022-03-25 19:09:53.808359,117342,73973,28118,2195,141,0,0, 0.09804671, 1.76689500, 4.70357453, 6.53779333, 7.64358614, 7.64358614, 7.64358614
2022-03-25 19:09:54.807268,116638,74302,28742,2161,156,0,0, 0.09745845, 1.77371445, 4.77559880, 6.58128323, 7.81077513, 7.81077513, 7.81077513
2022-03-25 19:09:55.806211,118667,75473,29369,2106,171,0,0, 0.09915369, 1.80184259, 4.86921583, 6.62931127, 7.97059939, 7.97059939, 7.97059939
2022-03-25 19:09:56.805414,120942,76656,29992,2057,181,0,0, 0.10105442, 1.83043198, 4.96283677, 6.68188699, 8.10342358, 8.10342358, 8.10342358
2022-03-25 19:09:57.804660,123693,77838,30620,2120,193,0,0, 0.10335353, 1.85939582, 5.05739269, 6.82946839, 8.34426122, 8.34426122, 8.34426122
2022-03-25 19:09:58.803785,126331,78544,31215,2254,209,0,0, 0.10555786, 1.87751104, 5.13767373, 7.02170110, 8.66711221, 8.66711221, 8.66711221
2022-03-25 19:09:59.803030,129167,79337,31209,2342,225,0,0, 0.10792705, 1.89777252, 5.15732288, 7.11464641, 8.87794231, 8.87794231, 8.87794231
2022-03-25 19:10:00.800412,132693,80386,30806,2430,235,0,0, 0.11087347, 1.92439286, 5.14180847, 7.17260613, 9.02057784, 9.02057784, 9.02057784
2022-03-25 19:10:01.799953,135912,81722,30463,2543,246,0,0, 0.11356273, 1.95722445, 5.13883071, 7.26390544, 9.19489174, 9.19489174, 9.19489174
2022-03-25 19:10:02.799001,137619,82551,30614,2670,255,0,0, 0.11498974, 1.97734921, 5.17469333, 7.40564103, 9.41162568, 9.41162568, 9.41162568
2022-03-25 19:10:03.797773,136632,82510,30703,2800,264,0,0, 0.11416427, 1.97559478, 5.18229599, 7.52197846, 9.59576018, 9.59576018, 9.59576018
2022-03-25 19:10:04.797105,135388,82421,30502,2897,271,0,0, 0.11312560, 1.97255639, 5.15828239, 7.57905178, 9.70789708, 9.70789708, 9.70789708
2022-03-25 19:10:05.796116,133627,82420,29788,2866,273,0,0, 0.11165403, 1.97106012, 5.08217252, 7.47718159, 9.61654280, 9.61654280, 9.61654280
2022-03-25 19:10:06.795341,131784,82398,29054,2749,268,0,0, 0.11011406, 1.96902780, 5.00350902, 7.30093722, 9.40266996, 9.40266996, 9.40266996
2022-03-25 19:10:07.793799,129664,82202,28339,2615,252,0,0, 0.10834269, 1.96283555, 4.92263674, 7.10814251, 9.08756312, 9.08756312, 9.08756312
2022-03-25 19:10:08.793271,127070,81759,27928,2496,237,0,0, 0.10617527, 1.95066796, 4.86750828, 6.95363254, 8.81488627, 8.81488627, 8.81488627
2022-03-25 19:10:09.792303,125010,80845,27517,2363,224,0,0, 0.10445336, 1.92832028, 4.80228077, 6.77695554, 8.53222737, 8.53222737, 8.53222737
2022-03-25 19:10:10.791724,123872,79499,26616,2230,211,0,0, 0.10350298, 1.89702203, 4.67680260, 6.54029274, 8.19953439, 8.19953439, 8.19953439
2022-03-25 19:10:11.790822,123456,78619,25777,2187,200,0,0, 0.10315518, 1.87680931, 4.56903417, 6.39705562, 7.97024232, 7.97024232, 7.97024232
2022-03-25 19:10:12.789870,125721,78078,25236,2178,193,0,0, 0.10504752, 1.86650578, 4.50218944, 6.32286381, 7.83710812, 7.83710812, 7.83710812
2022-03-25 19:10:13.789000,133998,77376,25208,2208,193,0,0, 0.11196392, 1.85757424, 4.49031833, 6.33598597, 7.85271429, 7.85271429, 7.85271429
