dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:09:35.424221,892,1209,277,306,-129.92,-143.65,-0.04
2022-03-25 19:09:45.433627,893,1210,278,306,-131.14,-145.60,-0.04
2022-03-25 19:09:55.443275,894,1212,278,307,-131.47,-145.35,-0.04
2022-03-25 19:10:05.437429,894,1212,277,306,-127.92,-140.65,-0.04
2022-03-25 19:10:15.446642,894,1212,278,307,-131.47,-145.35,-0.04
2022-03-25 19:10:25.440622,893,1210,277,306,-128.92,-142.65,-0.04
2022-03-25 19:10:35.450096,894,1211,278,306,-130.14,-144.60,-0.04
2022-03-25 19:10:45.459504,894,1211,278,307,-131.47,-146.35,-0.04
2022-03-25 19:10:55.453748,893,1210,277,306,-128.92,-142.65,-0.04
2022-03-25 19:11:05.463385,893,1210,277,307,-130.25,-144.40,-0.04
2022-03-25 19:11:15.473003,893,1210,278,306,-131.14,-145.60,-0.04
2022-03-25 19:11:25.482523,892,1208,277,306,-129.92,-144.65,-0.04
2022-03-25 19:11:35.476479,890,1207,277,306,-131.92,-145.65,-0.04
2022-03-25 19:11:45.486075,891,1207,277,306,-130.92,-145.65,-0.04
2022-03-25 19:11:55.480197,891,1207,277,306,-130.92,-145.65,-0.04
2022-03-25 19:12:05.489615,891,1207,277,306,-130.92,-145.65,-0.04
2022-03-25 19:12:15.499045,891,1207,277,306,-130.92,-145.65,-0.04
2022-03-25 19:12:25.508532,891,1208,277,306,-130.92,-144.65,-0.04
2022-03-25 19:12:35.503257,892,1208,277,306,-129.92,-144.65,-0.04
2022-03-25 19:12:45.512124,892,1208,277,306,-129.92,-144.65,-0.04
2022-03-25 19:12:55.521747,892,1209,277,306,-129.92,-143.65,-0.04
2022-03-25 19:13:05.531401,893,1210,277,306,-128.92,-142.65,-0.04
2022-03-25 19:13:15.525464,893,1210,277,306,-128.92,-142.65,-0.04
2022-03-25 19:13:25.535061,894,1211,278,306,-130.14,-144.60,-0.04
2022-03-25 19:13:35.544790,894,1210,278,307,-131.47,-147.35,-0.04
2022-03-25 19:13:45.538722,893,1210,278,306,-131.14,-145.60,-0.04
2022-03-25 19:13:55.548235,893,1210,278,306,-131.14,-145.60,-0.04
2022-03-25 19:14:05.557756,894,1211,278,307,-131.47,-146.35,-0.04
2022-03-25 19:14:15.567288,895,1212,278,306,-129.14,-143.60,-0.04
2022-03-25 19:14:25.576811,892,1209,277,306,-129.92,-143.65,-0.04
2022-03-25 19:14:35.570980,893,1211,278,306,-131.14,-144.60,-0.04
2022-03-25 19:14:45.580936,893,1210,277,306,-128.92,-142.65,-0.04
2022-03-25 19:14:55.590258,891,1208,277,306,-130.92,-144.65,-0.04
2022-03-25 19:15:05.599846,891,1208,277,306,-130.92,-144.65,-0.04
2022-03-25 19:15:15.609392,892,1209,277,306,-129.92,-143.65,-0.04
2022-03-25 19:15:25.603521,892,1209,277,306,-129.92,-143.65,-0.04
2022-03-25 19:15:35.613064,894,1211,278,306,-130.14,-144.60,-0.04
2022-03-25 19:15:45.606975,893,1210,278,306,-131.14,-145.60,-0.04
2022-03-25 19:15:55.616327,894,1211,277,307,-129.25,-143.40,-0.04
2022-03-25 19:16:05.625910,895,1212,278,307,-130.47,-145.35,-0.04
2022-03-25 19:16:15.619733,896,1215,278,307,-129.47,-142.35,-0.04
2022-03-25 19:16:25.629202,896,1213,278,307,-129.47,-144.35,-0.04
2022-03-25 19:16:35.623289,894,1212,278,306,-130.14,-143.60,-0.04
2022-03-25 19:16:45.632730,894,1211,278,306,-130.14,-144.60,-0.04
2022-03-25 19:16:55.642438,895,1213,278,307,-130.47,-144.35,-0.04
2022-03-25 19:17:05.651862,894,1211,278,306,-130.14,-144.60,-0.04
2022-03-25 19:17:15.645894,895,1212,278,306,-129.14,-143.60,-0.04
2022-03-25 19:17:25.655542,894,1212,277,306,-127.92,-140.65,-0.04
2022-03-25 19:17:35.664858,895,1213,278,307,-130.47,-144.35,-0.04
2022-03-25 19:17:45.658982,896,1214,278,307,-129.47,-143.35,-0.04
2022-03-25 19:17:55.668528,896,1214,279,307,-131.69,-146.30,-0.04
