dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2022-03-25 19:09:27.449720,42,1260,1765,2184,2579,1800,1813,1458.06,2028.93,2251.12,2421.10,1661.12,1557.05
2022-03-25 19:09:37.478629,42,1259,1765,2184,2576,1799,1811,1456.90,2028.93,2251.12,2418.28,1660.19,1555.34
2022-03-25 19:09:47.492540,42,1260,1763,2183,2575,1799,1811,1458.06,2026.63,2250.09,2417.34,1660.19,1555.34
2022-03-25 19:09:57.506570,42,1260,1765,2184,2579,1800,1811,1458.06,2028.93,2251.12,2421.10,1661.12,1555.34
2022-03-25 19:10:07.535618,42,1260,1764,2183,2577,1798,1810,1458.06,2027.78,2250.09,2419.22,1659.27,1554.48
2022-03-25 19:10:17.549253,42,1260,1762,2183,2574,1799,1808,1458.06,2025.48,2250.09,2416.40,1660.19,1552.76
2022-03-25 19:10:27.563359,42,1259,1762,2185,2575,1798,1809,1456.90,2025.48,2252.15,2417.34,1659.27,1553.62
2022-03-25 19:10:37.576589,42,1260,1763,2183,2574,1797,1807,1458.06,2026.63,2250.09,2416.40,1658.35,1551.90
2022-03-25 19:10:47.590714,42,1259,1763,2183,2574,1796,1805,1456.90,2026.63,2250.09,2416.40,1657.43,1550.18
2022-03-25 19:10:57.619328,42,1256,1760,2180,2571,1794,1804,1453.43,2023.18,2247.00,2413.59,1655.58,1549.32
2022-03-25 19:11:07.633329,42,1257,1759,2180,2573,1794,1802,1454.59,2022.03,2247.00,2415.47,1655.58,1547.61
2022-03-25 19:11:17.646970,42,1259,1761,2181,2572,1795,1804,1456.90,2024.33,2248.03,2414.53,1656.50,1549.32
2022-03-25 19:11:27.660465,42,1256,1758,2179,2571,1792,1798,1453.43,2020.88,2245.97,2413.59,1653.73,1544.17
2022-03-25 19:11:37.674253,42,1255,1757,2177,2567,1791,1799,1452.27,2019.73,2243.90,2409.83,1652.81,1545.03
2022-03-25 19:11:47.687919,42,1253,1755,2176,2564,1789,1796,1449.96,2017.43,2242.87,2407.02,1650.97,1542.45
2022-03-25 19:11:57.716765,42,1254,1756,2175,2564,1788,1793,1451.11,2018.58,2241.84,2407.02,1650.04,1539.88
2022-03-25 19:12:07.730827,42,1254,1755,2175,2564,1788,1795,1451.11,2017.43,2241.84,2407.02,1650.04,1541.60
2022-03-25 19:12:17.759644,42,1254,1753,2175,2563,1787,1794,1451.11,2015.13,2241.84,2406.08,1649.12,1540.74
2022-03-25 19:12:27.773466,42,1253,1754,2176,2565,1787,1791,1449.96,2016.28,2242.87,2407.95,1649.12,1538.16
2022-03-25 19:12:37.787503,42,1253,1751,2175,2564,1786,1789,1449.96,2012.84,2241.84,2407.02,1648.20,1536.44
2022-03-25 19:12:47.801253,42,1253,1753,2174,2562,1786,1790,1449.96,2015.13,2240.81,2405.14,1648.20,1537.30
2022-03-25 19:12:57.830145,42,1252,1751,2173,2561,1784,1789,1448.80,2012.84,2239.78,2404.20,1646.35,1536.44
2022-03-25 19:13:07.843550,42,1253,1750,2176,2562,1785,1788,1449.96,2011.69,2242.87,2405.14,1647.27,1535.58
2022-03-25 19:13:17.857790,42,1254,1752,2176,2562,1786,1789,1451.11,2013.98,2242.87,2405.14,1648.20,1536.44
2022-03-25 19:13:27.886782,42,1251,1750,2174,2560,1784,1787,1447.64,2011.69,2240.81,2403.26,1646.35,1534.72
2022-03-25 19:13:37.900415,41,1252,1752,2174,2563,1784,1785,1448.80,2013.98,2240.81,2406.08,1646.35,1533.01
2022-03-25 19:13:47.914213,42,1251,1748,2172,2558,1783,1785,1447.64,2009.39,2238.75,2401.38,1645.43,1533.01
