dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:27.738713,28.56,100.04,16.19,5018.87
2022-03-25 19:09:37.783867,28.63,100.04,15.83,5047.44
2022-03-25 19:09:47.814169,28.74,100.04,15.99,4971.96
2022-03-25 19:09:57.844610,28.62,100.04,15.43,4995.31
2022-03-25 19:10:07.875187,28.68,100.04,15.74,4976.61
2022-03-25 19:10:17.905671,28.70,100.04,15.77,4953.44
2022-03-25 19:10:27.936131,28.64,100.04,15.48,5018.87
2022-03-25 19:10:37.966518,28.77,100.04,16.03,4985.94
2022-03-25 19:10:48.011961,28.56,100.04,15.55,4971.96
2022-03-25 19:10:58.042729,28.47,100.04,14.83,5160.04
2022-03-25 19:11:08.073352,28.38,100.04,14.61,5288.27
2022-03-25 19:11:18.103902,28.43,100.04,15.27,5267.33
2022-03-25 19:11:28.134038,28.50,100.04,15.31,5251.73
2022-03-25 19:11:38.179874,28.59,100.04,15.33,5277.78
2022-03-25 19:11:48.210270,28.72,100.04,15.85,5180.14
2022-03-25 19:11:58.240789,28.82,100.04,15.69,5155.04
2022-03-25 19:12:08.271268,28.92,100.03,16.01,5042.65
2022-03-25 19:12:18.301428,29.10,100.03,17.18,4849.59
2022-03-25 19:12:28.332002,29.22,100.04,18.07,4630.11
2022-03-25 19:12:38.377232,29.19,100.03,16.50,4650.35
2022-03-25 19:12:48.407455,29.21,100.03,15.78,4733.10
2022-03-25 19:12:58.438034,29.14,100.03,14.95,4944.24
2022-03-25 19:13:08.468617,29.21,100.03,14.86,4995.31
2022-03-25 19:13:18.499290,29.20,100.03,15.45,4981.27
2022-03-25 19:13:28.529393,29.01,100.03,14.67,5195.31
2022-03-25 19:13:38.574773,28.95,100.03,14.10,5352.11
2022-03-25 19:13:48.605503,28.95,100.03,14.65,5341.37
2022-03-25 19:13:58.636168,29.01,100.03,14.99,5309.38
2022-03-25 19:14:08.666708,29.07,100.03,15.22,5272.55
2022-03-25 19:14:18.711953,29.11,100.03,15.33,5241.38
2022-03-25 19:14:28.742741,29.06,100.03,15.14,5236.22
2022-03-25 19:14:38.773306,29.12,100.03,14.88,5288.27
2022-03-25 19:14:48.803709,29.08,100.03,14.58,5336.01
2022-03-25 19:14:58.834078,29.09,100.03,14.45,5417.52
2022-03-25 19:15:08.864267,29.18,100.03,14.79,5047.44
2022-03-25 19:15:18.909762,29.23,100.03,14.90,4130.44
2022-03-25 19:15:28.940320,29.33,100.03,15.12,3633.88
2022-03-25 19:15:38.970917,29.47,100.03,16.52,3212.56
2022-03-25 19:15:49.001288,29.55,100.03,16.81,3068.05
2022-03-25 19:15:59.031688,29.62,100.03,16.74,3060.99
2022-03-25 19:16:09.077380,29.57,100.03,15.85,3200.96
2022-03-25 19:16:19.107623,29.49,100.03,15.50,3390.70
2022-03-25 19:16:29.138318,29.51,100.03,15.48,3587.32
2022-03-25 19:16:39.168760,29.52,100.03,15.97,3648.83
2022-03-25 19:16:49.199112,29.59,100.03,16.65,3674.03
2022-03-25 19:16:59.229261,29.57,100.03,16.64,3691.88
2022-03-25 19:17:09.274555,29.22,100.02,15.78,3852.28
2022-03-25 19:17:19.304913,29.09,100.02,15.43,4006.02
2022-03-25 19:17:29.335407,29.07,100.02,15.40,4133.64
2022-03-25 19:17:39.365748,29.05,100.02,15.43,4208.86
2022-03-25 19:17:49.396192,29.06,100.02,15.90,4262.82
2022-03-25 19:17:59.441807,29.05,100.02,15.58,4332.25
2022-03-25 19:18:09.472490,29.12,100.02,15.78,4318.18
2022-03-25 19:18:19.502983,29.11,100.02,15.87,4318.18
2022-03-25 19:18:29.533364,29.07,100.02,14.85,4554.79
2022-03-25 19:18:39.564018,29.04,100.02,14.69,4630.11
2022-03-25 19:18:49.609429,28.82,100.02,14.21,4784.17
2022-03-25 19:18:59.639943,28.71,100.02,14.26,4885.22
2022-03-25 19:19:09.670462,28.70,100.02,14.32,5037.88
2022-03-25 19:19:19.700966,28.67,100.01,14.41,5115.38
2022-03-25 19:19:29.731342,28.69,100.01,14.34,5225.93
2022-03-25 19:19:39.761953,28.80,100.01,14.88,5200.39
2022-03-25 19:19:49.807447,28.86,100.02,14.73,5090.91
2022-03-25 19:19:59.838030,28.92,100.01,15.10,5042.65
2022-03-25 19:20:09.868696,28.85,100.01,14.73,5140.10
2022-03-25 19:20:19.899252,28.64,100.01,14.17,5256.92
2022-03-25 19:20:29.929800,28.52,100.01,13.81,5406.50
2022-03-25 19:20:39.975351,28.40,100.02,13.60,5588.23
2022-03-25 19:20:50.006206,28.12,100.01,13.26,5807.86
