dateTime,timestamp,status,latitudeCoordinate,longitudeCoordinate,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2022-03-25 19:09:29.063915,19:09:29,A,32.986036,-96.63464350000001,3259.16216,N,09638.07861,W,0.461,,2022-03-25,,
2022-03-25 19:09:32.066769,19:09:32,A,32.986042833333336,-96.63462883333335,3259.16257,N,09638.07773,W,0.404,,2022-03-25,,
2022-03-25 19:09:35.066660,19:09:35,A,32.98604133333333,-96.63461033333333,3259.16248,N,09638.07662,W,0.403,,2022-03-25,,
2022-03-25 19:09:38.066641,19:09:38,A,32.986035333333334,-96.63459616666665,3259.16212,N,09638.07577,W,0.731,,2022-03-25,,
2022-03-25 19:09:41.065878,19:09:41,A,32.986043,-96.63458866666666,3259.16258,N,09638.07532,W,0.378,,2022-03-25,,
2022-03-25 19:09:44.067407,19:09:44,A,32.98604383333333,-96.63458799999998,3259.16263,N,09638.07528,W,0.102,,2022-03-25,,
2022-03-25 19:09:47.064653,19:09:47,A,32.98604483333334,-96.63457949999999,3259.16269,N,09638.07477,W,0.445,,2022-03-25,,
2022-03-25 19:09:50.063407,19:09:50,A,32.986044500000006,-96.63458299999999,3259.16267,N,09638.07498,W,0.331,,2022-03-25,,
2022-03-25 19:09:53.066723,19:09:53,A,32.98603216666667,-96.63458633333333,3259.16193,N,09638.07518,W,0.44,,2022-03-25,,
2022-03-25 19:09:56.068353,19:09:56,A,32.98602733333333,-96.63460516666667,3259.16164,N,09638.07631,W,0.768,,2022-03-25,,
2022-03-25 19:09:59.066142,19:09:59,A,32.986036,-96.63458666666665,3259.16216,N,09638.07520,W,1.033,,2022-03-25,,
2022-03-25 19:10:02.066649,19:10:02,A,32.9860355,-96.634591,3259.16213,N,09638.07546,W,0.116,,2022-03-25,,
2022-03-25 19:10:05.067204,19:10:05,A,32.98603383333333,-96.63458816666667,3259.16203,N,09638.07529,W,0.436,,2022-03-25,,
2022-03-25 19:10:08.065801,19:10:08,A,32.986033166666665,-96.63459083333333,3259.16199,N,09638.07545,W,0.118,,2022-03-25,,
2022-03-25 19:10:11.063781,19:10:11,A,32.98604783333334,-96.63458233333334,3259.16287,N,09638.07494,W,0.781,,2022-03-25,,
2022-03-25 19:10:14.066557,19:10:14,A,32.98604516666667,-96.63457916666667,3259.16271,N,09638.07475,W,0.34,,2022-03-25,,
2022-03-25 19:10:17.064605,19:10:17,A,32.98603816666667,-96.63457733333334,3259.16229,N,09638.07464,W,0.607,,2022-03-25,,
2022-03-25 19:10:20.067278,19:10:20,A,32.986031499999996,-96.63458716666668,3259.16189,N,09638.07523,W,0.248,,2022-03-25,,
2022-03-25 19:10:23.067280,19:10:23,A,32.986026,-96.63459616666665,3259.16156,N,09638.07577,W,0.091,,2022-03-25,,
2022-03-25 19:10:26.066765,19:10:26,A,32.986012833333334,-96.634611,3259.16077,N,09638.07666,W,0.586,,2022-03-25,,
2022-03-25 19:10:29.066675,19:10:29,A,32.98599166666667,-96.63463766666668,3259.15950,N,09638.07826,W,1.105,,2022-03-25,,
2022-03-25 19:10:32.069720,19:10:32,A,32.985985166666666,-96.63465416666668,3259.15911,N,09638.07925,W,0.605,,2022-03-25,,
