dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:09:33.944276,1737,2365,554,937,-739.09,-909.05,-0.27
2022-03-25 19:09:43.973130,1737,2365,554,937,-739.09,-909.05,-0.27
2022-03-25 19:09:53.987045,1737,2365,554,937,-739.09,-909.05,-0.27
2022-03-25 19:10:04.001093,1738,2365,554,937,-738.09,-909.05,-0.27
2022-03-25 19:10:14.030001,1740,2368,555,938,-739.64,-910.75,-0.27
2022-03-25 19:10:24.043821,1737,2365,554,937,-739.09,-909.05,-0.27
2022-03-25 19:10:34.057616,1737,2365,554,937,-739.09,-909.05,-0.27
2022-03-25 19:10:44.071252,1736,2364,553,937,-737.87,-907.10,-0.27
2022-03-25 19:10:54.085049,1737,2364,553,937,-736.87,-907.10,-0.26
2022-03-25 19:11:04.113849,1736,2363,553,937,-737.87,-908.10,-0.27
2022-03-25 19:11:14.127701,1734,2362,553,936,-738.54,-907.35,-0.27
2022-03-25 19:11:24.141401,1736,2363,553,937,-737.87,-908.10,-0.27
2022-03-25 19:11:34.154929,1735,2363,553,937,-738.87,-908.10,-0.27
2022-03-25 19:11:44.168473,1733,2360,553,937,-740.87,-911.10,-0.27
2022-03-25 19:11:54.182438,1733,2359,552,937,-738.65,-909.15,-0.27
2022-03-25 19:12:04.211020,1733,2360,552,936,-737.32,-906.40,-0.26
2022-03-25 19:12:14.224954,1733,2360,552,937,-738.65,-908.15,-0.27
2022-03-25 19:12:24.254052,1734,2361,553,937,-739.87,-910.10,-0.27
2022-03-25 19:12:34.267948,1733,2359,552,936,-737.32,-907.40,-0.27
2022-03-25 19:12:44.282040,1735,2363,555,937,-743.31,-914.00,-0.27
2022-03-25 19:12:54.295679,1734,2361,552,937,-737.65,-907.15,-0.27
2022-03-25 19:13:04.324209,1732,2359,552,936,-738.32,-907.40,-0.27
2022-03-25 19:13:14.338365,1734,2362,552,937,-737.65,-906.15,-0.26
2022-03-25 19:13:24.352169,1734,2362,552,937,-737.65,-906.15,-0.26
2022-03-25 19:13:34.381089,1732,2359,552,937,-739.65,-909.15,-0.27
2022-03-25 19:13:44.394778,1734,2362,552,937,-737.65,-906.15,-0.26
2022-03-25 19:13:54.408719,1731,2357,551,936,-737.10,-906.45,-0.26
2022-03-25 19:14:04.437591,1730,2357,551,936,-738.10,-906.45,-0.26
2022-03-25 19:14:14.451320,1730,2356,550,936,-735.88,-904.50,-0.26
2022-03-25 19:14:24.465362,1730,2357,551,936,-738.10,-906.45,-0.26
2022-03-25 19:14:34.479139,1732,2359,552,937,-739.65,-909.15,-0.27
2022-03-25 19:14:44.493149,1732,2358,551,937,-737.43,-907.20,-0.26
2022-03-25 19:14:54.506810,1729,2355,550,936,-736.88,-905.50,-0.26
2022-03-25 19:15:04.535734,1731,2357,550,936,-734.88,-903.50,-0.26
2022-03-25 19:15:14.549484,1731,2358,551,937,-738.43,-907.20,-0.27
2022-03-25 19:15:24.563421,1731,2358,551,937,-738.43,-907.20,-0.27
2022-03-25 19:15:34.592346,1730,2357,550,937,-737.21,-905.25,-0.26
2022-03-25 19:15:44.605910,1730,2357,550,937,-737.21,-905.25,-0.26
2022-03-25 19:15:54.619943,1731,2358,551,937,-738.43,-907.20,-0.27
2022-03-25 19:16:04.633707,1731,2358,551,937,-738.43,-907.20,-0.27
2022-03-25 19:16:14.662408,1731,2358,551,937,-738.43,-907.20,-0.27
2022-03-25 19:16:24.676352,1729,2355,550,936,-736.88,-905.50,-0.26
2022-03-25 19:16:34.690644,1730,2356,550,937,-737.21,-906.25,-0.26
2022-03-25 19:16:44.719492,1730,2356,550,937,-737.21,-906.25,-0.26
2022-03-25 19:16:54.732969,1731,2358,550,937,-736.21,-904.25,-0.26
2022-03-25 19:17:04.746737,1732,2358,551,937,-737.43,-907.20,-0.26
2022-03-25 19:17:14.760829,1732,2359,551,937,-737.43,-906.20,-0.26
2022-03-25 19:17:24.774460,1731,2357,550,937,-736.21,-905.25,-0.26
2022-03-25 19:17:34.803064,1731,2358,550,937,-736.21,-904.25,-0.26
2022-03-25 19:17:44.816956,1732,2360,551,939,-740.09,-908.70,-0.27
2022-03-25 19:17:54.831021,1733,2361,551,938,-737.76,-905.95,-0.26
2022-03-25 19:18:04.844657,1733,2361,551,939,-739.09,-907.70,-0.27
2022-03-25 19:18:14.858699,1733,2361,551,939,-739.09,-907.70,-0.27
2022-03-25 19:18:24.887397,1734,2361,551,939,-738.09,-907.70,-0.27
2022-03-25 19:18:34.901302,1733,2360,551,938,-737.76,-906.95,-0.26
2022-03-25 19:18:44.915168,1734,2362,551,939,-738.09,-906.70,-0.26
2022-03-25 19:18:54.944195,1734,2362,551,940,-739.42,-908.45,-0.27
2022-03-25 19:19:04.958226,1732,2359,550,938,-736.54,-905.00,-0.26
2022-03-25 19:19:14.971999,1732,2360,550,939,-737.87,-905.75,-0.26
2022-03-25 19:19:24.985877,1732,2360,550,939,-737.87,-905.75,-0.26
2022-03-25 19:19:35.014563,1733,2361,551,940,-740.42,-909.45,-0.27
2022-03-25 19:19:45.028409,1732,2360,550,939,-737.87,-905.75,-0.26
2022-03-25 19:19:55.042326,1732,2359,550,939,-737.87,-906.75,-0.26
2022-03-25 19:20:05.056315,1732,2359,550,939,-737.87,-906.75,-0.26
2022-03-25 19:20:15.085127,1737,2366,552,940,-738.64,-907.40,-0.27
2022-03-25 19:20:25.098856,1732,2360,551,939,-740.09,-908.70,-0.27
2022-03-25 19:20:35.112941,1730,2357,550,938,-738.54,-907.00,-0.27
2022-03-25 19:20:45.126819,1733,2361,551,938,-737.76,-905.95,-0.26
2022-03-25 19:20:55.155526,1730,2357,550,938,-738.54,-907.00,-0.27
2022-03-25 19:21:05.169332,1730,2356,550,939,-739.87,-909.75,-0.27
2022-03-25 19:21:15.183176,1728,2354,549,938,-738.32,-907.05,-0.27
2022-03-25 19:21:25.196993,1729,2355,549,938,-737.32,-906.05,-0.26
2022-03-25 19:21:35.210960,1729,2356,549,939,-738.65,-906.80,-0.27
2022-03-25 19:21:45.240121,1729,2355,549,938,-737.32,-906.05,-0.26
2022-03-25 19:21:55.253987,1728,2354,549,938,-738.32,-907.05,-0.27
2022-03-25 19:22:05.283308,1727,2353,549,937,-737.99,-906.30,-0.26
2022-03-25 19:22:15.296899,1728,2354,549,938,-738.32,-907.05,-0.27
2022-03-25 19:22:25.310788,1727,2354,549,937,-737.99,-905.30,-0.26
2022-03-25 19:22:35.339628,1727,2353,548,937,-735.77,-903.35,-0.26
2022-03-25 19:22:45.353379,1727,2353,549,937,-737.99,-906.30,-0.26
2022-03-25 19:22:55.367382,1728,2354,549,938,-738.32,-907.05,-0.27
2022-03-25 19:23:05.396493,1728,2354,549,938,-738.32,-907.05,-0.27
2022-03-25 19:23:15.410584,1726,2352,548,937,-736.77,-904.35,-0.26
2022-03-25 19:23:25.424395,1726,2352,548,937,-736.77,-904.35,-0.26
2022-03-25 19:23:35.453100,1726,2352,548,937,-736.77,-904.35,-0.26
2022-03-25 19:23:45.467104,1726,2352,548,937,-736.77,-904.35,-0.26
2022-03-25 19:23:55.480931,1726,2352,548,937,-736.77,-904.35,-0.26
