dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:25.889456,24.53,99.37,13.04,6426.86
2022-03-25 19:09:36.031756,24.53,99.37,13.00,6434.57
2022-03-25 19:09:46.189465,24.53,99.38,13.04,6536.58
2022-03-25 19:09:56.346900,24.53,99.37,13.06,6609.13
2022-03-25 19:10:06.504468,24.53,99.37,13.15,6544.57
2022-03-25 19:10:16.662005,24.53,99.37,13.10,6596.92
2022-03-25 19:10:26.819407,24.53,99.37,13.07,6617.28
2022-03-25 19:10:36.976828,24.53,99.37,13.09,6666.67
2022-03-25 19:10:47.119226,24.54,99.37,13.11,6708.38
2022-03-25 19:10:57.276754,24.54,99.37,13.17,6674.97
2022-03-25 19:11:07.434477,24.53,99.37,13.16,6617.28
2022-03-25 19:11:17.591996,24.53,99.36,13.13,6679.13
2022-03-25 19:11:27.749541,24.54,99.37,13.07,6725.22
2022-03-25 19:11:37.907118,24.55,99.37,13.11,6725.22
2022-03-25 19:11:48.064604,24.56,99.37,13.22,6750.63
2022-03-25 19:11:58.207111,24.57,99.37,13.35,6776.23
2022-03-25 19:12:08.364726,24.59,99.37,13.57,6776.23
2022-03-25 19:12:18.522238,24.60,99.37,13.44,6819.34
2022-03-25 19:12:28.679635,24.61,99.37,13.41,6828.02
2022-03-25 19:12:38.837063,24.60,99.36,13.41,6876.20
2022-03-25 19:12:48.979545,24.61,99.37,13.44,6802.03
2022-03-25 19:12:59.137176,24.62,99.36,13.45,6863.00
2022-03-25 19:13:09.294811,24.63,99.37,13.31,6885.04
2022-03-25 19:13:19.452511,24.64,99.37,13.38,6845.47
2022-03-25 19:13:29.609935,24.65,99.37,13.46,6907.22
2022-03-25 19:13:39.767348,24.67,99.37,13.53,6880.62
2022-03-25 19:13:49.924714,24.68,99.37,13.59,6828.02
2022-03-25 19:14:00.082271,24.70,99.37,13.66,6925.06
2022-03-25 19:14:10.224577,24.71,99.37,13.72,6925.06
2022-03-25 19:14:20.382227,24.72,99.36,13.60,6911.67
2022-03-25 19:14:30.539729,24.73,99.37,13.61,6970.09
2022-03-25 19:14:40.697428,24.72,99.36,13.46,6988.27
2022-03-25 19:14:50.854981,24.70,99.37,13.34,6997.39
2022-03-25 19:15:01.012356,24.68,99.37,13.25,7043.36
2022-03-25 19:15:11.169844,24.67,99.37,13.18,7099.34
2022-03-25 19:15:21.327243,24.67,99.37,13.21,7113.47
2022-03-25 19:15:31.484829,24.66,99.37,13.38,7146.67
2022-03-25 19:15:41.627005,24.66,99.37,13.38,7214.00
2022-03-25 19:15:51.784360,24.64,99.36,13.35,7170.57
2022-03-25 19:16:01.941995,24.62,99.36,13.13,7209.15
2022-03-25 19:16:12.099523,24.60,99.37,13.07,7253.04
2022-03-25 19:16:22.241797,24.58,99.36,12.93,7302.45
2022-03-25 19:16:32.399434,24.58,99.36,12.92,7382.92
2022-03-25 19:16:42.556744,24.56,99.36,12.91,7423.82
2022-03-25 19:16:52.714113,24.56,99.36,12.94,7388.01
2022-03-25 19:17:02.871406,24.57,99.36,12.99,7470.38
2022-03-25 19:17:13.028747,24.56,99.36,13.02,7449.62
2022-03-25 19:17:23.186441,24.56,99.36,13.01,7538.68
2022-03-25 19:17:33.343947,24.56,99.36,13.21,7517.53
2022-03-25 19:17:43.486536,24.55,99.36,13.36,7475.59
2022-03-25 19:17:53.644097,24.55,99.36,13.22,7449.62
2022-03-25 19:18:03.801583,24.54,99.36,13.14,7512.26
2022-03-25 19:18:13.958845,24.54,99.36,13.06,7586.69
2022-03-25 19:18:24.116286,24.53,99.36,13.00,7586.69
2022-03-25 19:18:34.273941,24.53,99.36,13.00,7597.45
2022-03-25 19:18:44.431252,24.53,99.36,13.03,7657.14
2022-03-25 19:18:54.573628,24.53,99.36,13.03,7657.14
2022-03-25 19:19:04.730973,24.53,99.36,13.00,7673.59
2022-03-25 19:19:14.888288,24.53,99.36,12.97,7624.47
2022-03-25 19:19:25.045795,24.53,99.36,13.01,7657.14
2022-03-25 19:19:35.203551,24.53,99.36,12.99,7695.62
2022-03-25 19:19:45.360903,24.54,99.36,13.00,7651.68
2022-03-25 19:19:55.503487,24.54,99.36,13.00,7690.10
2022-03-25 19:20:05.660772,24.55,99.36,13.03,7728.91
2022-03-25 19:20:15.818470,24.55,99.35,13.11,7597.45
2022-03-25 19:20:25.975894,24.56,99.36,13.23,7690.10
2022-03-25 19:20:36.133505,24.57,99.35,13.39,7690.10
2022-03-25 19:20:46.290764,24.56,99.35,13.42,7712.23
2022-03-25 19:20:56.448176,24.57,99.35,13.25,7701.15
2022-03-25 19:21:06.591125,24.57,99.35,13.25,7679.08
2022-03-25 19:21:16.748287,24.57,99.35,13.20,7723.34
2022-03-25 19:21:26.905690,24.57,99.35,13.23,7706.69
2022-03-25 19:21:37.063155,24.57,99.35,13.20,7695.62
2022-03-25 19:21:47.220649,24.57,99.35,13.35,7740.07
2022-03-25 19:21:57.378018,24.57,99.35,13.42,7745.67
2022-03-25 19:22:07.520493,24.56,99.35,13.39,7701.15
2022-03-25 19:22:17.677856,24.56,99.35,13.28,7728.91
2022-03-25 19:22:27.835498,24.56,99.35,13.27,7684.59
2022-03-25 19:22:37.992767,24.56,99.35,13.21,7768.12
2022-03-25 19:22:48.150347,24.55,99.35,13.17,7745.67
2022-03-25 19:22:58.307797,24.55,99.35,13.17,7756.87
2022-03-25 19:23:08.465178,24.55,99.35,13.03,7802.04
2022-03-25 19:23:18.607351,24.54,99.35,13.04,7790.70
2022-03-25 19:23:28.764647,24.54,99.35,13.00,7859.24
2022-03-25 19:23:38.922109,24.53,99.35,13.00,7870.78
2022-03-25 19:23:49.079446,24.52,99.35,13.03,7905.60
2022-03-25 19:23:59.237215,24.51,99.35,13.06,7882.35
2022-03-25 19:24:09.379390,24.51,99.35,13.08,7893.96
2022-03-25 19:24:19.537043,24.52,99.35,13.08,7905.60
2022-03-25 19:24:29.694680,24.52,99.35,13.16,7853.48
2022-03-25 19:24:39.852181,24.53,99.35,13.22,7899.78
2022-03-25 19:24:50.009833,24.51,99.35,13.19,7882.35
2022-03-25 19:25:00.167109,24.51,99.35,13.18,7982.13
2022-03-25 19:25:10.324576,24.51,99.35,13.17,7988.08
2022-03-25 19:25:20.467171,24.50,99.35,13.18,7905.60
2022-03-25 19:25:30.624627,24.49,99.35,13.21,7988.08
2022-03-25 19:25:40.782231,24.48,99.35,13.17,7994.03
2022-03-25 19:25:50.939692,24.48,99.35,13.05,8023.95
2022-03-25 19:26:01.096997,24.46,99.35,13.10,8005.98
2022-03-25 19:26:11.254380,24.46,99.35,13.10,7964.34
2022-03-25 19:26:21.411853,24.45,99.35,12.98,8096.68
2022-03-25 19:26:31.569428,24.45,99.35,12.91,8054.10
2022-03-25 19:26:41.711797,24.45,99.35,12.86,8133.54
2022-03-25 19:26:51.869253,24.45,99.35,12.83,8127.37
2022-03-25 19:27:02.026716,24.45,99.35,12.85,8072.29
2022-03-25 19:27:12.184121,24.44,99.35,12.83,8084.46
2022-03-25 19:27:22.341364,24.44,99.35,12.84,8158.29
