dateTime,pm1,pm2_5,pm10
2022-03-25 19:09:29.228537,2,3,6
2022-03-25 19:09:39.259394,3,4,7
2022-03-25 19:09:49.290149,2,3,6
2022-03-25 19:09:59.305890,3,4,7
2022-03-25 19:10:09.336730,2,3,6
2022-03-25 19:10:19.367638,2,3,6
2022-03-25 19:10:29.383119,2,3,6
2022-03-25 19:10:39.413894,2,3,6
2022-03-25 19:10:49.429596,2,3,6
2022-03-25 19:10:59.460271,2,3,6
2022-03-25 19:11:09.490984,2,3,6
2022-03-25 19:11:19.506505,2,3,6
2022-03-25 19:11:29.537298,2,3,6
2022-03-25 19:11:39.567933,2,3,6
2022-03-25 19:11:49.583672,2,3,6
2022-03-25 19:11:59.614451,2,3,6
2022-03-25 19:12:09.645233,2,3,6
2022-03-25 19:12:19.661224,3,4,7
2022-03-25 19:12:29.691786,3,4,7
2022-03-25 19:12:39.722329,3,4,7
2022-03-25 19:12:49.738192,3,4,7
2022-03-25 19:12:59.768828,3,4,7
2022-03-25 19:13:09.799536,2,3,6
2022-03-25 19:13:19.815047,2,3,6
2022-03-25 19:13:29.845661,2,3,6
2022-03-25 19:13:39.861290,2,3,6
2022-03-25 19:13:49.892116,3,4,7
2022-03-25 19:13:59.922827,2,3,6
2022-03-25 19:14:09.938538,2,3,6
2022-03-25 19:14:19.969298,2,3,6
2022-03-25 19:14:30.000023,4,5,8
2022-03-25 19:14:40.015479,3,4,7
2022-03-25 19:14:50.046162,3,4,7
2022-03-25 19:15:00.076800,3,4,7
2022-03-25 19:15:10.092542,3,4,7
2022-03-25 19:15:20.123103,3,4,7
2022-03-25 19:15:30.153943,3,4,7
2022-03-25 19:15:40.169556,3,4,7
2022-03-25 19:15:50.200353,3,4,7
2022-03-25 19:16:00.215938,3,4,7
2022-03-25 19:16:10.246852,3,4,7
2022-03-25 19:16:20.277439,3,4,7
2022-03-25 19:16:30.308126,3,4,7
2022-03-25 19:16:40.323666,2,3,6
2022-03-25 19:16:50.354481,3,4,7
2022-03-25 19:17:00.369885,3,4,7
2022-03-25 19:17:10.400513,3,4,7
2022-03-25 19:17:20.431134,3,4,7
2022-03-25 19:17:30.446771,2,3,6
2022-03-25 19:17:40.477449,2,3,6
2022-03-25 19:17:50.508229,2,3,6
2022-03-25 19:18:00.523836,2,3,6
2022-03-25 19:18:10.554596,2,3,6
2022-03-25 19:18:20.570107,3,4,7
2022-03-25 19:18:30.600867,3,4,7
2022-03-25 19:18:40.631723,3,4,7
