dateTime,c02,temperature,humidity
2022-03-25 19:09:26.732896,388,25.89,12.96
2022-03-25 19:09:36.763754,388,25.91,12.95
2022-03-25 19:09:46.794577,387,25.92,13.10
2022-03-25 19:09:56.810346,387,25.93,13.23
2022-03-25 19:10:06.841276,387,25.89,13.20
2022-03-25 19:10:16.872135,386,25.89,13.06
2022-03-25 19:10:26.887446,386,25.89,13.23
2022-03-25 19:10:36.918288,386,25.89,13.38
2022-03-25 19:10:46.948944,385,25.91,13.58
2022-03-25 19:10:56.964566,385,25.91,13.63
2022-03-25 19:11:06.995361,386,25.92,13.67
2022-03-25 19:11:17.026011,385,25.91,13.71
2022-03-25 19:11:27.041635,384,25.91,13.66
2022-03-25 19:11:37.072278,384,25.88,13.28
2022-03-25 19:11:47.103169,383,25.88,13.21
2022-03-25 19:11:57.118796,383,25.89,13.55
2022-03-25 19:12:07.149676,383,25.86,13.66
2022-03-25 19:12:17.165440,385,25.88,13.25
2022-03-25 19:12:27.196237,385,25.91,13.35
2022-03-25 19:12:37.226705,384,25.89,13.60
2022-03-25 19:12:47.242467,382,25.89,13.43
2022-03-25 19:12:57.273442,384,25.91,13.43
2022-03-25 19:13:07.303831,384,25.89,13.11
2022-03-25 19:13:17.319373,383,25.91,13.35
2022-03-25 19:13:27.350035,382,25.88,13.53
2022-03-25 19:13:37.365787,383,25.89,13.53
2022-03-25 19:13:47.396513,383,25.93,13.58
2022-03-25 19:13:57.427202,384,25.91,13.66
2022-03-25 19:14:07.458066,383,25.89,13.76
2022-03-25 19:14:17.473652,383,25.86,13.38
2022-03-25 19:14:27.504424,382,25.86,13.68
2022-03-25 19:14:37.535042,383,25.86,13.58
2022-03-25 19:14:47.550571,382,25.78,13.33
2022-03-25 19:14:57.581319,382,25.72,13.22
2022-03-25 19:15:07.611908,381,25.75,13.07
2022-03-25 19:15:17.627525,382,25.81,13.14
2022-03-25 19:15:27.658238,382,25.81,13.44
2022-03-25 19:15:37.673940,382,25.76,13.44
2022-03-25 19:15:47.704730,382,25.75,13.44
2022-03-25 19:15:57.735416,382,25.71,12.97
2022-03-25 19:16:07.751134,383,25.67,13.02
2022-03-25 19:16:17.781672,384,25.69,12.82
2022-03-25 19:16:27.812553,384,25.72,12.84
2022-03-25 19:16:37.827998,383,25.72,12.99
2022-03-25 19:16:47.858722,383,25.68,12.87
