dateTime,ozone,temperature,pressure,voltage
2022-03-25 19:09:26.899906,22.3,42.4,930.0,0.0937
2022-03-25 19:09:40.892081,28.6,42.4,874.2,0.0938
2022-03-25 19:09:54.851861,23.1,42.4,931.1,0.0938
2022-03-25 19:10:08.844022,23.7,42.4,873.9,0.0938
2022-03-25 19:10:22.836616,34.8,42.4,930.4,0.0938
2022-03-25 19:10:36.796294,31.0,42.4,874.2,0.0938
2022-03-25 19:10:50.788918,29.3,42.4,929.5,0.0938
2022-03-25 19:11:04.781118,32.3,42.4,874.4,0.0938
2022-03-25 19:11:18.740827,37.2,42.4,930.5,0.0938
2022-03-25 19:11:32.732953,36.8,42.4,874.9,0.0938
2022-03-25 19:11:46.725549,29.5,42.4,931.1,0.0938
2022-03-25 19:12:00.685307,28.8,42.4,873.7,0.0938
2022-03-25 19:12:14.677491,28.6,42.4,930.6,0.0939
2022-03-25 19:12:28.669709,36.8,42.4,873.9,0.0938
2022-03-25 19:12:42.629830,37.8,42.4,929.9,0.0939
2022-03-25 19:12:56.621975,34.0,42.4,873.3,0.0939
2022-03-25 19:13:10.614195,37.6,42.4,929.7,0.0939
2022-03-25 19:13:24.573883,40.5,42.4,874.1,0.0939
2022-03-25 19:13:38.566496,36.1,42.4,930.3,0.0939
2022-03-25 19:13:52.525830,30.3,42.4,874.5,0.0939
2022-03-25 19:14:06.518368,36.6,42.4,931.1,0.0939
2022-03-25 19:14:20.510568,36.4,42.4,874.4,0.0939
2022-03-25 19:14:34.470222,32.3,42.4,931.0,0.0939
2022-03-25 19:14:48.462848,33.2,42.4,874.0,0.0939
2022-03-25 19:15:02.455075,31.4,42.4,930.8,0.0940
2022-03-25 19:15:16.414719,34.2,42.4,873.4,0.0940
2022-03-25 19:15:30.407301,37.3,42.4,930.0,0.0940
2022-03-25 19:15:44.399513,32.2,42.4,873.0,0.0940
2022-03-25 19:15:58.359156,26.4,42.4,929.5,0.0940
2022-03-25 19:16:12.351378,26.3,42.4,873.5,0.0940
2022-03-25 19:16:26.343943,28.6,42.4,930.1,0.0940
2022-03-25 19:16:40.303671,24.6,42.4,874.4,0.0940
2022-03-25 19:16:54.295827,22.4,42.4,931.1,0.0940
2022-03-25 19:17:08.288027,25.9,42.4,874.1,0.0940
2022-03-25 19:17:22.247742,32.9,42.4,930.6,0.0940
2022-03-25 19:17:36.240325,38.7,42.4,873.8,0.0940
2022-03-25 19:17:50.232535,36.3,42.5,930.1,0.0940
2022-03-25 19:18:04.192187,39.1,42.5,873.8,0.0940
2022-03-25 19:18:18.184813,44.5,42.5,929.4,0.0941
2022-03-25 19:18:32.176971,42.4,42.5,873.9,0.0941
2022-03-25 19:18:46.136678,46.6,42.6,929.9,0.0941
2022-03-25 19:19:00.128906,50.3,42.6,873.6,0.0941
2022-03-25 19:19:14.121483,45.8,42.6,930.9,0.0941
2022-03-25 19:19:28.080905,32.4,42.7,873.9,0.0941
2022-03-25 19:19:42.073310,24.1,42.7,930.8,0.0941
2022-03-25 19:19:56.065497,19.7,42.7,874.1,0.0941
2022-03-25 19:20:10.025598,17.8,42.8,930.5,0.0941
2022-03-25 19:20:24.017935,21.7,42.8,874.0,0.0942
2022-03-25 19:20:38.010040,19.7,42.8,930.3,0.0942
2022-03-25 19:20:51.969688,28.5,42.8,873.6,0.0942
2022-03-25 19:21:05.962337,34.1,42.9,929.6,0.0942
2022-03-25 19:21:19.921578,29.0,42.9,873.4,0.0942
2022-03-25 19:21:33.914198,28.1,42.9,929.3,0.0942
2022-03-25 19:21:47.906355,29.3,42.9,873.3,0.0942
2022-03-25 19:22:01.866007,30.2,42.9,929.4,0.0942
2022-03-25 19:22:15.858650,34.3,42.9,873.5,0.0942
2022-03-25 19:22:29.850834,35.1,42.9,929.3,0.0942
2022-03-25 19:22:43.810545,25.5,42.9,873.7,0.0942
2022-03-25 19:22:57.803122,23.3,42.9,929.7,0.0942
2022-03-25 19:23:11.795259,25.4,42.9,873.9,0.0942
2022-03-25 19:23:25.754932,24.4,42.9,929.8,0.0943
2022-03-25 19:23:39.747203,28.8,42.9,874.0,0.0943
2022-03-25 19:23:53.739791,33.4,42.9,929.5,0.0943
2022-03-25 19:24:07.699077,37.4,42.9,873.9,0.0943
2022-03-25 19:24:21.691683,29.9,42.9,929.3,0.0943
2022-03-25 19:24:35.683821,22.3,42.9,873.5,0.0943
2022-03-25 19:24:49.643519,30.4,42.9,929.4,0.0943
2022-03-25 19:25:03.636138,36.9,42.9,874.2,0.0943
2022-03-25 19:25:17.628341,26.8,42.9,929.9,0.0943
2022-03-25 19:25:31.587599,16.7,42.9,874.2,0.0943
2022-03-25 19:25:45.580636,17.9,42.9,930.7,0.0944
2022-03-25 19:25:59.572786,24.8,42.9,874.9,0.0944
2022-03-25 19:26:13.532486,31.1,42.9,931.0,0.0944
2022-03-25 19:26:27.524625,26.9,42.9,875.4,0.0944
2022-03-25 19:26:41.517291,27.9,42.9,930.1,0.0944
2022-03-25 19:26:55.476982,32.5,42.9,874.4,0.0944
2022-03-25 19:27:09.469160,34.2,42.9,929.6,0.0944
2022-03-25 19:27:23.461353,46.3,42.9,873.3,0.0944
2022-03-25 19:27:37.421023,49.7,42.9,930.3,0.0944
2022-03-25 19:27:51.413587,37.1,42.9,874.5,0.0944
2022-03-25 19:28:05.373337,37.8,42.9,931.1,0.0945
2022-03-25 19:28:19.365529,43.0,42.9,874.8,0.0945
2022-03-25 19:28:33.358073,44.6,43.0,929.6,0.0945
2022-03-25 19:28:47.317377,38.1,43.0,874.4,0.0945
2022-03-25 19:29:01.309990,31.4,43.1,931.0,0.0945
2022-03-25 19:29:15.302135,28.4,43.1,874.0,0.0945
2022-03-25 19:29:29.261893,25.8,43.2,930.4,0.0945
2022-03-25 19:29:43.254045,29.1,43.3,875.0,0.0945
2022-03-25 19:29:57.246631,30.4,43.3,929.5,0.0945
2022-03-25 19:30:11.206312,34.4,43.3,874.7,0.0945
2022-03-25 19:30:25.198554,41.6,43.4,930.5,0.0946
2022-03-25 19:30:39.191154,32.3,43.4,874.1,0.0946
2022-03-25 19:30:53.150852,22.4,43.4,931.0,0.0946
2022-03-25 19:31:07.142988,29.3,43.4,873.8,0.0946
2022-03-25 19:31:21.135651,20.2,43.4,930.5,0.0946
2022-03-25 19:31:35.094916,10.7,43.4,874.8,0.0946
2022-03-25 19:31:49.087517,16.7,43.4,929.5,0.0946
2022-03-25 19:32:03.079697,30.9,43.4,874.2,0.0946
2022-03-25 19:32:17.039409,31.4,43.4,930.4,0.0946
2022-03-25 19:32:31.031962,16.8,43.4,873.8,0.0946
2022-03-25 19:32:45.024167,21.0,43.4,930.9,0.0946
2022-03-25 19:32:58.983902,40.0,43.4,874.4,0.0946
2022-03-25 19:33:12.976540,48.7,43.4,930.4,0.0947
2022-03-25 19:33:26.968704,41.7,43.4,874.9,0.0947
2022-03-25 19:33:40.928389,32.6,43.4,929.3,0.0947
2022-03-25 19:33:54.920562,26.5,43.4,874.5,0.0947
2022-03-25 19:34:08.913159,23.4,43.4,930.1,0.0947
2022-03-25 19:34:22.872468,31.7,43.4,873.9,0.0947
2022-03-25 19:34:36.865058,35.0,43.4,930.7,0.0947
2022-03-25 19:34:50.857269,27.9,43.4,874.6,0.0947
2022-03-25 19:35:04.816942,28.7,43.4,929.5,0.0947
2022-03-25 19:35:18.809559,25.8,43.4,874.7,0.0947
2022-03-25 19:35:32.769253,20.2,43.4,930.5,0.0947
2022-03-25 19:35:46.761405,23.2,43.4,873.9,0.0947
2022-03-25 19:36:00.754029,30.8,43.4,930.5,0.0947
2022-03-25 19:36:14.713345,31.0,43.4,875.4,0.0946
2022-03-25 19:36:28.705954,32.3,43.4,929.3,0.0947
2022-03-25 19:36:42.698118,35.0,43.4,874.0,0.0946
2022-03-25 19:36:56.657869,29.2,43.4,930.4,0.0946
2022-03-25 19:37:10.650037,22.7,43.4,875.1,0.0946
2022-03-25 19:37:24.642638,19.6,43.4,930.1,0.0946
2022-03-25 19:37:38.602292,25.8,43.4,874.3,0.0946
2022-03-25 19:37:52.594502,28.8,43.4,929.7,0.0946
2022-03-25 19:38:06.587130,28.9,43.4,873.7,0.0946
2022-03-25 19:38:20.546724,37.8,43.4,930.4,0.0946
2022-03-25 19:38:34.538982,50.3,43.4,874.4,0.0946
2022-03-25 19:38:48.531157,53.1,43.4,930.7,0.0946
