dateTime,lightLevel
2022-03-25 19:09:32.474970,744
2022-03-25 19:09:44.492810,742
2022-03-25 19:09:56.510564,745
2022-03-25 19:10:08.543171,744
2022-03-25 19:10:20.560989,743
2022-03-25 19:10:32.593937,741
2022-03-25 19:10:44.611701,742
2022-03-25 19:10:56.629509,741
2022-03-25 19:11:08.662378,742
2022-03-25 19:11:20.680146,743
2022-03-25 19:11:32.698104,741
2022-03-25 19:11:44.730873,743
2022-03-25 19:11:56.748679,744
2022-03-25 19:12:08.766363,742
2022-03-25 19:12:20.799124,742
2022-03-25 19:12:32.816807,742
2022-03-25 19:12:44.834446,743
2022-03-25 19:12:56.852087,743
2022-03-25 19:13:08.884898,743
2022-03-25 19:13:20.902498,741
2022-03-25 19:13:32.920319,745
2022-03-25 19:13:44.953029,743
2022-03-25 19:13:56.970583,743
2022-03-25 19:14:09.003636,744
2022-03-25 19:14:21.021509,744
2022-03-25 19:14:33.039350,741
2022-03-25 19:14:45.056703,742
2022-03-25 19:14:57.089555,743
2022-03-25 19:15:09.107457,744
2022-03-25 19:15:21.140291,742
2022-03-25 19:15:33.158016,742
2022-03-25 19:15:45.175722,744
2022-03-25 19:15:57.208652,744
2022-03-25 19:16:09.226508,745
2022-03-25 19:16:21.259554,746
2022-03-25 19:16:33.277004,743
2022-03-25 19:16:45.294953,742
2022-03-25 19:16:57.327784,742
2022-03-25 19:17:09.345476,743
2022-03-25 19:17:21.378664,744
2022-03-25 19:17:33.396317,741
2022-03-25 19:17:45.413848,742
2022-03-25 19:17:57.431659,741
2022-03-25 19:18:09.464141,741
2022-03-25 19:18:21.481672,743
2022-03-25 19:18:33.499587,744
2022-03-25 19:18:45.516919,743
2022-03-25 19:18:57.549900,743
2022-03-25 19:19:09.567593,743
2022-03-25 19:19:21.585261,743
2022-03-25 19:19:33.618142,743
2022-03-25 19:19:45.635912,741
2022-03-25 19:19:57.653595,745
2022-03-25 19:20:09.686334,746
2022-03-25 19:20:21.703944,741
2022-03-25 19:20:33.721734,742
2022-03-25 19:20:45.739312,742
2022-03-25 19:20:57.772305,745
2022-03-25 19:21:09.790230,742
2022-03-25 19:21:21.808111,742
2022-03-25 19:21:33.840933,742
2022-03-25 19:21:45.858783,743
2022-03-25 19:21:57.876304,742
2022-03-25 19:22:09.909159,746
2022-03-25 19:22:21.927099,743
2022-03-25 19:22:33.959860,742
2022-03-25 19:22:45.977829,744
2022-03-25 19:22:58.010748,744
2022-03-25 19:23:10.028472,742
2022-03-25 19:23:22.046330,743
2022-03-25 19:23:34.064004,741
2022-03-25 19:23:46.096557,745
2022-03-25 19:23:58.114036,741
2022-03-25 19:24:10.131768,745
2022-03-25 19:24:22.149443,745
2022-03-25 19:24:34.182315,742
2022-03-25 19:24:46.199939,742
2022-03-25 19:24:58.217758,741
2022-03-25 19:25:10.250476,743
2022-03-25 19:25:22.268553,745
2022-03-25 19:25:34.286116,741
2022-03-25 19:25:46.318969,742
2022-03-25 19:25:58.336516,745
2022-03-25 19:26:10.354331,741
2022-03-25 19:26:22.387295,742
2022-03-25 19:26:34.404994,743
2022-03-25 19:26:46.422629,742
2022-03-25 19:26:58.455274,742
2022-03-25 19:27:10.472875,742
2022-03-25 19:27:22.490797,745
2022-03-25 19:27:34.523570,744
2022-03-25 19:27:46.541436,742
2022-03-25 19:27:58.559417,742
2022-03-25 19:28:10.592104,742
2022-03-25 19:28:22.609682,743
2022-03-25 19:28:34.627653,742
2022-03-25 19:28:46.660655,741
2022-03-25 19:28:58.678372,742
2022-03-25 19:29:10.696119,746
2022-03-25 19:29:22.713692,744
2022-03-25 19:29:34.746608,742
2022-03-25 19:29:46.764484,743
2022-03-25 19:29:58.782163,742
2022-03-25 19:30:10.814941,745
2022-03-25 19:30:22.832999,743
2022-03-25 19:30:34.865699,745
2022-03-25 19:30:46.883337,741
2022-03-25 19:30:58.901221,746
2022-03-25 19:31:10.918962,742
2022-03-25 19:31:22.951700,745
2022-03-25 19:31:34.969549,743
2022-03-25 19:31:46.987228,743
2022-03-25 19:31:59.019954,743
2022-03-25 19:32:11.037699,742
2022-03-25 19:32:23.055311,742
2022-03-25 19:32:35.072754,742
2022-03-25 19:32:47.105635,744
2022-03-25 19:32:59.123475,745
2022-03-25 19:33:11.156405,742
2022-03-25 19:33:23.174233,743
2022-03-25 19:33:35.192178,742
2022-03-25 19:33:47.224975,742
2022-03-25 19:33:59.242959,741
2022-03-25 19:34:11.275687,743
2022-03-25 19:34:23.293523,742
2022-03-25 19:34:35.311441,744
2022-03-25 19:34:47.343991,743
2022-03-25 19:34:59.362022,744
2022-03-25 19:35:11.394705,741
2022-03-25 19:35:23.412213,742
2022-03-25 19:35:35.429730,742
2022-03-25 19:35:47.447420,743
2022-03-25 19:35:59.480374,745
2022-03-25 19:36:11.498313,744
2022-03-25 19:36:23.531260,742
2022-03-25 19:36:35.549041,741
2022-03-25 19:36:47.566718,742
2022-03-25 19:36:59.584500,745
2022-03-25 19:37:11.617163,742
2022-03-25 19:37:23.634884,742
