dateTime,infraRed,red,green,blue,proximity
2022-03-25 19:09:29.498940,44498.00,12911.00,14796.00,21776.00,40
2022-03-25 19:09:41.531842,44493.00,12910.00,14794.00,21774.00,40
2022-03-25 19:09:53.549598,44491.00,12911.00,14795.00,21775.00,40
2022-03-25 19:10:05.567651,44487.00,12910.00,14796.00,21775.00,40
2022-03-25 19:10:17.584882,44497.00,12910.00,14799.00,21776.00,40
2022-03-25 19:10:29.618019,44492.00,12913.00,14802.00,21780.00,40
2022-03-25 19:10:41.635879,44499.00,12916.00,14806.00,21783.00,40
2022-03-25 19:10:53.668531,44504.00,12916.00,14808.00,21784.00,40
2022-03-25 19:11:05.686918,44508.00,12919.00,14812.00,21788.00,40
2022-03-25 19:11:17.704011,44525.00,12923.00,14815.00,21794.00,40
2022-03-25 19:11:29.737028,44530.00,12925.00,14819.00,21795.00,39
2022-03-25 19:11:41.754813,44524.00,12929.00,14822.00,21797.00,40
2022-03-25 19:11:53.772760,44539.00,12932.00,14827.00,21803.00,40
2022-03-25 19:12:05.805406,44556.00,12936.00,14831.00,21808.00,40
2022-03-25 19:12:17.823422,44557.00,12942.00,14838.00,21812.00,40
2022-03-25 19:12:29.841072,44581.00,12948.00,14844.00,21818.00,39
2022-03-25 19:12:41.858499,44592.00,12951.00,14849.00,21825.00,40
2022-03-25 19:12:53.891245,44597.00,12956.00,14855.00,21831.00,40
2022-03-25 19:13:05.909587,44607.00,12962.00,14860.00,21838.00,40
2022-03-25 19:13:17.926610,44622.00,12968.00,14868.00,21845.00,40
2022-03-25 19:13:29.959439,44641.00,12975.00,14873.00,21851.00,39
2022-03-25 19:13:41.977073,44656.00,12980.00,14880.00,21860.00,40
2022-03-25 19:13:53.994622,44674.00,12988.00,14889.00,21870.00,40
2022-03-25 19:14:06.027701,44693.00,12994.00,14896.00,21877.00,40
2022-03-25 19:14:18.045591,44718.00,13001.00,14902.00,21886.00,40
2022-03-25 19:14:30.078355,44731.00,13005.00,14910.00,21894.00,40
2022-03-25 19:14:42.095745,44749.00,13012.00,14917.00,21902.00,40
2022-03-25 19:14:54.113584,44767.00,13020.00,14923.00,21910.00,40
2022-03-25 19:15:06.131339,44784.00,13027.00,14931.00,21920.00,40
2022-03-25 19:15:18.164395,44803.00,13036.00,14941.00,21927.00,40
2022-03-25 19:15:30.182143,44821.00,13043.00,14948.00,21938.00,40
2022-03-25 19:15:42.214794,44835.00,13047.00,14955.00,21947.00,40
2022-03-25 19:15:54.232674,44855.00,13054.00,14964.00,21958.00,40
2022-03-25 19:16:06.250551,44873.00,13058.00,14970.00,21965.00,40
2022-03-25 19:16:18.283579,44881.00,13062.00,14975.00,21971.00,40
2022-03-25 19:16:30.301127,44895.00,13065.00,14981.00,21980.00,40
2022-03-25 19:16:42.334122,44907.00,13069.00,14987.00,21987.00,40
2022-03-25 19:16:54.351873,44911.00,13072.00,14992.00,21991.00,40
2022-03-25 19:17:06.370316,44927.00,13077.00,14997.00,21996.00,40
2022-03-25 19:17:18.402664,44935.00,13079.00,15003.00,22001.00,40
2022-03-25 19:17:30.420332,44949.00,13086.00,15008.00,22009.00,40
2022-03-25 19:17:42.437870,44967.00,13090.00,15016.00,22017.00,40
2022-03-25 19:17:54.483596,44975.00,13093.00,15020.00,22022.00,40
2022-03-25 19:18:06.488191,44984.00,13097.00,15025.00,22028.00,40
2022-03-25 19:18:18.505979,44998.00,13100.00,15030.00,22035.00,40
2022-03-25 19:18:30.523509,45009.00,13105.00,15036.00,22042.00,40
2022-03-25 19:18:42.556064,45022.00,13109.00,15041.00,22049.00,40
2022-03-25 19:18:54.573848,45031.00,13111.00,15046.00,22054.00,40
2022-03-25 19:19:06.591655,45033.00,13111.00,15047.00,22056.00,40
2022-03-25 19:19:18.624530,45047.00,13115.00,15053.00,22062.00,40
2022-03-25 19:19:30.642177,45063.00,13119.00,15057.00,22068.00,39
2022-03-25 19:19:42.659974,45061.00,13121.00,15062.00,22071.00,40
2022-03-25 19:19:54.692575,45070.00,13125.00,15065.00,22076.00,40
2022-03-25 19:20:06.710882,45074.00,13125.00,15068.00,22078.00,40
2022-03-25 19:20:18.727885,45070.00,13125.00,15070.00,22077.00,40
2022-03-25 19:20:30.745822,45075.00,13125.00,15074.00,22081.00,40
2022-03-25 19:20:42.778438,45088.00,13125.00,15076.00,22085.00,40
2022-03-25 19:20:54.796254,45080.00,13124.00,15077.00,22084.00,40
2022-03-25 19:21:06.829583,45080.00,13124.00,15080.00,22087.00,40
2022-03-25 19:21:18.847125,45083.00,13124.00,15082.00,22090.00,39
2022-03-25 19:21:30.864874,45089.00,13124.00,15085.00,22095.00,40
2022-03-25 19:21:42.898010,45088.00,13124.00,15088.00,22100.00,40
2022-03-25 19:21:54.915355,45092.00,13124.00,15092.00,22104.00,40
2022-03-25 19:22:06.933755,45099.00,13123.00,15097.00,22106.00,40
2022-03-25 19:22:18.966258,45096.00,13124.00,15098.00,22109.00,40
2022-03-25 19:22:30.984089,45102.00,13124.00,15100.00,22111.00,40
2022-03-25 19:22:43.017145,45111.00,13125.00,15104.00,22116.00,39
2022-03-25 19:22:55.034735,45114.00,13127.00,15108.00,22121.00,40
2022-03-25 19:23:07.053098,45122.00,13129.00,15112.00,22124.00,40
2022-03-25 19:23:19.085425,45131.00,13129.00,15113.00,22128.00,40
2022-03-25 19:23:31.103157,45119.00,13129.00,15116.00,22129.00,39
2022-03-25 19:23:43.120504,45120.00,13129.00,15118.00,22131.00,39
2022-03-25 19:23:55.138152,45121.00,13128.00,15119.00,22130.00,40
2022-03-25 19:24:07.170878,45135.00,13129.00,15123.00,22136.00,40
2022-03-25 19:24:19.188682,45140.00,13130.00,15126.00,22138.00,40
2022-03-25 19:24:31.206388,45130.00,13128.00,15127.00,22136.00,40
2022-03-25 19:24:43.239143,45135.00,13130.00,15129.00,22141.00,40
2022-03-25 19:24:55.256711,45140.00,13130.00,15131.00,22142.00,40
2022-03-25 19:25:07.274393,45131.00,13128.00,15131.00,22143.00,40
2022-03-25 19:25:19.307637,45131.00,13128.00,15133.00,22145.00,40
2022-03-25 19:25:31.325395,45135.00,13128.00,15136.00,22146.00,40
2022-03-25 19:25:43.343268,45136.00,13128.00,15137.00,22148.00,40
2022-03-25 19:25:55.360535,45130.00,13126.00,15137.00,22146.00,40
2022-03-25 19:26:07.393356,45112.00,13115.00,15129.00,22140.00,40
2022-03-25 19:26:19.411357,45116.00,13117.00,15133.00,22142.00,40
2022-03-25 19:26:31.443961,45121.00,13120.00,15138.00,22146.00,40
2022-03-25 19:26:43.461634,45117.00,13118.00,15138.00,22144.00,39
2022-03-25 19:26:55.479383,45112.00,13117.00,15138.00,22145.00,40
2022-03-25 19:27:07.496930,45107.00,13114.00,15138.00,22145.00,40
2022-03-25 19:27:19.529756,45099.00,13111.00,15138.00,22139.00,40
2022-03-25 19:27:31.547636,45094.00,13107.00,15136.00,22139.00,40
2022-03-25 19:27:43.580499,45093.00,13103.00,15136.00,22139.00,40
2022-03-25 19:27:55.598609,45090.00,13101.00,15135.00,22137.00,39
2022-03-25 19:28:07.616280,45086.00,13101.00,15136.00,22138.00,40
2022-03-25 19:28:19.633762,45090.00,13101.00,15139.00,22141.00,40
2022-03-25 19:28:31.666555,45089.00,13102.00,15143.00,22143.00,40
2022-03-25 19:28:43.684647,45086.00,13101.00,15144.00,22144.00,40
2022-03-25 19:28:55.702321,45083.00,13101.00,15145.00,22144.00,40
2022-03-25 19:29:07.735053,45092.00,13105.00,15151.00,22150.00,40
2022-03-25 19:29:19.752764,45099.00,13107.00,15154.00,22153.00,40
2022-03-25 19:29:31.770916,45115.00,13113.00,15162.00,22159.00,40
2022-03-25 19:29:43.803496,45127.00,13120.00,15168.00,22164.00,40
2022-03-25 19:29:55.821190,45142.00,13127.00,15175.00,22173.00,40
2022-03-25 19:30:07.838933,45159.00,13133.00,15182.00,22181.00,40
2022-03-25 19:30:19.871933,45174.00,13138.00,15187.00,22185.00,40
2022-03-25 19:30:31.889695,45184.00,13144.00,15195.00,22193.00,40
2022-03-25 19:30:43.907570,45194.00,13149.00,15200.00,22202.00,40
2022-03-25 19:30:55.940133,45200.00,13152.00,15204.00,22202.00,39
2022-03-25 19:31:07.957948,45208.00,13156.00,15209.00,22206.00,40
2022-03-25 19:31:19.975911,45213.00,13157.00,15213.00,22210.00,40
2022-03-25 19:31:31.993665,45215.00,13160.00,15215.00,22210.00,40
2022-03-25 19:31:44.026227,45222.00,13161.00,15220.00,22217.00,40
2022-03-25 19:31:56.044100,45223.00,13163.00,15220.00,22217.00,40
2022-03-25 19:32:08.061736,45225.00,13164.00,15224.00,22218.00,40
2022-03-25 19:32:20.094393,45216.00,13162.00,15222.00,22214.00,40
2022-03-25 19:32:32.111896,45220.00,13164.00,15225.00,22218.00,40
2022-03-25 19:32:44.129732,45223.00,13164.00,15228.00,22219.00,40
2022-03-25 19:32:56.162609,45225.00,13164.00,15231.00,22221.00,39
2022-03-25 19:33:08.180599,45228.00,13165.00,15233.00,22222.00,40
2022-03-25 19:33:20.198306,45223.00,13163.00,15234.00,22221.00,40
2022-03-25 19:33:32.231147,45221.00,13163.00,15237.00,22222.00,40
2022-03-25 19:33:44.249183,45212.00,13162.00,15236.00,22222.00,40
2022-03-25 19:33:56.282160,45215.00,13162.00,15238.00,22221.00,40
2022-03-25 19:34:08.300451,45212.00,13162.00,15241.00,22223.00,40
2022-03-25 19:34:20.317603,45217.00,13163.00,15244.00,22224.00,40
2022-03-25 19:34:32.350468,45218.00,13164.00,15246.00,22228.00,40
2022-03-25 19:34:44.368187,45215.00,13163.00,15248.00,22224.00,40
2022-03-25 19:34:56.401242,45219.00,13164.00,15250.00,22230.00,40
2022-03-25 19:35:08.418669,45219.00,13163.00,15250.00,22228.00,40
2022-03-25 19:35:20.436189,45226.00,13166.00,15256.00,22236.00,40
2022-03-25 19:35:32.468829,45227.00,13166.00,15258.00,22236.00,39
2022-03-25 19:35:44.486485,45219.00,13164.00,15258.00,22234.00,40
2022-03-25 19:35:56.504294,45227.00,13164.00,15261.00,22237.00,40
2022-03-25 19:36:08.537363,45216.00,13161.00,15260.00,22235.00,40
2022-03-25 19:36:20.555285,45210.00,13161.00,15261.00,22235.00,40
2022-03-25 19:36:32.572939,45217.00,13159.00,15263.00,22238.00,40
2022-03-25 19:36:44.605804,45200.00,13156.00,15261.00,22232.00,40
2022-03-25 19:36:56.623569,45194.00,13153.00,15261.00,22233.00,40
2022-03-25 19:37:08.641217,45199.00,13155.00,15265.00,22235.00,40
2022-03-25 19:37:20.658775,45189.00,13152.00,15264.00,22232.00,39
2022-03-25 19:37:32.691305,45181.00,13150.00,15264.00,22231.00,40
2022-03-25 19:37:44.709192,45186.00,13148.00,15264.00,22230.00,40
2022-03-25 19:37:56.726980,45176.00,13147.00,15265.00,22230.00,40
2022-03-25 19:38:08.759779,45175.00,13144.00,15265.00,22225.00,40
2022-03-25 19:38:20.777836,45163.00,13144.00,15265.00,22225.00,40
2022-03-25 19:38:32.795576,45162.00,13145.00,15270.00,22228.00,40
2022-03-25 19:38:44.828403,45161.00,13145.00,15272.00,22227.00,40
2022-03-25 19:38:56.845890,45162.00,13146.00,15272.00,22227.00,40
