dateTime,luminosity,ir,full,visible,lux
2022-03-25 19:09:27.482921,2942304255,44895,65535,20640,-1.000000
2022-03-25 19:09:39.515776,2943156223,44908,65535,20627,-1.000000
2022-03-25 19:09:51.533477,2943680511,44916,65535,20619,-1.000000
2022-03-25 19:10:03.551097,2943942655,44920,65535,20615,-1.000000
2022-03-25 19:10:15.583987,2945122303,44938,65535,20597,-1.000000
2022-03-25 19:10:27.601845,2946039807,44952,65535,20583,-1.000000
2022-03-25 19:10:39.619644,2947219455,44970,65535,20565,-1.000000
2022-03-25 19:10:51.652477,2948268031,44986,65535,20549,-1.000000
2022-03-25 19:11:03.670268,2948726783,44993,65535,20542,-1.000000
2022-03-25 19:11:15.687996,2949906431,45011,65535,20524,-1.000000
2022-03-25 19:11:27.720895,2952003583,45043,65535,20492,-1.000000
2022-03-25 19:11:39.738603,2953183231,45061,65535,20474,-1.000000
2022-03-25 19:11:51.771530,2954690559,45084,65535,20451,-1.000000
2022-03-25 19:12:03.789354,2956001279,45104,65535,20431,-1.000000
2022-03-25 19:12:15.806957,2957705215,45130,65535,20405,-1.000000
2022-03-25 19:12:27.824804,2959015935,45150,65535,20385,-1.000000
2022-03-25 19:12:39.857404,2960850943,45178,65535,20357,-1.000000
2022-03-25 19:12:51.875108,2962685951,45206,65535,20329,-1.000000
2022-03-25 19:13:03.892749,2963996671,45226,65535,20309,-1.000000
2022-03-25 19:13:15.910553,2965569535,45250,65535,20285,-1.000000
2022-03-25 19:13:27.943324,2967339007,45277,65535,20258,-1.000000
2022-03-25 19:13:39.961086,2968715263,45298,65535,20237,-1.000000
2022-03-25 19:13:51.978709,2970419199,45324,65535,20211,-1.000000
2022-03-25 19:14:04.011698,2971926527,45347,65535,20188,-1.000000
2022-03-25 19:14:16.044501,2973171711,45366,65535,20169,-1.000000
2022-03-25 19:14:28.062261,2974810111,45391,65535,20144,-1.000000
2022-03-25 19:14:40.079757,2976710655,45420,65535,20115,-1.000000
2022-03-25 19:14:52.097409,2978611199,45449,65535,20086,-1.000000
2022-03-25 19:15:04.130272,2980446207,45477,65535,20058,-1.000000
2022-03-25 19:15:16.148206,2982543359,45509,65535,20026,-1.000000
2022-03-25 19:15:28.166080,2984574975,45540,65535,19995,-1.000000
2022-03-25 19:15:40.198777,2985492479,45554,65535,19981,-1.000000
2022-03-25 19:15:52.216517,2986934271,45576,65535,19959,-1.000000
2022-03-25 19:16:04.249443,2988572671,45601,65535,19934,-1.000000
2022-03-25 19:16:16.267574,2989621247,45617,65535,19918,-1.000000
2022-03-25 19:16:28.285033,2991259647,45642,65535,19893,-1.000000
2022-03-25 19:16:40.317811,2992111615,45655,65535,19880,-1.000000
2022-03-25 19:16:52.335722,2993160191,45671,65535,19864,-1.000000
2022-03-25 19:17:04.353457,2994601983,45693,65535,19842,-1.000000
2022-03-25 19:17:16.386602,2995847167,45712,65535,19823,-1.000000
2022-03-25 19:17:28.404234,2996240383,45718,65535,19817,-1.000000
2022-03-25 19:17:40.436950,2998206463,45748,65535,19787,-1.000000
2022-03-25 19:17:52.454681,2998796287,45757,65535,19778,-1.000000
2022-03-25 19:18:04.472129,2999975935,45775,65535,19760,-1.000000
2022-03-25 19:18:16.489707,3001548799,45799,65535,19736,-1.000000
2022-03-25 19:18:28.522467,3001942015,45805,65535,19730,-1.000000
2022-03-25 19:18:40.539901,3003318271,45826,65535,19709,-1.000000
2022-03-25 19:18:52.557706,3004628991,45846,65535,19689,-1.000000
2022-03-25 19:19:04.575578,3002728447,45817,65535,19718,-1.000000
2022-03-25 19:19:16.608207,3006201855,45870,65535,19665,-1.000000
2022-03-25 19:19:28.626085,3008692223,45908,65535,19627,-1.000000
2022-03-25 19:19:40.658909,3009150975,45915,65535,19620,-1.000000
2022-03-25 19:19:52.676528,3009937407,45927,65535,19608,-1.000000
2022-03-25 19:20:04.694187,3011051519,45944,65535,19591,-1.000000
2022-03-25 19:20:16.711779,3011182591,45946,65535,19589,-1.000000
2022-03-25 19:20:28.744668,3012165631,45961,65535,19574,-1.000000
2022-03-25 19:20:40.762285,3012624383,45968,65535,19567,-1.000000
2022-03-25 19:20:52.780153,3011706879,45954,65535,19581,-1.000000
2022-03-25 19:21:04.813288,3013214207,45977,65535,19558,-1.000000
2022-03-25 19:21:16.830852,3013410815,45980,65535,19555,-1.000000
2022-03-25 19:21:28.848814,3015114751,46006,65535,19529,-1.000000
2022-03-25 19:21:40.881894,3015835647,46017,65535,19518,-1.000000
2022-03-25 19:21:52.899443,3016228863,46023,65535,19512,-1.000000
2022-03-25 19:22:04.917233,3016556543,46028,65535,19507,-1.000000
2022-03-25 19:22:16.949995,3016622079,46029,65535,19506,-1.000000
2022-03-25 19:22:28.967794,3017932799,46049,65535,19486,-1.000000
2022-03-25 19:22:41.000836,3018194943,46053,65535,19482,-1.000000
2022-03-25 19:22:53.018564,3019767807,46077,65535,19458,-1.000000
2022-03-25 19:23:05.036286,3020488703,46088,65535,19447,-1.000000
2022-03-25 19:23:17.069185,3020685311,46091,65535,19444,-1.000000
2022-03-25 19:23:29.086804,3021275135,46100,65535,19435,-1.000000
2022-03-25 19:23:41.104484,3021340671,46101,65535,19434,-1.000000
2022-03-25 19:23:53.122071,3022389247,46117,65535,19418,-1.000000
2022-03-25 19:24:05.154754,3023110143,46128,65535,19407,-1.000000
2022-03-25 19:24:17.172440,3023699967,46137,65535,19398,-1.000000
2022-03-25 19:24:29.190276,3024355327,46147,65535,19388,-1.000000
2022-03-25 19:24:41.222952,3025141759,46159,65535,19376,-1.000000
2022-03-25 19:24:53.240589,3025469439,46164,65535,19371,-1.000000
2022-03-25 19:25:05.258458,3025731583,46168,65535,19367,-1.000000
2022-03-25 19:25:17.291562,3025928191,46171,65535,19364,-1.000000
2022-03-25 19:25:29.309020,3027173375,46190,65535,19345,-1.000000
2022-03-25 19:25:41.326824,3028615167,46212,65535,19323,-1.000000
2022-03-25 19:25:53.359493,3028287487,46207,65535,19328,-1.000000
2022-03-25 19:26:05.377363,3023372287,46132,65535,19403,-1.000000
2022-03-25 19:26:17.395166,3025666047,46167,65535,19368,-1.000000
2022-03-25 19:26:29.427803,3029729279,46229,65535,19306,-1.000000
2022-03-25 19:26:41.445534,3030188031,46236,65535,19299,-1.000000
2022-03-25 19:26:53.463230,3031367679,46254,65535,19281,-1.000000
2022-03-25 19:27:05.480823,3032612863,46273,65535,19262,-1.000000
2022-03-25 19:27:17.513721,3032940543,46278,65535,19257,-1.000000
2022-03-25 19:27:29.531632,3033858047,46292,65535,19243,-1.000000
2022-03-25 19:27:41.564383,3034316799,46299,65535,19236,-1.000000
2022-03-25 19:27:53.582184,3034447871,46301,65535,19234,-1.000000
2022-03-25 19:28:05.600072,3036282879,46329,65535,19206,-1.000000
2022-03-25 19:28:17.617708,3038052351,46356,65535,19179,-1.000000
2022-03-25 19:28:29.650449,3038773247,46367,65535,19168,-1.000000
2022-03-25 19:28:41.668443,3039166463,46373,65535,19162,-1.000000
2022-03-25 19:28:53.701315,3040673791,46396,65535,19139,-1.000000
2022-03-25 19:29:05.719078,3042836479,46429,65535,19106,-1.000000
2022-03-25 19:29:17.736770,3044999167,46462,65535,19073,-1.000000
2022-03-25 19:29:29.754484,3047358463,46498,65535,19037,-1.000000
2022-03-25 19:29:41.787361,3047948287,46507,65535,19028,-1.000000
2022-03-25 19:29:53.805088,3048275967,46512,65535,19023,-1.000000
2022-03-25 19:30:05.822853,3049324543,46528,65535,19007,-1.000000
2022-03-25 19:30:17.855840,3050110975,46540,65535,18995,-1.000000
2022-03-25 19:30:29.873585,3051618303,46563,65535,18972,-1.000000
2022-03-25 19:30:41.891248,3052929023,46583,65535,18952,-1.000000
2022-03-25 19:30:53.924113,3054043135,46600,65535,18935,-1.000000
2022-03-25 19:31:05.941883,3056271359,46634,65535,18901,-1.000000
2022-03-25 19:31:17.959663,3057123327,46647,65535,18888,-1.000000
2022-03-25 19:31:29.992471,3058696191,46671,65535,18864,-1.000000
2022-03-25 19:31:42.010166,3060072447,46692,65535,18843,-1.000000
2022-03-25 19:31:54.027734,3061514239,46714,65535,18821,-1.000000
2022-03-25 19:32:06.045695,3063087103,46738,65535,18797,-1.000000
2022-03-25 19:32:18.078230,3063873535,46750,65535,18785,-1.000000
2022-03-25 19:32:30.095823,3065446399,46774,65535,18761,-1.000000
2022-03-25 19:32:42.113731,3067281407,46802,65535,18733,-1.000000
2022-03-25 19:32:54.146663,3068788735,46825,65535,18710,-1.000000
2022-03-25 19:33:06.164304,3070820351,46856,65535,18679,-1.000000
2022-03-25 19:33:18.197213,3072393215,46880,65535,18655,-1.000000
2022-03-25 19:33:30.215251,3073638399,46899,65535,18636,-1.000000
2022-03-25 19:33:42.232811,3074490367,46912,65535,18623,-1.000000
2022-03-25 19:33:54.265776,3075014655,46920,65535,18615,-1.000000
2022-03-25 19:34:06.283692,3076390911,46941,65535,18594,-1.000000
2022-03-25 19:34:18.316471,3078094847,46967,65535,18568,-1.000000
2022-03-25 19:34:30.334247,3079340031,46986,65535,18549,-1.000000
2022-03-25 19:34:42.351896,3080126463,46998,65535,18537,-1.000000
2022-03-25 19:34:54.385010,3081764863,47023,65535,18512,-1.000000
2022-03-25 19:35:06.402645,3082878975,47040,65535,18495,-1.000000
2022-03-25 19:35:18.420153,3084189695,47060,65535,18475,-1.000000
2022-03-25 19:35:30.452782,3086024703,47088,65535,18447,-1.000000
2022-03-25 19:35:42.470366,3086483455,47095,65535,18440,-1.000000
2022-03-25 19:35:54.488169,3087335423,47108,65535,18427,-1.000000
2022-03-25 19:36:06.521137,3088908287,47132,65535,18403,-1.000000
2022-03-25 19:36:18.539172,3089235967,47137,65535,18398,-1.000000
2022-03-25 19:36:30.571899,3090677759,47159,65535,18376,-1.000000
2022-03-25 19:36:42.589682,3091922943,47178,65535,18357,-1.000000
2022-03-25 19:36:54.607425,3092054015,47180,65535,18355,-1.000000
2022-03-25 19:37:06.625112,3093626879,47204,65535,18331,-1.000000
2022-03-25 19:37:18.657652,3094413311,47216,65535,18319,-1.000000
2022-03-25 19:37:30.675370,3094675455,47220,65535,18315,-1.000000
2022-03-25 19:37:42.693130,3094937599,47224,65535,18311,-1.000000
2022-03-25 19:37:54.710768,3096379391,47246,65535,18289,-1.000000
2022-03-25 19:38:06.743578,3097100287,47257,65535,18278,-1.000000
2022-03-25 19:38:18.761669,3098673151,47281,65535,18254,-1.000000
2022-03-25 19:38:30.779333,3099066367,47287,65535,18248,-1.000000
2022-03-25 19:38:42.812303,3101097983,47318,65535,18217,-1.000000
2022-03-25 19:38:54.829832,3102474239,47339,65535,18196,-1.000000
2022-03-25 19:39:06.847482,3104047103,47363,65535,18172,-1.000000
2022-03-25 19:39:18.880255,3105357823,47383,65535,18152,-1.000000
2022-03-25 19:39:30.897918,3107586047,47417,65535,18118,-1.000000
2022-03-25 19:39:42.915765,3109027839,47439,65535,18096,-1.000000
2022-03-25 19:39:54.948582,3110076415,47455,65535,18080,-1.000000
2022-03-25 19:40:06.966187,3111321599,47474,65535,18061,-1.000000
2022-03-25 19:40:18.984218,3113549823,47508,65535,18027,-1.000000
2022-03-25 19:40:31.017073,3115122687,47532,65535,18003,-1.000000
2022-03-25 19:40:43.034532,3117088767,47562,65535,17973,-1.000000
2022-03-25 19:40:55.052435,3117547519,47569,65535,17966,-1.000000
2022-03-25 19:41:07.085638,3118071807,47577,65535,17958,-1.000000
2022-03-25 19:41:19.102744,3118268415,47580,65535,17955,-1.000000
2022-03-25 19:41:31.120385,3118202879,47579,65535,17956,-1.000000
2022-03-25 19:41:43.153393,3118137343,47578,65535,17957,-1.000000
2022-03-25 19:41:55.171338,3118792703,47588,65535,17947,-1.000000
2022-03-25 19:42:07.188924,3118989311,47591,65535,17944,-1.000000
2022-03-25 19:42:19.221742,3119185919,47594,65535,17941,-1.000000
2022-03-25 19:42:31.239525,3119579135,47600,65535,17935,-1.000000
2022-03-25 19:42:43.257624,3118858239,47589,65535,17946,-1.000000
2022-03-25 19:42:55.290184,3117940735,47575,65535,17960,-1.000000
2022-03-25 19:43:07.308174,3117481983,47568,65535,17967,-1.000000
2022-03-25 19:43:19.325872,3116957695,47560,65535,17975,-1.000000
2022-03-25 19:43:31.358849,3116695551,47556,65535,17979,-1.000000
2022-03-25 19:43:43.376615,3117154303,47563,65535,17972,-1.000000
2022-03-25 19:43:55.394617,3116302335,47550,65535,17985,-1.000000
2022-03-25 19:44:07.427279,3116367871,47551,65535,17984,-1.000000
2022-03-25 19:44:19.445195,3116105727,47547,65535,17988,-1.000000
2022-03-25 19:44:31.462980,3115515903,47538,65535,17997,-1.000000
2022-03-25 19:44:43.495527,3114074111,47516,65535,18019,-1.000000
2022-03-25 19:44:55.513455,3112894463,47498,65535,18037,-1.000000
2022-03-25 19:45:07.531137,3113484287,47507,65535,18028,-1.000000
2022-03-25 19:45:19.563917,3113484287,47507,65535,18028,-1.000000
2022-03-25 19:45:31.581754,3112959999,47499,65535,18036,-1.000000
2022-03-25 19:45:43.599553,3113746431,47511,65535,18024,-1.000000
2022-03-25 19:45:55.632681,3113943039,47514,65535,18021,-1.000000
2022-03-25 19:46:07.650532,3114401791,47521,65535,18014,-1.000000
2022-03-25 19:46:19.668240,3114336255,47520,65535,18015,-1.000000
2022-03-25 19:46:31.701182,3115057151,47531,65535,18004,-1.000000
2022-03-25 19:46:43.719238,3116105727,47547,65535,17988,-1.000000
2022-03-25 19:46:55.751867,3116957695,47560,65535,17975,-1.000000
2022-03-25 19:47:07.769640,3117350911,47566,65535,17969,-1.000000
2022-03-25 19:47:19.787335,3119251455,47595,65535,17940,-1.000000
2022-03-25 19:47:31.805012,3120562175,47615,65535,17920,-1.000000
2022-03-25 19:47:43.837814,3123511295,47660,65535,17875,-1.000000
2022-03-25 19:47:55.855608,3125280767,47687,65535,17848,-1.000000
2022-03-25 19:48:07.873188,3127640063,47723,65535,17812,-1.000000
2022-03-25 19:48:19.905975,3134455807,47827,65535,17708,-1.000000
2022-03-25 19:48:31.923976,3134980095,47835,65535,17700,-1.000000
2022-03-25 19:48:43.956749,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:48:55.974456,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:49:07.992496,3135111167,47837,65535,17698,-1.000000
2022-03-25 19:49:20.025158,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:49:32.043234,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:49:44.075986,3135111167,47837,65535,17698,-1.000000
2022-03-25 19:49:56.093617,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:50:08.111369,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:50:20.129147,3135045631,47836,65535,17699,-1.000000
2022-03-25 19:50:32.161953,3135111167,47837,65535,17698,-1.000000
2022-03-25 19:50:44.179644,3135111167,47837,65535,17698,-1.000000
