dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:09:28.506219,2493,3094,719,251,562.99,533.70,0.18
2022-03-25 19:09:40.523944,2494,3095,719,251,563.99,534.70,0.18
2022-03-25 19:09:52.541590,2494,3094,719,251,563.99,533.70,0.18
2022-03-25 19:10:04.559368,2494,3096,719,251,563.99,535.70,0.18
2022-03-25 19:10:16.592312,2494,3096,719,251,563.99,535.70,0.18
2022-03-25 19:10:28.609987,2495,3097,719,251,564.99,536.70,0.18
2022-03-25 19:10:40.627880,2496,3099,720,251,563.77,535.75,0.18
2022-03-25 19:10:52.660667,2499,3101,720,252,565.44,536.00,0.18
2022-03-25 19:11:04.678593,2498,3100,720,251,565.77,536.75,0.18
2022-03-25 19:11:16.696318,2499,3101,720,252,565.44,536.00,0.18
2022-03-25 19:11:28.729203,2501,3104,720,252,567.44,539.00,0.18
2022-03-25 19:11:40.746941,2501,3104,721,252,565.22,536.05,0.18
2022-03-25 19:11:52.779760,2503,3106,721,252,567.22,538.05,0.18
2022-03-25 19:12:04.797695,2504,3107,722,253,564.67,534.35,0.18
2022-03-25 19:12:16.815270,2505,3108,722,252,567.00,537.10,0.18
2022-03-25 19:12:28.833149,2506,3110,722,253,566.67,537.35,0.18
2022-03-25 19:12:40.865697,2507,3110,722,253,567.67,537.35,0.18
2022-03-25 19:12:52.883392,2508,3113,722,253,568.67,540.35,0.18
2022-03-25 19:13:04.901073,2509,3114,723,253,567.45,538.40,0.18
2022-03-25 19:13:16.918661,2509,3114,722,253,569.67,541.35,0.18
2022-03-25 19:13:28.951571,2511,3115,723,253,569.45,539.40,0.18
2022-03-25 19:13:40.969360,2512,3118,723,254,569.12,540.65,0.18
2022-03-25 19:13:53.001854,2513,3119,724,254,567.90,538.70,0.18
2022-03-25 19:14:05.019944,2515,3121,724,254,569.90,540.70,0.18
2022-03-25 19:14:17.052699,2515,3122,724,254,569.90,541.70,0.18
2022-03-25 19:14:29.070571,2516,3124,725,254,568.68,540.75,0.18
2022-03-25 19:14:41.088045,2518,3125,725,254,570.68,541.75,0.18
2022-03-25 19:14:53.105611,2519,3127,726,255,568.13,539.05,0.18
2022-03-25 19:15:05.138476,2521,3129,726,255,570.13,541.05,0.18
2022-03-25 19:15:17.156697,2522,3130,726,255,571.13,542.05,0.18
