dateTime,temperature,pressure,humidity,altitude
2022-03-25 19:09:30.434812,30.10,100405.00,11.00,76.87
2022-03-25 19:09:40.454693,30.12,100409.00,12.00,76.53
2022-03-25 19:09:50.489992,30.08,100404.00,12.00,76.95
2022-03-25 19:10:00.525647,30.13,100407.00,12.00,76.70
2022-03-25 19:10:10.560890,30.19,100408.00,12.00,76.62
2022-03-25 19:10:20.596243,30.20,100405.00,11.00,76.87
2022-03-25 19:10:30.631435,30.22,100405.00,11.00,76.87
2022-03-25 19:10:40.651323,30.23,100406.00,11.00,76.78
2022-03-25 19:10:50.686685,30.27,100407.00,11.00,76.70
2022-03-25 19:11:00.721937,30.27,100405.00,11.00,76.87
2022-03-25 19:11:10.757345,30.30,100401.00,11.00,77.20
2022-03-25 19:11:20.792599,30.22,100405.00,11.00,76.87
2022-03-25 19:11:30.812522,30.30,100405.00,11.00,76.87
2022-03-25 19:11:40.847833,30.38,100403.00,11.00,77.03
2022-03-25 19:11:50.883206,30.30,100405.00,11.00,76.87
2022-03-25 19:12:00.918485,30.09,100406.00,11.00,76.78
2022-03-25 19:12:10.953789,29.60,100405.00,11.00,76.87
2022-03-25 19:12:20.989245,29.19,100404.00,11.00,76.95
2022-03-25 19:12:31.009228,28.88,100405.00,12.00,76.87
2022-03-25 19:12:41.044369,28.71,100409.00,12.00,76.53
2022-03-25 19:12:51.079660,28.48,100406.00,11.00,76.78
2022-03-25 19:13:01.115068,28.44,100404.00,12.00,76.95
2022-03-25 19:13:11.150148,28.34,100400.00,13.00,77.29
2022-03-25 19:13:21.169959,28.18,100404.00,12.00,76.95
2022-03-25 19:13:31.205203,28.05,100404.00,12.00,76.95
2022-03-25 19:13:41.240324,28.03,100402.00,12.00,77.12
2022-03-25 19:13:51.275552,28.03,100404.00,12.00,76.95
2022-03-25 19:14:01.295461,28.08,100405.00,12.00,76.87
2022-03-25 19:14:11.330554,28.00,100406.00,12.00,76.78
2022-03-25 19:14:21.365882,27.99,100405.00,12.00,76.87
2022-03-25 19:14:31.401197,27.97,100401.00,11.00,77.20
2022-03-25 19:14:41.436357,28.06,100404.00,11.00,76.95
2022-03-25 19:14:51.456145,28.18,100406.00,11.00,76.78
2022-03-25 19:15:01.491685,28.23,100401.00,12.00,77.20
2022-03-25 19:15:11.526717,28.31,100400.00,11.00,77.29
2022-03-25 19:15:21.561757,28.34,100402.00,12.00,77.12
2022-03-25 19:15:31.596922,28.31,100398.00,11.00,77.45
2022-03-25 19:15:41.616809,28.35,100398.00,12.00,77.45
2022-03-25 19:15:51.652080,28.33,100397.00,12.00,77.54
2022-03-25 19:16:01.687319,28.32,100396.00,12.00,77.62
2022-03-25 19:16:11.722292,28.32,100398.00,12.00,77.45
2022-03-25 19:16:21.742231,28.29,100395.00,12.00,77.71
2022-03-25 19:16:31.777515,28.36,100396.00,12.00,77.62
2022-03-25 19:16:41.812734,28.47,100399.00,11.00,77.37
2022-03-25 19:16:51.848041,28.52,100395.00,11.00,77.71
2022-03-25 19:17:01.883346,28.50,100397.00,12.00,77.54
2022-03-25 19:17:11.918478,28.23,100398.00,12.00,77.45
2022-03-25 19:17:21.938305,27.82,100397.00,12.00,77.54
2022-03-25 19:17:31.973399,27.46,100399.00,12.00,77.37
2022-03-25 19:17:42.008563,27.37,100398.00,12.00,77.45
2022-03-25 19:17:52.043758,27.39,100396.00,12.00,77.62
2022-03-25 19:18:02.063893,27.39,100397.00,12.00,77.54
2022-03-25 19:18:12.098886,27.26,100393.00,12.00,77.87
2022-03-25 19:18:22.133881,27.13,100398.00,12.00,77.45
2022-03-25 19:18:32.169039,27.17,100395.00,12.00,77.71
2022-03-25 19:18:42.204296,27.32,100391.00,12.00,78.04
2022-03-25 19:18:52.239450,27.41,100387.00,12.00,78.38
2022-03-25 19:19:02.259746,27.49,100390.00,12.00,78.13
2022-03-25 19:19:12.294921,27.51,100395.00,12.00,77.71
2022-03-25 19:19:22.329915,27.49,100394.00,12.00,77.79
2022-03-25 19:19:32.365062,27.43,100391.00,13.00,78.04
2022-03-25 19:19:42.385122,27.41,100386.00,12.00,78.46
2022-03-25 19:19:52.420167,27.40,100393.00,12.00,77.87
2022-03-25 19:20:02.455292,27.41,100386.00,12.00,78.46
2022-03-25 19:20:12.490395,27.37,100394.00,12.00,77.79
2022-03-25 19:20:22.525380,27.45,100393.00,12.00,77.87
2022-03-25 19:20:32.545458,27.54,100394.00,12.00,77.79
2022-03-25 19:20:42.580576,27.62,100389.00,12.00,78.21
2022-03-25 19:20:52.616088,27.71,100387.00,12.00,78.38
2022-03-25 19:21:02.651024,27.79,100386.00,12.00,78.46
2022-03-25 19:21:12.686257,27.81,100385.00,12.00,78.55
2022-03-25 19:21:22.721391,27.85,100385.00,12.00,78.55
2022-03-25 19:21:32.741257,27.87,100382.00,12.00,78.80
2022-03-25 19:21:42.776371,27.93,100387.00,12.00,78.38
2022-03-25 19:21:52.811637,27.97,100384.00,12.00,78.63
2022-03-25 19:22:02.846972,27.98,100385.00,13.00,78.55
2022-03-25 19:22:12.867087,28.05,100386.00,13.00,78.46
2022-03-25 19:22:22.902301,28.11,100385.00,12.00,78.55
2022-03-25 19:22:32.937265,28.15,100387.00,12.00,78.38
2022-03-25 19:22:42.972336,28.16,100387.00,13.00,78.38
2022-03-25 19:22:53.007601,28.23,100381.00,13.00,78.88
2022-03-25 19:23:03.027544,28.23,100379.00,13.00,79.05
2022-03-25 19:23:13.062813,28.23,100378.00,12.00,79.13
2022-03-25 19:23:23.098057,28.22,100381.00,12.00,78.88
2022-03-25 19:23:33.133315,28.10,100381.00,13.00,78.88
2022-03-25 19:23:43.168453,27.90,100376.00,12.00,79.30
2022-03-25 19:23:53.188337,27.58,100372.00,12.00,79.63
2022-03-25 19:24:03.223583,27.35,100371.00,12.00,79.72
2022-03-25 19:24:13.258765,27.41,100379.00,13.00,79.05
2022-03-25 19:24:23.294001,27.36,100382.00,13.00,78.80
2022-03-25 19:24:33.313986,27.22,100378.00,13.00,79.13
2022-03-25 19:24:43.349128,27.16,100373.00,12.00,79.55
2022-03-25 19:24:53.384356,26.94,100378.00,13.00,79.13
2022-03-25 19:25:03.419177,26.77,100378.00,12.00,79.13
2022-03-25 19:25:13.454283,26.74,100379.00,12.00,79.05
2022-03-25 19:25:23.474105,26.81,100376.00,13.00,79.30
2022-03-25 19:25:33.509405,26.76,100377.00,12.00,79.21
2022-03-25 19:25:43.544636,26.72,100379.00,12.00,79.05
2022-03-25 19:25:53.579621,26.73,100378.00,12.00,79.13
2022-03-25 19:26:03.599555,26.83,100372.00,13.00,79.63
2022-03-25 19:26:13.634585,26.78,100372.00,12.00,79.63
2022-03-25 19:26:23.669647,26.83,100370.00,12.00,79.80
2022-03-25 19:26:33.704686,26.86,100374.00,12.00,79.47
2022-03-25 19:26:43.724792,26.88,100375.00,13.00,79.38
2022-03-25 19:26:53.759548,26.94,100377.00,13.00,79.21
