dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:31.662144,30.60,100.52,11.15,1659.44
2022-03-25 19:09:41.805822,30.47,100.51,11.67,1643.16
2022-03-25 19:09:51.949514,30.33,100.51,11.91,1606.71
2022-03-25 19:10:02.108671,30.41,100.52,11.68,1583.92
2022-03-25 19:10:12.252375,30.60,100.52,11.76,1573.69
2022-03-25 19:10:22.411737,30.68,100.52,11.67,1556.33
2022-03-25 19:10:32.555462,30.73,100.51,11.54,1553.62
2022-03-25 19:10:42.714747,30.73,100.51,11.33,1557.23
2022-03-25 19:10:52.858579,30.79,100.51,11.02,1568.17
2022-03-25 19:11:03.017938,30.85,100.51,10.91,1593.34
2022-03-25 19:11:13.161789,30.84,100.51,10.83,1594.29
2022-03-25 19:11:23.305749,30.83,100.51,10.82,1604.79
2022-03-25 19:11:33.464690,30.88,100.51,10.75,1625.23
2022-03-25 19:11:43.608259,30.91,100.51,10.93,1588.62
2022-03-25 19:11:53.767417,30.67,100.51,11.18,1604.79
2022-03-25 19:12:03.911369,30.14,100.51,11.39,1609.61
2022-03-25 19:12:14.055371,29.40,100.51,11.27,1623.26
2022-03-25 19:12:24.214522,28.72,100.51,11.44,1627.20
2022-03-25 19:12:34.358476,28.43,100.51,11.73,1623.26
2022-03-25 19:12:44.502381,27.98,100.51,11.96,1616.41
2022-03-25 19:12:54.661612,27.79,100.51,11.77,1625.23
2022-03-25 19:13:04.805654,27.67,100.51,11.98,1633.15
2022-03-25 19:13:14.964989,27.43,100.51,12.33,1622.28
2022-03-25 19:13:25.109182,27.14,100.51,12.20,1621.30
2022-03-25 19:13:35.268216,27.00,100.51,12.20,1617.38
2022-03-25 19:13:45.412469,26.93,100.51,12.20,1617.38
2022-03-25 19:13:55.571305,26.87,100.51,12.36,1614.46
2022-03-25 19:14:05.715018,26.89,100.51,12.62,1615.43
2022-03-25 19:14:15.874328,26.87,100.51,12.76,1606.71
2022-03-25 19:14:26.018167,26.92,100.51,12.73,1605.75
2022-03-25 19:14:36.177187,26.90,100.51,12.38,1608.64
2022-03-25 19:14:46.321195,27.03,100.51,12.17,1621.30
2022-03-25 19:14:56.480290,27.22,100.50,12.06,1635.14
2022-03-25 19:15:06.624063,27.38,100.50,12.07,1640.15
2022-03-25 19:15:16.767997,27.54,100.50,12.09,1641.15
2022-03-25 19:15:26.927126,27.68,100.50,12.22,1635.14
2022-03-25 19:15:37.071063,27.78,100.50,12.13,1649.23
2022-03-25 19:15:47.230020,27.87,100.50,12.04,1645.18
2022-03-25 19:15:57.373826,27.94,100.51,11.98,1656.37
2022-03-25 19:16:07.517663,27.97,100.50,12.12,1644.17
2022-03-25 19:16:17.677050,27.91,100.50,12.35,1645.18
2022-03-25 19:16:27.821135,27.82,100.50,12.03,1661.50
2022-03-25 19:16:37.965073,27.93,100.50,11.94,1649.23
2022-03-25 19:16:48.124317,28.05,100.50,11.91,1667.70
2022-03-25 19:16:58.268094,27.97,100.50,11.93,1663.56
2022-03-25 19:17:08.427161,27.82,100.50,12.23,1659.44
2022-03-25 19:17:18.570869,27.31,100.50,12.37,1641.15
2022-03-25 19:17:28.729973,26.84,100.50,12.21,1649.23
2022-03-25 19:17:38.873781,26.73,100.50,12.27,1647.20
2022-03-25 19:17:49.033066,26.64,100.50,12.38,1641.15
2022-03-25 19:17:59.176727,26.59,100.50,12.59,1654.32
2022-03-25 19:18:09.335849,26.57,100.50,12.80,1634.15
2022-03-25 19:18:19.479827,26.40,100.50,12.61,1631.16
2022-03-25 19:18:29.639003,26.35,100.50,12.56,1602.87
2022-03-25 19:18:39.782699,26.34,100.50,12.52,1645.18
2022-03-25 19:18:49.942066,26.43,100.50,12.41,1613.49
2022-03-25 19:19:00.085816,26.58,100.50,12.53,1607.68
2022-03-25 19:19:10.229699,26.67,100.50,12.72,1628.19
2022-03-25 19:19:20.388913,26.71,100.50,12.90,1622.28
2022-03-25 19:19:30.532616,26.68,100.50,12.76,1612.52
2022-03-25 19:19:40.691775,26.63,100.50,12.73,1594.29
2022-03-25 19:19:50.835618,26.50,100.50,12.60,1590.50
2022-03-25 19:20:00.979332,26.51,100.50,12.61,1629.18
2022-03-25 19:20:11.138367,26.54,100.50,12.67,1621.30
2022-03-25 19:20:21.282008,26.57,100.50,12.60,1623.26
2022-03-25 19:20:31.441138,26.67,100.50,12.41,1642.16
2022-03-25 19:20:41.585239,26.84,100.50,12.83,1615.43
2022-03-25 19:20:51.744275,27.01,100.49,12.59,1612.52
2022-03-25 19:21:01.888214,27.17,100.49,12.31,1635.14
2022-03-25 19:21:12.031973,27.23,100.49,12.19,1641.15
2022-03-25 19:21:22.191187,27.30,100.49,12.17,1653.30
2022-03-25 19:21:32.335190,27.43,100.49,12.61,1650.25
2022-03-25 19:21:42.494268,27.54,100.49,12.60,1647.20
2022-03-25 19:21:52.638354,27.62,100.49,12.48,1647.20
2022-03-25 19:22:02.797316,27.62,100.49,12.55,1661.50
2022-03-25 19:22:12.941362,27.69,100.49,12.86,1642.16
2022-03-25 19:22:23.100372,27.80,100.49,12.77,1642.16
2022-03-25 19:22:33.244312,27.98,100.49,12.54,1627.20
2022-03-25 19:22:43.403496,28.09,100.49,12.85,1631.16
2022-03-25 19:22:53.546942,28.14,100.49,13.38,1588.62
2022-03-25 19:23:03.690645,28.20,100.49,12.90,1588.62
2022-03-25 19:23:13.849605,28.15,100.49,12.65,1600.00
2022-03-25 19:23:23.993372,28.04,100.49,12.31,1602.87
