dateTime,pm1,pm2_5,pm10
2022-03-25 19:09:33.731994,2,3,6
2022-03-25 19:09:43.767523,2,3,6
2022-03-25 19:09:53.802845,2,3,6
2022-03-25 19:10:03.838101,2,3,6
2022-03-25 19:10:13.858630,2,3,6
2022-03-25 19:10:23.893720,2,3,6
2022-03-25 19:10:33.928971,2,2,5
2022-03-25 19:10:43.964102,2,3,6
2022-03-25 19:10:53.999410,2,2,5
2022-03-25 19:11:04.019258,2,3,6
2022-03-25 19:11:14.054675,2,3,6
2022-03-25 19:11:24.090123,2,3,6
2022-03-25 19:11:34.125277,2,3,6
2022-03-25 19:11:44.160612,2,3,6
2022-03-25 19:11:54.180535,3,4,7
2022-03-25 19:12:04.215913,3,4,7
2022-03-25 19:12:14.251247,2,3,6
2022-03-25 19:12:24.286633,2,3,6
2022-03-25 19:12:34.321864,2,3,6
2022-03-25 19:12:44.357141,3,4,7
2022-03-25 19:12:54.377186,3,4,7
2022-03-25 19:13:04.412325,3,4,7
2022-03-25 19:13:14.447471,2,3,6
2022-03-25 19:13:24.482752,2,3,6
2022-03-25 19:13:34.502505,2,3,6
2022-03-25 19:13:44.537668,2,3,6
2022-03-25 19:13:54.573102,2,3,6
2022-03-25 19:14:04.608101,2,3,6
2022-03-25 19:14:14.643313,2,3,6
2022-03-25 19:14:24.663217,2,3,6
2022-03-25 19:14:34.698305,3,4,7
2022-03-25 19:14:44.733769,2,3,6
2022-03-25 19:14:54.769021,3,4,7
2022-03-25 19:15:04.804306,3,4,7
2022-03-25 19:15:14.839339,3,4,7
2022-03-25 19:15:24.859041,3,4,7
2022-03-25 19:15:34.894300,3,4,7
2022-03-25 19:15:44.929478,2,3,6
2022-03-25 19:15:54.949688,3,4,7
2022-03-25 19:16:04.984606,3,4,7
2022-03-25 19:16:15.019767,2,3,6
2022-03-25 19:16:25.055018,2,3,6
2022-03-25 19:16:35.090223,2,3,6
2022-03-25 19:16:45.109983,3,4,7
2022-03-25 19:16:55.145576,2,3,6
2022-03-25 19:17:05.180704,2,3,6
2022-03-25 19:17:15.215794,2,3,6
2022-03-25 19:17:25.251052,2,3,6
2022-03-25 19:17:35.270765,3,4,7
2022-03-25 19:17:45.306030,3,4,7
2022-03-25 19:17:55.341555,3,4,7
2022-03-25 19:18:05.376269,3,4,7
2022-03-25 19:18:15.411485,2,3,6
2022-03-25 19:18:25.431518,3,4,7
2022-03-25 19:18:35.466256,3,4,7
2022-03-25 19:18:45.501686,3,4,7
2022-03-25 19:18:55.537033,2,3,6
2022-03-25 19:19:05.572297,2,3,6
2022-03-25 19:19:15.607487,2,3,6
2022-03-25 19:19:25.627328,2,3,6
2022-03-25 19:19:35.662414,2,3,6
2022-03-25 19:19:45.697662,2,3,6
2022-03-25 19:19:55.732759,2,3,6
2022-03-25 19:20:05.752926,3,4,7
2022-03-25 19:20:15.787798,3,4,7
2022-03-25 19:20:25.822786,3,4,7
2022-03-25 19:20:35.858085,3,4,7
2022-03-25 19:20:45.893208,3,4,7
2022-03-25 19:20:55.913476,3,4,7
2022-03-25 19:21:05.948392,2,3,6
2022-03-25 19:21:15.983603,4,5,8
2022-03-25 19:21:26.018806,3,4,7
2022-03-25 19:21:36.053922,3,4,7
2022-03-25 19:21:46.073665,3,4,7
