dateTime,c02,temperature,humidity
2022-03-25 19:09:32.739665,455,30.43,12.79
2022-03-25 19:09:42.775054,456,30.46,13.34
2022-03-25 19:09:52.810293,454,30.48,13.50
2022-03-25 19:10:02.830354,454,30.51,12.92
2022-03-25 19:10:12.866075,454,30.56,13.21
2022-03-25 19:10:22.901236,453,30.60,13.13
2022-03-25 19:10:32.936426,453,30.62,12.99
2022-03-25 19:10:42.971705,452,30.69,12.69
2022-03-25 19:10:53.006975,453,30.70,12.52
2022-03-25 19:11:03.026866,452,30.76,12.54
2022-03-25 19:11:13.062248,452,30.77,12.46
2022-03-25 19:11:23.097658,452,30.83,12.32
2022-03-25 19:11:33.132817,452,30.87,12.37
2022-03-25 19:11:43.152808,451,30.87,12.75
2022-03-25 19:11:53.188089,451,30.93,12.89
2022-03-25 19:12:03.223501,451,30.94,12.99
2022-03-25 19:12:13.258785,450,30.94,12.45
2022-03-25 19:12:23.294178,450,30.87,12.26
2022-03-25 19:12:33.329482,451,30.80,11.93
2022-03-25 19:12:43.364739,452,30.70,12.34
2022-03-25 19:12:53.384666,454,30.59,11.62
2022-03-25 19:13:03.419918,455,30.55,12.06
2022-03-25 19:13:13.455021,455,30.43,12.33
2022-03-25 19:13:23.490277,455,30.29,12.07
2022-03-25 19:13:33.510141,455,30.25,12.07
2022-03-25 19:13:43.545345,455,30.15,12.08
2022-03-25 19:13:53.580528,456,30.01,12.09
2022-03-25 19:14:03.615672,456,29.93,12.23
2022-03-25 19:14:13.635600,456,29.90,12.67
2022-03-25 19:14:23.670822,456,29.89,12.52
2022-03-25 19:14:33.705938,455,29.77,12.33
2022-03-25 19:14:43.741321,455,29.72,12.14
2022-03-25 19:14:53.776477,455,29.69,12.23
2022-03-25 19:15:03.811781,454,29.66,12.00
2022-03-25 19:15:13.831853,454,29.67,12.37
2022-03-25 19:15:23.866551,454,29.69,12.50
2022-03-25 19:15:33.901895,453,29.66,11.93
2022-03-25 19:15:43.937131,452,29.70,12.47
2022-03-25 19:15:53.957204,452,29.67,11.83
2022-03-25 19:16:03.992194,452,29.66,12.26
2022-03-25 19:16:14.027412,452,29.67,12.81
2022-03-25 19:16:24.062654,452,29.67,12.77
2022-03-25 19:16:34.097831,452,29.66,12.58
2022-03-25 19:16:44.117653,453,29.67,12.47
2022-03-25 19:16:54.153142,453,29.66,12.41
2022-03-25 19:17:04.188352,453,29.66,12.44
2022-03-25 19:17:14.223400,452,29.70,12.82
2022-03-25 19:17:24.258610,451,29.63,12.16
2022-03-25 19:17:34.278336,452,29.63,11.93
2022-03-25 19:17:44.313578,452,29.52,12.05
2022-03-25 19:17:54.349019,453,29.44,12.30
2022-03-25 19:18:04.383826,454,29.39,12.37
2022-03-25 19:18:14.403923,453,29.29,12.32
2022-03-25 19:18:24.439049,452,29.21,12.13
2022-03-25 19:18:34.473868,453,29.14,12.38
