dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:32.111851,0.04,0.00,19.89,5.06,11743.65,5194.37,169896.95,7.34
2022-03-25 19:09:42.137059,0.04,0.00,20.57,5.79,14405.32,6178.22,192455.52,7.73
2022-03-25 19:09:52.177623,0.05,0.00,16.78,5.17,12136.65,5341.59,150503.08,6.99
2022-03-25 19:10:02.202910,0.04,0.00,20.93,5.93,10337.58,4661.29,180744.38,7.53
2022-03-25 19:10:12.243454,0.04,0.00,18.94,4.95,11368.20,5821.94,180744.38,7.53
2022-03-25 19:10:22.268673,0.04,0.00,19.57,5.53,13432.07,6178.22,192455.52,7.73
2022-03-25 19:10:32.309212,0.04,0.00,20.93,5.66,13906.80,5996.20,81579.20,5.43
2022-03-25 19:10:42.334463,0.04,0.00,20.93,5.79,14405.32,6178.22,205113.42,7.94
2022-03-25 19:10:52.375135,0.04,0.00,20.23,5.79,14405.32,6178.22,205113.42,7.94
2022-03-25 19:11:02.400608,0.04,0.00,22.48,6.54,17313.48,7222.25,267223.19,7.34
2022-03-25 19:11:12.440919,0.04,0.00,17.80,4.85,11009.32,4917.25,112721.79,7.94
2022-03-25 19:11:22.466343,0.04,0.00,21.30,5.93,14929.16,6368.47,218810.33,8.15
2022-03-25 19:11:32.506828,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:11:42.547164,0.05,0.00,17.80,4.75,10666.06,4786.76,112721.79,6.20
2022-03-25 19:11:52.572685,0.04,0.00,20.93,5.93,14929.16,6368.47,205113.42,7.94
2022-03-25 19:12:02.613087,0.04,0.00,22.90,6.54,17313.48,7222.25,286230.75,9.11
2022-03-25 19:12:12.638326,0.04,0.00,20.23,5.79,14405.32,6178.22,180744.38,7.53
2022-03-25 19:12:22.678961,0.04,0.00,22.48,6.54,17313.48,7222.25,267223.19,8.85
2022-03-25 19:12:32.719504,0.04,0.00,20.23,5.79,14405.32,6178.22,180744.38,7.53
2022-03-25 19:12:42.744644,0.04,0.00,22.48,6.38,16670.12,6993.73,267223.19,8.85
