dateTime,luminance,voltage,raw
2022-03-25 19:09:32.482956,67.50,0.24,50
2022-03-25 19:09:44.516841,68.62,0.25,51
2022-03-25 19:09:56.550217,66.37,0.24,49
2022-03-25 19:10:08.568652,68.62,0.25,51
2022-03-25 19:10:20.602551,68.62,0.25,51
2022-03-25 19:10:32.635773,68.62,0.25,51
2022-03-25 19:10:44.653909,67.50,0.24,50
2022-03-25 19:10:56.687398,68.62,0.25,51
2022-03-25 19:11:08.705664,67.50,0.24,50
2022-03-25 19:11:20.738979,65.25,0.23,48
2022-03-25 19:11:32.757085,64.13,0.23,47
2022-03-25 19:11:44.790614,67.50,0.24,50
2022-03-25 19:11:56.808562,68.62,0.25,51
2022-03-25 19:12:08.842201,68.62,0.25,51
2022-03-25 19:12:20.860212,68.62,0.25,51
2022-03-25 19:12:32.893699,65.25,0.23,48
2022-03-25 19:12:44.911821,68.62,0.25,51
2022-03-25 19:12:56.945247,66.37,0.24,49
2022-03-25 19:13:08.978801,68.62,0.25,51
2022-03-25 19:13:20.997245,67.50,0.24,50
2022-03-25 19:13:33.030721,66.37,0.24,49
2022-03-25 19:13:45.048996,66.37,0.24,49
2022-03-25 19:13:57.082335,65.25,0.23,48
2022-03-25 19:14:09.100702,65.25,0.23,48
2022-03-25 19:14:21.134096,67.50,0.24,50
2022-03-25 19:14:33.152287,66.37,0.24,49
2022-03-25 19:14:45.185844,68.62,0.25,51
2022-03-25 19:14:57.204025,67.50,0.24,50
2022-03-25 19:15:09.237070,65.25,0.23,48
2022-03-25 19:15:21.255138,68.62,0.25,51
2022-03-25 19:15:33.288618,68.62,0.25,51
2022-03-25 19:15:45.306614,65.25,0.23,48
2022-03-25 19:15:57.340153,64.13,0.23,47
2022-03-25 19:16:09.358457,68.62,0.25,51
2022-03-25 19:16:21.391404,65.25,0.23,48
2022-03-25 19:16:33.409777,66.37,0.24,49
2022-03-25 19:16:45.443424,65.25,0.23,48
2022-03-25 19:16:57.461708,68.62,0.25,51
2022-03-25 19:17:09.495014,67.50,0.24,50
2022-03-25 19:17:21.528723,66.37,0.24,49
2022-03-25 19:17:33.562265,66.37,0.24,49
2022-03-25 19:17:45.580572,66.37,0.24,49
2022-03-25 19:17:57.613956,68.62,0.25,51
2022-03-25 19:18:09.632022,65.25,0.23,48
2022-03-25 19:18:21.665599,65.25,0.23,48
2022-03-25 19:18:33.683476,67.50,0.24,50
2022-03-25 19:18:45.717043,66.37,0.24,49
