dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:34.802512,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:09:44.833935,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:09:54.850347,0.02,0.00,62.20,23.12,116096.79,36340.28,8451512.00,36.81
2022-03-25 19:10:04.882067,0.02,0.00,40.31,15.10,126090.42,38979.67,11543983.00,41.86
2022-03-25 19:10:14.898341,0.02,0.00,59.59,23.12,116096.79,33955.12,9849978.00,39.21
2022-03-25 19:10:24.929893,0.02,0.00,57.17,23.12,116096.79,36340.28,8451512.00,36.81
2022-03-25 19:10:34.946293,0.02,0.00,47.39,18.01,79667.34,26395.42,4221791.50,39.21
2022-03-25 19:10:44.977960,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:10:54.994298,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:11:05.026006,0.02,0.00,62.20,24.42,126090.42,38979.67,11543983.00,41.86
2022-03-25 19:11:15.042473,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:11:25.073903,0.02,0.00,59.59,24.42,126090.42,38979.67,9849978.00,39.21
2022-03-25 19:11:35.090160,0.02,0.00,62.20,23.12,116096.79,36340.28,11543983.00,41.86
2022-03-25 19:11:45.121745,0.02,0.00,62.20,24.42,126090.42,38979.67,11543983.00,41.86
2022-03-25 19:11:55.138276,0.02,0.00,42.90,15.10,61101.39,21071.19,2919158.30,23.74
2022-03-25 19:12:05.169810,0.02,0.00,59.59,23.12,116096.79,36340.28,9849978.00,39.21
2022-03-25 19:12:15.186027,0.02,0.00,59.59,25.84,137328.41,41910.31,9849978.00,39.21
2022-03-25 19:12:25.217918,0.02,0.00,50.91,20.83,99184.18,31792.87,5500265.50,30.83
2022-03-25 19:12:35.234379,0.02,0.00,62.20,25.84,137328.41,41910.31,11543983.00,41.86
2022-03-25 19:12:45.265656,0.02,0.00,57.17,23.12,116096.79,36340.28,8451512.00,36.81
2022-03-25 19:12:55.281956,0.02,0.00,57.17,23.12,116096.79,36340.28,8451512.00,36.81
