dateTime,ozone,temperature,pressure,voltage
2022-03-25 19:09:28.816198,41.2,34.4,882.9,0.9159
2022-03-25 19:09:42.775416,39.7,34.4,902.0,0.9160
2022-03-25 19:09:56.767581,39.9,34.4,883.6,0.9160
2022-03-25 19:10:10.760115,41.9,34.4,900.6,0.9162
2022-03-25 19:10:24.719367,42.9,34.5,882.5,0.9162
2022-03-25 19:10:38.711990,42.7,34.5,902.0,0.9164
2022-03-25 19:10:52.704047,43.3,34.5,884.6,0.9163
2022-03-25 19:11:06.663265,44.7,34.5,900.9,0.9165
2022-03-25 19:11:20.655411,43.4,34.5,882.4,0.9165
2022-03-25 19:11:34.648065,42.7,34.5,900.7,0.9167
2022-03-25 19:11:48.607214,44.8,34.5,883.7,0.9166
2022-03-25 19:12:02.599836,45.0,34.6,902.1,0.9169
2022-03-25 19:12:16.592027,46.2,34.6,884.6,0.9168
2022-03-25 19:12:30.551200,46.9,34.6,900.6,0.9170
2022-03-25 19:12:44.543334,46.2,34.6,882.5,0.9169
2022-03-25 19:12:58.535953,46.1,34.6,901.2,0.9172
2022-03-25 19:13:12.495094,45.4,34.6,883.8,0.9171
2022-03-25 19:13:26.487700,45.6,34.6,902.5,0.9173
2022-03-25 19:13:40.479805,45.8,34.6,884.9,0.9173
2022-03-25 19:13:54.439078,47.0,34.6,901.8,0.9175
2022-03-25 19:14:08.431216,49.6,34.6,883.9,0.9174
2022-03-25 19:14:22.423801,50.9,34.6,900.6,0.9176
2022-03-25 19:14:36.382993,50.0,34.6,882.9,0.9176
2022-03-25 19:14:50.375585,49.8,34.6,901.1,0.9178
2022-03-25 19:15:04.367761,49.3,34.6,883.4,0.9178
2022-03-25 19:15:18.294493,46.0,34.6,902.3,0.9180
2022-03-25 19:15:32.286626,44.8,34.6,884.1,0.9179
2022-03-25 19:15:46.278750,47.4,34.6,901.9,0.9182
2022-03-25 19:16:00.238410,49.3,34.6,883.8,0.9181
2022-03-25 19:16:14.230509,49.1,34.6,901.0,0.9183
2022-03-25 19:16:28.222730,46.7,34.6,883.5,0.9183
2022-03-25 19:16:42.182336,44.9,34.6,900.4,0.9185
2022-03-25 19:16:56.174505,46.1,34.6,882.4,0.9185
2022-03-25 19:17:10.133734,44.0,34.6,901.8,0.9187
2022-03-25 19:17:24.126299,42.8,34.6,883.0,0.9186
2022-03-25 19:17:38.118423,45.2,34.6,902.6,0.9188
2022-03-25 19:17:52.077668,47.4,34.6,883.8,0.9188
2022-03-25 19:18:06.070193,45.8,34.6,902.1,0.9190
2022-03-25 19:18:20.062329,44.2,34.6,884.3,0.9189
2022-03-25 19:18:34.022062,45.6,34.6,902.1,0.9191
2022-03-25 19:18:48.014210,44.5,34.6,884.6,0.9191
2022-03-25 19:19:02.006324,44.1,34.6,901.9,0.9193
2022-03-25 19:19:15.965573,44.8,34.6,883.7,0.9192
2022-03-25 19:19:29.958114,43.3,34.6,900.9,0.9194
2022-03-25 19:19:43.950279,43.4,34.6,884.0,0.9194
2022-03-25 19:19:57.909908,44.6,34.6,900.6,0.9196
2022-03-25 19:20:11.902043,44.7,34.6,883.7,0.9195
2022-03-25 19:20:25.894180,44.3,34.6,900.5,0.9197
2022-03-25 19:20:39.853427,44.6,34.6,882.6,0.9196
2022-03-25 19:20:53.846029,49.0,34.6,900.3,0.9198
2022-03-25 19:21:07.838152,51.4,34.6,882.7,0.9198
2022-03-25 19:21:21.797781,49.9,34.6,900.7,0.9200
2022-03-25 19:21:35.790016,50.4,34.6,883.1,0.9199
2022-03-25 19:21:49.782126,51.5,34.6,900.5,0.9201
2022-03-25 19:22:03.741324,50.2,34.6,882.5,0.9200
2022-03-25 19:22:17.733912,49.4,34.6,901.5,0.9202
2022-03-25 19:22:31.726042,48.1,34.6,882.6,0.9202
2022-03-25 19:22:45.685655,46.3,34.6,902.5,0.9204
2022-03-25 19:22:59.677818,46.2,34.6,883.2,0.9203
2022-03-25 19:23:13.669998,47.0,34.6,901.7,0.9205
2022-03-25 19:23:27.629289,46.7,34.6,883.5,0.9205
2022-03-25 19:23:41.621757,45.2,34.6,902.2,0.9207
2022-03-25 19:23:55.613867,45.7,34.7,883.6,0.9206
2022-03-25 19:24:09.573169,45.3,34.7,902.9,0.9208
2022-03-25 19:24:23.565256,45.6,34.7,883.6,0.9207
2022-03-25 19:24:37.557834,48.3,34.7,901.8,0.9210
2022-03-25 19:24:51.517056,48.4,34.7,883.9,0.9209
2022-03-25 19:25:05.509656,48.5,34.7,902.1,0.9211
2022-03-25 19:25:19.501772,48.5,34.7,884.1,0.9210
2022-03-25 19:25:33.460972,48.0,34.7,902.2,0.9212
2022-03-25 19:25:47.453512,48.2,34.7,883.7,0.9212
2022-03-25 19:26:01.445681,47.1,34.8,901.9,0.9214
2022-03-25 19:26:15.404930,47.9,34.8,883.9,0.9213
2022-03-25 19:26:29.397473,48.7,34.8,902.4,0.9215
2022-03-25 19:26:43.389638,45.9,34.8,883.7,0.9214
2022-03-25 19:26:57.348868,46.3,34.8,901.9,0.9216
2022-03-25 19:27:11.341417,48.2,34.8,883.4,0.9216
2022-03-25 19:27:25.333577,45.6,34.8,902.3,0.9218
2022-03-25 19:27:39.292820,42.5,34.8,883.6,0.9217
2022-03-25 19:27:53.285383,43.0,34.8,902.5,0.9219
2022-03-25 19:28:07.244605,44.3,34.8,883.7,0.9218
2022-03-25 19:28:21.236759,46.2,34.8,901.8,0.9220
2022-03-25 19:28:35.228860,48.4,34.9,882.5,0.9219
