dateTime,luminosity,ir,full,visible,lux
2022-03-25 19:09:35.347114,3253272575,49640,65535,15895,-1.000000
2022-03-25 19:09:47.365641,3253665791,49646,65535,15889,-1.000000
2022-03-25 19:09:59.398825,3254517759,49659,65535,15876,-1.000000
2022-03-25 19:10:11.432721,3255238655,49670,65535,15865,-1.000000
2022-03-25 19:10:23.451156,3256877055,49695,65535,15840,-1.000000
2022-03-25 19:10:35.484279,3258056703,49713,65535,15822,-1.000000
2022-03-25 19:10:47.502740,3258974207,49727,65535,15808,-1.000000
2022-03-25 19:10:59.535856,3260153855,49745,65535,15790,-1.000000
2022-03-25 19:11:11.554059,3260874751,49756,65535,15779,-1.000000
2022-03-25 19:11:23.587640,3263037439,49789,65535,15746,-1.000000
2022-03-25 19:11:35.605755,3264479231,49811,65535,15724,-1.000000
2022-03-25 19:11:47.639038,3265724415,49830,65535,15705,-1.000000
2022-03-25 19:11:59.657430,3268083711,49866,65535,15669,-1.000000
2022-03-25 19:12:11.690757,3269787647,49892,65535,15643,-1.000000
2022-03-25 19:12:23.708919,3270901759,49909,65535,15626,-1.000000
2022-03-25 19:12:35.742195,3272933375,49940,65535,15595,-1.000000
2022-03-25 19:12:47.760336,3274309631,49961,65535,15574,-1.000000
2022-03-25 19:12:59.794042,3276406783,49993,65535,15542,-1.000000
2022-03-25 19:13:11.827638,3277651967,50012,65535,15523,-1.000000
2022-03-25 19:13:23.845905,3279683583,50043,65535,15492,-1.000000
2022-03-25 19:13:35.879277,3281584127,50072,65535,15463,-1.000000
2022-03-25 19:13:47.897838,3282894847,50092,65535,15443,-1.000000
2022-03-25 19:13:59.931012,3284402175,50115,65535,15420,-1.000000
2022-03-25 19:14:11.964380,3286237183,50143,65535,15392,-1.000000
2022-03-25 19:14:23.982757,3288137727,50172,65535,15363,-1.000000
2022-03-25 19:14:36.016131,3289579519,50194,65535,15341,-1.000000
2022-03-25 19:14:48.034346,3292069887,50232,65535,15303,-1.000000
2022-03-25 19:15:00.067680,3293511679,50254,65535,15281,-1.000000
2022-03-25 19:15:12.085625,3296329727,50297,65535,15238,-1.000000
2022-03-25 19:15:24.118990,3297640447,50317,65535,15218,-1.000000
2022-03-25 19:15:36.137162,3299082239,50339,65535,15196,-1.000000
2022-03-25 19:15:48.170446,3299999743,50353,65535,15182,-1.000000
2022-03-25 19:16:00.188842,3302359039,50389,65535,15146,-1.000000
2022-03-25 19:16:12.206762,3303407615,50405,65535,15130,-1.000000
2022-03-25 19:16:24.240308,3304587263,50423,65535,15112,-1.000000
2022-03-25 19:16:36.273757,3306618879,50454,65535,15081,-1.000000
2022-03-25 19:16:48.292109,3308060671,50476,65535,15059,-1.000000
2022-03-25 19:17:00.325318,3308716031,50486,65535,15049,-1.000000
2022-03-25 19:17:12.359053,3309895679,50504,65535,15031,-1.000000
2022-03-25 19:17:24.377373,3311009791,50521,65535,15014,-1.000000
2022-03-25 19:17:36.411015,3312713727,50547,65535,14988,-1.000000
2022-03-25 19:17:48.428970,3313958911,50566,65535,14969,-1.000000
2022-03-25 19:18:00.462484,3314548735,50575,65535,14960,-1.000000
2022-03-25 19:18:12.480489,3316187135,50600,65535,14935,-1.000000
2022-03-25 19:18:24.513903,3316908031,50611,65535,14924,-1.000000
2022-03-25 19:18:36.532052,3318874111,50641,65535,14894,-1.000000
2022-03-25 19:18:48.565789,3319595007,50652,65535,14883,-1.000000
2022-03-25 19:19:00.599258,3320578047,50667,65535,14868,-1.000000
2022-03-25 19:19:12.617469,3324903423,50733,65535,14802,-1.000000
2022-03-25 19:19:24.650931,3324968959,50734,65535,14801,-1.000000
2022-03-25 19:19:36.684613,3325296639,50739,65535,14796,-1.000000
2022-03-25 19:19:48.702692,3325624319,50744,65535,14791,-1.000000
2022-03-25 19:20:00.735985,3326345215,50755,65535,14780,-1.000000
2022-03-25 19:20:12.754496,3326672895,50760,65535,14775,-1.000000
2022-03-25 19:20:24.787543,3327066111,50766,65535,14769,-1.000000
2022-03-25 19:20:36.805956,3327262719,50769,65535,14766,-1.000000
2022-03-25 19:20:48.839449,3327983615,50780,65535,14755,-1.000000
2022-03-25 19:21:00.873041,3327918079,50779,65535,14756,-1.000000
2022-03-25 19:21:12.891084,3328245759,50784,65535,14751,-1.000000
2022-03-25 19:21:24.924723,3328966655,50795,65535,14740,-1.000000
2022-03-25 19:21:36.943053,3330473983,50818,65535,14717,-1.000000
2022-03-25 19:21:48.976269,3331391487,50832,65535,14703,-1.000000
2022-03-25 19:22:01.009707,3331850239,50839,65535,14696,-1.000000
2022-03-25 19:22:13.027941,3331915775,50840,65535,14695,-1.000000
2022-03-25 19:22:25.061647,3333160959,50859,65535,14676,-1.000000
2022-03-25 19:22:37.094954,3333423103,50863,65535,14672,-1.000000
2022-03-25 19:22:49.113451,3333488639,50864,65535,14671,-1.000000
2022-03-25 19:23:01.146823,3346137087,51057,65535,14478,-1.000000
2022-03-25 19:23:13.165211,3333881855,50870,65535,14665,-1.000000
2022-03-25 19:23:25.198364,3334012927,50872,65535,14663,-1.000000
2022-03-25 19:23:37.231895,3334799359,50884,65535,14651,-1.000000
2022-03-25 19:23:49.250185,3335454719,50894,65535,14641,-1.000000
2022-03-25 19:24:01.283511,3336044543,50903,65535,14632,-1.000000
2022-03-25 19:24:13.301818,3336830975,50915,65535,14620,-1.000000
2022-03-25 19:24:25.334962,3336962047,50917,65535,14618,-1.000000
2022-03-25 19:24:37.353035,3337355263,50923,65535,14612,-1.000000
2022-03-25 19:24:49.386416,3338141695,50935,65535,14600,-1.000000
2022-03-25 19:25:01.404617,3338797055,50945,65535,14590,-1.000000
2022-03-25 19:25:13.438253,3339517951,50956,65535,14579,-1.000000
2022-03-25 19:25:25.472036,3340435455,50970,65535,14565,-1.000000
2022-03-25 19:25:37.490284,3341156351,50981,65535,14554,-1.000000
2022-03-25 19:25:49.524044,3341877247,50992,65535,14543,-1.000000
2022-03-25 19:26:01.557531,3339583487,50957,65535,14578,-1.000000
2022-03-25 19:26:13.575762,3337551871,50926,65535,14609,-1.000000
2022-03-25 19:26:25.594019,3344171007,51027,65535,14508,-1.000000
2022-03-25 19:26:37.627639,3344236543,51028,65535,14507,-1.000000
2022-03-25 19:26:49.661362,3344760831,51036,65535,14499,-1.000000
2022-03-25 19:27:01.694864,3346202623,51058,65535,14477,-1.000000
2022-03-25 19:27:13.728238,3346595839,51064,65535,14471,-1.000000
2022-03-25 19:27:25.746485,3347054591,51071,65535,14464,-1.000000
2022-03-25 19:27:37.780247,3348168703,51088,65535,14447,-1.000000
2022-03-25 19:27:49.798594,3348365311,51091,65535,14444,-1.000000
2022-03-25 19:28:01.832218,3349020671,51101,65535,14434,-1.000000
2022-03-25 19:28:13.865763,3350200319,51119,65535,14416,-1.000000
2022-03-25 19:28:25.883780,3352166399,51149,65535,14386,-1.000000
2022-03-25 19:28:37.917510,3353083903,51163,65535,14372,-1.000000
2022-03-25 19:28:49.935675,3354722303,51188,65535,14347,-1.000000
2022-03-25 19:29:01.969350,3356491775,51215,65535,14320,-1.000000
2022-03-25 19:29:13.987439,3357999103,51238,65535,14297,-1.000000
2022-03-25 19:29:26.021065,3360096255,51270,65535,14265,-1.000000
2022-03-25 19:29:38.039385,3362717695,51310,65535,14225,-1.000000
2022-03-25 19:29:50.072698,3365535743,51353,65535,14182,-1.000000
2022-03-25 19:30:02.090947,3368157183,51393,65535,14142,-1.000000
2022-03-25 19:30:14.124504,3369730047,51417,65535,14118,-1.000000
2022-03-25 19:30:26.157827,3370909695,51435,65535,14100,-1.000000
2022-03-25 19:30:38.176029,3372285951,51456,65535,14079,-1.000000
2022-03-25 19:30:50.194202,3373268991,51471,65535,14064,-1.000000
2022-03-25 19:31:02.227629,3374645247,51492,65535,14043,-1.000000
2022-03-25 19:31:14.245955,3375235071,51501,65535,14034,-1.000000
2022-03-25 19:31:26.279278,3376152575,51515,65535,14020,-1.000000
2022-03-25 19:31:38.312942,3376611327,51522,65535,14013,-1.000000
2022-03-25 19:31:50.346601,3377332223,51533,65535,14002,-1.000000
2022-03-25 19:32:02.365181,3378118655,51545,65535,13990,-1.000000
2022-03-25 19:32:14.398576,3379232767,51562,65535,13973,-1.000000
2022-03-25 19:32:26.432075,3381067775,51590,65535,13945,-1.000000
2022-03-25 19:32:38.450132,3382837247,51617,65535,13918,-1.000000
2022-03-25 19:32:50.483370,3385196543,51653,65535,13882,-1.000000
2022-03-25 19:33:02.501537,3386572799,51674,65535,13861,-1.000000
2022-03-25 19:33:14.535001,3388735487,51707,65535,13828,-1.000000
2022-03-25 19:33:26.553428,3389980671,51726,65535,13809,-1.000000
2022-03-25 19:33:38.586612,3391356927,51747,65535,13788,-1.000000
2022-03-25 19:33:50.604542,3392077823,51758,65535,13777,-1.000000
2022-03-25 19:34:02.638295,3394633727,51797,65535,13738,-1.000000
2022-03-25 19:34:14.671786,3395551231,51811,65535,13724,-1.000000
2022-03-25 19:34:26.690071,3397386239,51839,65535,13696,-1.000000
2022-03-25 19:34:38.724017,3398107135,51850,65535,13685,-1.000000
2022-03-25 19:34:50.756997,3399221247,51867,65535,13668,-1.000000
2022-03-25 19:35:02.775133,3401056255,51895,65535,13640,-1.000000
2022-03-25 19:35:14.808757,3402825727,51922,65535,13613,-1.000000
2022-03-25 19:35:26.826720,3403743231,51936,65535,13599,-1.000000
2022-03-25 19:35:38.860258,3404988415,51955,65535,13580,-1.000000
2022-03-25 19:35:50.878407,3405905919,51969,65535,13566,-1.000000
2022-03-25 19:36:02.912200,3407282175,51990,65535,13545,-1.000000
2022-03-25 19:36:14.945545,3407609855,51995,65535,13540,-1.000000
2022-03-25 19:36:26.963923,3408723967,52012,65535,13523,-1.000000
2022-03-25 19:36:38.997556,3409575935,52025,65535,13510,-1.000000
2022-03-25 19:36:51.030955,3410165759,52034,65535,13501,-1.000000
2022-03-25 19:37:03.049009,3411607551,52056,65535,13479,-1.000000
2022-03-25 19:37:15.082784,3412197375,52065,65535,13470,-1.000000
2022-03-25 19:37:27.100957,3412525055,52070,65535,13465,-1.000000
