dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2022-03-25 19:09:36.355438,2031,2890,676,215,244.33,519.55,0.12
2022-03-25 19:09:48.388859,2032,2891,676,215,245.33,520.55,0.13
2022-03-25 19:10:00.407302,2033,2893,676,215,246.33,522.55,0.13
2022-03-25 19:10:12.441037,2033,2892,676,215,246.33,521.55,0.13
2022-03-25 19:10:24.459113,2034,2893,676,215,247.33,522.55,0.13
2022-03-25 19:10:36.492509,2035,2895,676,215,248.33,524.55,0.13
2022-03-25 19:10:48.526044,2034,2894,676,215,247.33,523.55,0.13
2022-03-25 19:11:00.544062,2035,2896,677,215,246.11,522.60,0.13
2022-03-25 19:11:12.577715,2036,2897,677,216,245.78,521.85,0.13
2022-03-25 19:11:24.595900,2035,2896,676,215,248.33,525.55,0.13
2022-03-25 19:11:36.629281,2037,2899,677,215,248.11,525.60,0.13
2022-03-25 19:11:48.647300,2039,2901,677,216,248.78,525.85,0.13
2022-03-25 19:12:00.680920,2039,2901,677,216,248.78,525.85,0.13
2022-03-25 19:12:12.698948,2041,2903,678,216,248.56,524.90,0.13
2022-03-25 19:12:24.732363,2040,2903,678,216,247.56,524.90,0.13
2022-03-25 19:12:36.750516,2043,2906,678,216,250.56,527.90,0.13
2022-03-25 19:12:48.768612,2042,2906,678,216,249.56,527.90,0.13
2022-03-25 19:13:00.802112,2044,2907,679,216,249.34,525.95,0.13
2022-03-25 19:13:12.835805,2044,2909,679,217,248.01,526.20,0.13
2022-03-25 19:13:24.854146,2045,2909,679,217,249.01,526.20,0.13
2022-03-25 19:13:36.887524,2046,2910,679,217,250.01,527.20,0.13
2022-03-25 19:13:48.921244,2048,2913,680,217,249.79,527.25,0.13
2022-03-25 19:14:00.939300,2048,2914,680,217,249.79,528.25,0.13
2022-03-25 19:14:12.972688,2049,2915,680,217,250.79,529.25,0.13
2022-03-25 19:14:24.990974,2051,2918,681,218,249.24,527.55,0.13
2022-03-25 19:14:37.024445,2050,2916,681,217,249.57,527.30,0.13
2022-03-25 19:14:49.042641,2052,2920,681,218,250.24,529.55,0.13
2022-03-25 19:15:01.076019,2050,2917,681,217,249.57,528.30,0.13
2022-03-25 19:15:13.093752,2052,2920,681,218,250.24,529.55,0.13
2022-03-25 19:15:25.127257,2054,2922,682,218,250.02,528.60,0.13
2022-03-25 19:15:37.145385,2054,2924,682,218,250.02,530.60,0.13
2022-03-25 19:15:49.178665,2056,2926,683,218,249.80,529.65,0.13
2022-03-25 19:16:01.197289,2057,2927,683,218,250.80,530.65,0.13
2022-03-25 19:16:13.215135,2057,2928,683,218,250.80,531.65,0.13
2022-03-25 19:16:25.248576,2057,2928,683,218,250.80,531.65,0.13
2022-03-25 19:16:37.281994,2058,2930,683,219,250.47,531.90,0.13
2022-03-25 19:16:49.300630,2058,2930,683,219,250.47,531.90,0.13
2022-03-25 19:17:01.333470,2059,2931,683,219,251.47,532.90,0.13
2022-03-25 19:17:13.367303,2060,2932,684,219,250.25,530.95,0.13
2022-03-25 19:17:25.385651,2062,2934,684,219,252.25,532.95,0.13
2022-03-25 19:17:37.419245,2062,2935,684,219,252.25,533.95,0.13
2022-03-25 19:17:49.437291,2062,2935,684,219,252.25,533.95,0.13
2022-03-25 19:18:01.470781,2064,2937,685,219,252.03,533.00,0.13
2022-03-25 19:18:13.488745,2064,2938,685,219,252.03,534.00,0.13
2022-03-25 19:18:25.522208,2064,2937,685,219,252.03,533.00,0.13
2022-03-25 19:18:37.555670,2066,2940,685,219,254.03,536.00,0.13
2022-03-25 19:18:49.573945,2066,2940,686,220,250.48,531.30,0.13
2022-03-25 19:19:01.607438,2066,2940,685,220,252.70,534.25,0.13
2022-03-25 19:19:13.625806,2069,2945,686,220,253.48,536.30,0.13
2022-03-25 19:19:25.659135,2069,2945,686,220,253.48,536.30,0.13
2022-03-25 19:19:37.692885,2069,2944,686,220,253.48,535.30,0.13
2022-03-25 19:19:49.726223,2070,2946,686,220,254.48,537.30,0.13
2022-03-25 19:20:01.744619,2071,2947,686,221,254.15,536.55,0.13
2022-03-25 19:20:13.777703,2072,2949,686,221,255.15,538.55,0.13
2022-03-25 19:20:25.795770,2071,2948,687,220,253.26,536.35,0.13
2022-03-25 19:20:37.814245,2074,2951,687,221,254.93,537.60,0.13
2022-03-25 19:20:49.847623,2073,2950,687,221,253.93,536.60,0.13
2022-03-25 19:21:01.881384,2074,2950,687,220,256.26,538.35,0.13
2022-03-25 19:21:13.899234,2074,2951,687,221,254.93,537.60,0.13
2022-03-25 19:21:25.932905,2074,2952,687,221,254.93,538.60,0.13
2022-03-25 19:21:37.966560,2075,2953,687,221,255.93,539.60,0.13
2022-03-25 19:21:49.984518,2076,2955,688,221,254.71,538.65,0.13
2022-03-25 19:22:02.017964,2076,2955,688,221,254.71,538.65,0.13
2022-03-25 19:22:14.036150,2076,2954,688,221,254.71,537.65,0.13
2022-03-25 19:22:26.070049,2077,2955,688,221,255.71,538.65,0.13
2022-03-25 19:22:38.103203,2078,2957,689,221,254.49,537.70,0.13
2022-03-25 19:22:50.121787,2077,2956,688,221,255.71,539.65,0.13
2022-03-25 19:23:02.155153,2084,2966,690,222,256.94,542.00,0.13
2022-03-25 19:23:14.188544,2078,2957,689,221,254.49,537.70,0.13
2022-03-25 19:23:26.206873,2079,2958,689,221,255.49,538.70,0.13
2022-03-25 19:23:38.240158,2078,2957,688,221,256.71,540.65,0.13
2022-03-25 19:23:50.258432,2078,2958,689,221,254.49,538.70,0.13
2022-03-25 19:24:02.291789,2079,2960,690,222,251.94,536.00,0.13
2022-03-25 19:24:14.310075,2079,2959,689,221,255.49,539.70,0.13
2022-03-25 19:24:26.343377,2080,2960,690,222,252.94,536.00,0.13
2022-03-25 19:24:38.361391,2080,2961,689,222,255.16,539.95,0.13
2022-03-25 19:24:50.394646,2080,2961,690,222,252.94,537.00,0.13
2022-03-25 19:25:02.412941,2081,2961,689,222,256.16,539.95,0.13
2022-03-25 19:25:14.446416,2081,2961,689,222,256.16,539.95,0.13
2022-03-25 19:25:26.480253,2082,2963,690,222,254.94,539.00,0.13
2022-03-25 19:25:38.498458,2082,2963,690,222,254.94,539.00,0.13
2022-03-25 19:25:50.532351,2083,2964,690,222,255.94,540.00,0.13
2022-03-25 19:26:02.565842,2082,2963,690,222,254.94,539.00,0.13
2022-03-25 19:26:14.584009,2082,2964,690,222,254.94,540.00,0.13
2022-03-25 19:26:26.617245,2084,2966,690,222,256.94,542.00,0.13
2022-03-25 19:26:38.650993,2085,2968,691,222,255.72,541.05,0.13
2022-03-25 19:26:50.669579,2085,2968,691,222,255.72,541.05,0.13
2022-03-25 19:27:02.703073,2086,2969,691,222,256.72,542.05,0.13
2022-03-25 19:27:14.736520,2087,2970,691,222,257.72,543.05,0.13
2022-03-25 19:27:26.754880,2086,2970,691,222,256.72,543.05,0.13
2022-03-25 19:27:38.788491,2086,2970,691,222,256.72,543.05,0.13
2022-03-25 19:27:50.822129,2087,2970,691,223,256.39,541.30,0.13
2022-03-25 19:28:02.840718,2088,2972,691,222,258.72,545.05,0.13
2022-03-25 19:28:14.873955,2090,2976,692,223,257.17,544.35,0.13
2022-03-25 19:28:26.892054,2090,2976,692,223,257.17,544.35,0.13
2022-03-25 19:28:38.925774,2090,2976,692,223,257.17,544.35,0.13
2022-03-25 19:28:50.943936,2090,2976,692,223,257.17,544.35,0.13
2022-03-25 19:29:02.977508,2092,2978,692,223,259.17,546.35,0.13
2022-03-25 19:29:14.995678,2093,2979,693,223,257.95,544.40,0.13
2022-03-25 19:29:27.029392,2093,2980,693,223,257.95,545.40,0.13
2022-03-25 19:29:39.062720,2094,2980,693,223,258.95,545.40,0.13
2022-03-25 19:29:51.080995,2095,2983,693,224,258.62,546.65,0.13
2022-03-25 19:30:03.114515,2095,2983,693,224,258.62,546.65,0.13
2022-03-25 19:30:15.132746,2098,2986,694,224,259.40,546.70,0.13
2022-03-25 19:30:27.166064,2098,2986,695,224,257.18,543.75,0.13
2022-03-25 19:30:39.184495,2098,2987,695,224,257.18,544.75,0.13
2022-03-25 19:30:51.217763,2100,2990,695,225,257.85,546.00,0.13
2022-03-25 19:31:03.235938,2101,2989,695,224,260.18,546.75,0.13
2022-03-25 19:31:15.269281,2103,2993,696,225,258.63,546.05,0.13
2022-03-25 19:31:27.287551,2104,2996,696,225,259.63,549.05,0.13
2022-03-25 19:31:39.321389,2104,2995,696,225,259.63,548.05,0.13
2022-03-25 19:31:51.354803,2105,2997,697,225,258.41,547.10,0.13
2022-03-25 19:32:03.372987,2104,2996,696,225,259.63,549.05,0.13
2022-03-25 19:32:15.406800,2105,2998,697,225,258.41,548.10,0.13
2022-03-25 19:32:27.440386,2106,2999,697,225,259.41,549.10,0.13
2022-03-25 19:32:39.458320,2106,3000,697,226,258.08,548.35,0.13
2022-03-25 19:32:51.491551,2107,3000,698,226,256.86,545.40,0.13
