dateTime,source,energy,distance
2022-03-25 19:09:25.820794,3,0,63
2022-03-25 19:09:25.916298,3,0,63
2022-03-25 19:09:25.996374,3,0,63
2022-03-25 19:09:26.091977,3,0,63
2022-03-25 19:09:26.172021,3,0,63
2022-03-25 19:09:26.252034,3,0,63
2022-03-25 19:09:26.395626,2,30,63
2022-03-25 19:09:26.555209,2,31,63
2022-03-25 19:09:26.634855,3,0,63
2022-03-25 19:09:26.714919,3,0,63
2022-03-25 19:09:26.810569,3,0,63
2022-03-25 19:09:26.890615,3,0,63
2022-03-25 19:09:26.986178,3,0,63
2022-03-25 19:09:27.066220,3,0,63
2022-03-25 19:09:27.161776,3,0,63
2022-03-25 19:09:27.241845,3,0,63
2022-03-25 19:09:27.353445,2,0,63
2022-03-25 19:09:27.417406,3,0,63
2022-03-25 19:09:27.513050,3,0,63
2022-03-25 19:09:27.593046,3,0,63
2022-03-25 19:09:27.688648,3,0,63
2022-03-25 19:09:27.768683,3,0,63
2022-03-25 19:09:27.928466,2,30,63
2022-03-25 19:09:28.008279,3,0,63
2022-03-25 19:09:28.103845,3,0,63
2022-03-25 19:09:28.183902,3,0,63
2022-03-25 19:09:28.279468,2,0,63
2022-03-25 19:09:28.359661,3,0,63
2022-03-25 19:09:28.455045,3,0,63
2022-03-25 19:09:28.535128,3,0,63
2022-03-25 19:09:28.630745,3,0,63
2022-03-25 19:09:28.710808,3,0,63
2022-03-25 19:09:28.806967,2,0,63
2022-03-25 19:09:28.886416,3,0,63
2022-03-25 19:09:28.981981,3,0,63
2022-03-25 19:09:29.062043,3,0,63
2022-03-25 19:09:29.142119,3,0,63
2022-03-25 19:09:29.237646,3,0,63
2022-03-25 19:09:29.317753,3,0,63
2022-03-25 19:09:29.413251,3,0,63
2022-03-25 19:09:29.493319,3,0,63
2022-03-25 19:09:29.589251,3,0,63
2022-03-25 19:09:29.669021,3,0,63
2022-03-25 19:09:29.764517,3,0,63
2022-03-25 19:09:29.844665,2,0,63
2022-03-25 19:09:29.940194,3,0,63
2022-03-25 19:09:30.100221,2,30,63
2022-03-25 19:09:30.179706,3,0,63
2022-03-25 19:09:30.259851,3,0,63
2022-03-25 19:09:30.355402,3,0,63
2022-03-25 19:09:30.499327,2,30,63
2022-03-25 19:09:30.578879,3,0,63
2022-03-25 19:09:30.658847,3,0,63
2022-03-25 19:09:30.738968,3,0,63
2022-03-25 19:09:30.834447,3,0,63
2022-03-25 19:09:30.914523,3,0,63
2022-03-25 19:09:31.010088,3,0,63
2022-03-25 19:09:31.090136,3,0,63
2022-03-25 19:09:31.185738,3,0,63
2022-03-25 19:09:31.265740,3,0,63
2022-03-25 19:09:31.361555,2,0,63
2022-03-25 19:09:31.441429,3,0,63
2022-03-25 19:09:31.537235,2,0,63
2022-03-25 19:09:31.617043,3,0,63
2022-03-25 19:09:31.712618,3,0,63
2022-03-25 19:09:31.792672,3,0,63
2022-03-25 19:09:31.888256,3,0,63
2022-03-25 19:09:31.968319,3,0,63
2022-03-25 19:09:32.065094,3,0,63
2022-03-25 19:09:32.144002,3,0,63
2022-03-25 19:09:32.239567,3,0,63
2022-03-25 19:09:32.319622,3,0,63
2022-03-25 19:09:32.447472,2,30,63
2022-03-25 19:09:32.511425,3,0,63
2022-03-25 19:09:32.606976,3,0,63
2022-03-25 19:09:32.734922,2,30,63
2022-03-25 19:09:32.830316,3,0,63
2022-03-25 19:09:32.910370,3,0,63
2022-03-25 19:09:32.990402,3,0,63
2022-03-25 19:09:33.149891,2,30,63
2022-03-25 19:09:33.213827,3,0,63
2022-03-25 19:09:33.309314,3,0,63
2022-03-25 19:09:33.389459,3,0,63
2022-03-25 19:09:33.485187,2,0,63
2022-03-25 19:09:33.565057,3,0,63
2022-03-25 19:09:33.645119,3,0,63
2022-03-25 19:09:33.740647,3,0,63
2022-03-25 19:09:33.820831,3,0,63
2022-03-25 19:09:33.916330,3,0,63
2022-03-25 19:09:34.012328,3,0,63
