dateTime,nodeID,sensorID,gatewayID,rssi,loRaSNR,channel,rfChain,frequency,bandwidth,spreadingFactor,codeRate,dataRate,frameCounters,framePort,base64Data,base16Data,devAddr,deviceAddDecoded
2022-03-25 19:09:25.933230,47cb55800041001c,GPGGALR,647fdafffe0100ad,-87,-5.2,6,0,914700000,125,7,4/5,3,7,5,COl/cgF/QEDNIj/bfTBYwL8OnDOitMc/zczMzMzcZ0CPwvUoXIdiQBSuR+F6FPI/5gcDGRMJFw==,08e97f72017f4040cd223fdb7d3058c0bf0e9c33a2b4c73fcdccccccccdc67408fc2f5285c87624014ae47e17a14f23fe6070319130917,AQHQqQ==,0101d0a9
2022-03-25 19:09:26.522624,47db558000420035,IPS7100,647fdafffe0100ad,-78,2,4,0,914300000,125,7,4/5,3,1,15,ImMAANUvAACFAwAAUwAAAAkAAAAAAAAAAAAAAE63rTwwTpg+JIPIPktR7D4ekBU/HpAVPx6QFT8=,22630000d52f000085030000530000000900000000000000000000004eb7ad3c304e983e2483c83e4b51ec3e1e90153f1e90153f1e90153f,AXAAhg==,01700086
2022-03-25 19:09:42.340898,472b544e00270032,PM,647fdafffe0100ad,-92,-0.5,3,0,914100000,125,8,4/5,2,3,2,BgA=,0600,ABgPgg==,00180f82
2022-03-25 19:10:14.697212,472b544e001b003c,IPS7100,647fdafffe0100ad,-78,7.8,5,0,914500000,125,7,4/5,3,445,15,2QgAAKcEAADxAwAA0wAAADoAAAAAAAAAAAAAADQe+DpMqes8hHEJPsI3nz6MGIo/jBiKP4wYij8=,d9080000a7040000f1030000d30000003a0000000000000000000000341ef83a4ca9eb3c8471093ec2379f3e8c188a3f8c188a3f8c188a3f,AFZMtg==,00564cb6
2022-03-25 19:10:17.353630,472b544e00270032,PM,647fdafffe0100ad,-98,-1.2,1,0,913700000,125,8,4/5,2,10,2,BgA=,0600,ABgPgg==,00180f82
2022-03-25 19:10:25.170861,8cf9572000059fd7,BME280,647fdafffe0100ad,-92,4.5,0,0,913500000,125,7,4/5,3,9,21,AADwQRR+eEQAAEBB,0000f041147e784400004041,AIIdnw==,00821d9f
2022-03-25 19:11:11.741202,472b544e001b003c,IPS7100,647fdafffe0100ad,-83,4.5,1,0,913700000,125,7,4/5,3,451,15,dQ8AAJ8KAACuAwAAKwEAAHIAAAAAAAAAAAAAAFmvWDt6b4Q9DwcnPo5u0z4CbfQ/Am30PwJt9D8=,750f00009f0a0000ae0300002b01000072000000000000000000000059af583b7a6f843d0f07273e8e6ed33e026df43f026df43f026df43f,AFZMtg==,00564cb6
2022-03-25 19:11:23.270526,472b544e0024002b,IPS7100,647fdafffe0100ad,-85,6.2,5,0,914500000,125,7,4/5,3,6,15,HgkAAMgEAABZAgAAOgAAAA4AAAAAAAAAAAAAADCe/zqCRfI8AyW9PcfZED7c5Ko+3OSqPtzkqj4=,1e090000c8040000590200003a0000000e0000000000000000000000309eff3a8245f23c0325bd3dc7d9103edce4aa3edce4aa3edce4aa3e,AX70vg==,017ef4be
2022-03-25 19:11:27.133797,475a5fe300480023,IPS7100,647fdafffe0100ad,-89,8,4,0,914300000,125,7,4/5,3,9,15,D8MAAB5kAACMEwAAEAMAAHMAAAAGAAAAAAAAAC/nKj2etB4/+UCSP2Uy5j/yeFNAsCx+QLAsfkA=,0fc300001e6400008c130000100300007300000006000000000000002fe72a3d9eb41e3ff940923f6532e63ff2785340b02c7e40b02c7e40,AEOdzQ==,00439dcd
2022-03-25 19:11:35.163025,472b544e0024002b,BME280,647fdafffe0100ad,-88,5.5,1,0,913700000,125,7,4/5,3,7,21,rkftQQCQeEQAADBB,ae47ed410090784400003041,AX70vg==,017ef4be
2022-03-25 19:12:43.788347,8cf957200005854f,INA219Duo,647fdafffe0100ad,-93,-1.5,3,0,914100000,125,7,4/5,3,5,3,mpm7wfCnZkCaGWDDAIBJRHsU/EG6SbxAmpmdQwDA50Q=,9a99bbc1f0a766409a1960c3008049447b14fc41ba49bc409a999d4300c0e744,AQmLLQ==,01098b2d
2022-03-25 19:13:03.509553,475a5fe300320019,PM,647fdafffe0100ad,-87,8.5,0,0,913500000,125,8,4/5,2,6,2,BgA=,0600,AUO2Tg==,0143b64e
2022-03-25 19:13:04.518816,8cf9572000059fd7,PM,647fdafffe0100ad,-93,5,4,0,914300000,125,8,4/5,2,0,2,BgA=,0600,AdAGtg==,01d006b6
2022-03-25 19:13:10.129085,47db558000330044,PM,647fdafffe0100ad,-84,9.5,4,0,914300000,125,8,4/5,2,13,2,BgA=,0600,AM9YbA==,00cf586c
2022-03-25 19:13:12.372637,475a5fe30035001a,INA219Duo,647fdafffe0100ad,-85,9.2,3,0,914100000,125,7,4/5,3,7,3,MzOjwVYObUAzs1DDAIBBRGZmAUIxCLxAzcyhQwCA7UQ=,3333a3c1560e6d4033b350c300804144666601423108bc40cdcca1430080ed44,AL28ug==,00bdbcba
2022-03-25 19:14:14.330509,472b544e001b003c,IPS7100,647fdafffe0100ad,-81,7,5,0,914500000,125,7,4/5,3,472,15,khoAABcOAADqAwAAAwEAAG8AAAAAAAAAAAAAABtCujvFT7I92mNEPtYC0T67+u4/u/ruP7v67j8=,921a0000170e0000ea030000030100006f00000000000000000000001b42ba3bc54fb23dda63443ed602d13ebbfaee3fbbfaee3fbbfaee3f,AFZMtg==,00564cb6
2022-03-25 19:14:17.820595,477b41f20048001f,PM,647fdafffe0100ad,-85,2.5,7,0,914900000,125,8,4/5,2,7,2,BgA=,0600,AD+SWg==,003f925a
2022-03-25 19:14:48.300780,472b544e001b003c,BME280,647fdafffe0100ad,-81,9,4,0,914300000,125,7,4/5,3,476,21,j8LnQSlseEQAAHBB,8fc2e741296c784400007041,AFZMtg==,00564cb6
2022-03-25 19:14:55.443413,475a5fe30035001a,IPS7100,647fdafffe0100ad,-85,6.8,4,0,914300000,125,7,4/5,3,9,15,BVcAAF4gAAAYBgAAqgAAABEAAAAAAAAAAAAAADh8mDwZfFI+M7K8PjjZAj/Z4T0/2eE9P9nhPT8=,055700005e20000018060000aa000000110000000000000000000000387c983c197c523e33b2bc3e38d9023fd9e13d3fd9e13d3fd9e13d3f,AL28ug==,00bdbcba
2022-03-25 19:14:58.250232,472b544e001b003c,SCD30,647fdafffe0100ad,-61,4.8,7,0,914900000,125,7,4/5,3,477,33,AAANQ+ya9EFAomBB,00000d43ec9af44140a26041,AFZMtg==,00564cb6
2022-03-25 19:15:00.634684,8cf9572000059e7e,PM,647fdafffe0100ad,-87,5.8,5,0,914500000,125,8,4/5,2,6,2,BgA=,0600,AV4gCA==,015e2008
2022-03-25 19:15:08.338802,475a5fe30033001a,PM,647fdafffe0100ad,-96,-7.5,4,0,914300000,125,8,4/5,2,4,2,BgA=,0600,ANpJvQ==,00da49bd
2022-03-25 19:15:24.849177,475a5fe300200021,IPS7100,647fdafffe0100ad,-85,8.5,0,0,913500000,125,7,4/5,3,5,15,qlQAAJEnAAC7BAAAZQAAACMAAAAEAAAAAAAAAIdblDxQjHw+Ig+/PnF+6j7UcG0//kmwP/5JsD8=,aa54000091270000bb04000065000000230000000400000000000000875b943c508c7c3e220fbf3e717eea3ed4706d3ffe49b03ffe49b03f,Af10DQ==,01fd740d
2022-03-25 19:16:08.792393,472b544e001b003c,INA219Duo,647fdafffe0100ad,-79,7.8,5,0,914500000,125,7,4/5,3,485,3,4XpcwS2yfUBmZvfCAAD0Q3sUAELZzrdAZqagQwAA50Q=,e17a5cc12db27d406666f7c20000f4437b140042d9ceb74066a6a0430000e744,AFZMtg==,00564cb6
2022-03-25 19:16:15.868022,475a5fe30035001b,PM,647fdafffe0100ad,-92,0.2,7,0,914900000,125,8,4/5,2,9,2,BgA=,0600,AdXd4w==,01d5dde3
2022-03-25 19:16:35.333701,47db558000340048,PM,647fdafffe0100ad,-81,4,7,0,914900000,125,8,4/5,2,0,2,BgA=,0600,AVpKWQ==,015a4a59
2022-03-25 19:16:52.018665,475a5fe30035001b,INA219Duo,647fdafffe0100ad,-90,6,2,0,913900000,125,7,4/5,3,12,3,zcx0wWQ7f0AAACTDAAAeRClc60Hn+7lAZmaTQwDA1UQ=,cdcc74c1643b7f40000024c300001e44295ceb41e7fbb9406666934300c0d544,AdXd4w==,01d5dde3
2022-03-25 19:16:59.237201,47db558000420035,PM,647fdafffe0100ad,-81,-1.8,2,0,913900000,125,8,4/5,2,5,2,BgA=,0600,ACkYug==,002918ba
2022-03-25 19:17:03.485505,8cf9572000058551,BME280,647fdafffe0100ad,-95,-8.2,0,0,913500000,125,7,4/5,3,5,21,rkfbQaSAeEQAADBB,ae47db41a480784400003041,ATYMYg==,01360c62
2022-03-25 19:17:13.998917,472b544e001b003c,IPS7100,647fdafffe0100ad,-81,8.8,0,0,913500000,125,7,4/5,3,493,15,XRgAAHoOAACKAwAA2wAAAEwAAAADAAAAAAAAAG3Jqjvx6LU9T/I7PjrDuz4MR64/h3bdP4d23T8=,5d1800007a0e00008a030000db0000004c00000003000000000000006dc9aa3bf1e8b53d4ff23b3e3ac3bb3e0c47ae3f8776dd3f8776dd3f,AFZMtg==,00564cb6
2022-03-25 19:17:28.887662,479b5580001a0031,PM,647fdafffe0100ad,-83,1.5,6,0,914700000,125,8,4/5,2,1,2,BgA=,0600,ALhtzg==,00b86dce
2022-03-25 19:17:49.394673,47db558000390039,BME280,647fdafffe0100ad,-101,3.2,4,0,914300000,125,7,4/5,3,7,21,9igAQvZ4eEQAACBB,f6280042f678784400002041,ANFA/w==,00d140ff
2022-03-25 19:17:52.956903,479b5580001a0031,BME280,647fdafffe0100ad,-81,8.8,0,0,913500000,125,7,4/5,3,3,21,pHDlQXu0eEQAADBB,a470e5417bb4784400003041,ALhtzg==,00b86dce
2022-03-25 19:18:11.137160,472b544e0028002b,IPS7100,647fdafffe0100ad,-80,1,6,0,914700000,125,7,4/5,3,10,15,q00AAGIjAABHAwAAsgAAABsAAAADAAAAAAAAAE8ZiDwSR2I+uQOePqR56j7o21A/0+WSP9Plkj8=,ab4d00006223000047030000b20000001b00000003000000000000004f19883c1247623eb9039e3ea479ea3ee8db503fd3e5923fd3e5923f,ARqLJg==,011a8b26
2022-03-25 19:18:53.805846,472b544e0024002b,GPGGALR,647fdafffe0100ad,-85,-2.8,6,0,914700000,125,7,4/5,3,8,5,wvKR2wl/QEBt5rtUfzBYwGxDxTh/E9o/AAAAAAAQaECF61G4HmF2QFK4HoXrUfg/5gcDGRMSMw==,c2f291db097f40406de6bb547f3058c06c43c5387f13da3f000000000010684085eb51b81e61764052b81e85eb51f83fe6070319131233,AbzpcA==,01bce970
2022-03-25 19:18:56.565378,475a5fe3002f001b,GPGGALR,647fdafffe0100ad,-95,-6,3,0,914100000,125,7,4/5,3,4,5,Gy/dJAZ/QEDG/XImgDBYwBh47j1ccqw/zczMzMy8aUA9CtejcGVjQFyPwvUoXO8/5gcDGRMSNQ==,1b2fdd24067f4040c6fd7226803058c01878ee3d5c72ac3fcdccccccccbc69403d0ad7a3706563405c8fc2f5285cef3fe6070319131235,Ac25vw==,01cdb9bf
2022-03-25 19:19:17.154341,475a5fe3002c0020,GPGGALR,647fdafffe0100ad,-87,-3.2,2,0,913900000,125,7,4/5,3,5,5,iPdyWAd/QEDcaABvgTBYwBLaci7FVcU/MzMzMzMjbEBmZmZmZkZtQClcj8L1KPg/5gcDGRMTDg==,88f77258077f4040dc68006f813058c012da722ec555c53f3333333333236c406666666666466d40295c8fc2f528f83fe607031913130e,Ac/N4Q==,01cfcde1
