dateTime,nodeID,sensorID,gatewayID,rssi,loRaSNR,channel,rfChain,frequency,bandwidth,spreadingFactor,codeRate,dataRate,frameCounters,framePort,base64Data,base16Data,devAddr,deviceAddDecoded
2022-03-25 19:09:28.121145,472b544e0024002b,BME280,a84041ffff206240,-95,2.5,1,0,913700000,125,7,4/5,3,3,21,exTuQXuUeEQAAEBB,7b14ee417b94784400004041,AX70vg==,017ef4be
2022-03-25 19:09:37.889278,472b544e001b003c,MGS001,a84041ffff206240,-50,13.8,1,0,913700000,125,7,4/5,3,441,31,YqJBP2TKMj+aThRErt7NQwAAAABa6itEmwcTPhifj0A=,62a2413f64ca323f9a4e1444aedecd43000000005aea2b449b07133e189f8f40,AFZMtg==,00564cb6
2022-03-25 19:09:38.415028,47db558000420035,BME280,a84041ffff206240,-50,13.5,7,1,914900000,125,7,4/5,3,2,21,pHDxQXGNeEQAAABB,a470f141718d784400000041,AXAAhg==,01700086
2022-03-25 19:10:23.359064,475a5fe30033001a,IPS7100,a84041ffff206240,-61,14,0,0,913500000,125,7,4/5,3,14,15,/kQAAIMhAACZBAAABgEAAEQAAAAGAAAAAAAAAMDLcTxOUlU+c6SpPpjsDD/AKbg/s18FQLNfBUA=,fe440000832100009904000006010000440000000600000000000000c0cb713c4e52553e73a4a93e98ec0c3fc029b83fb35f0540b35f0540,ADOngw==,0033a783
2022-03-25 19:10:31.082011,8cf9572000059fcd,IPS7100,a84041ffff206240,-65,13.5,3,0,914100000,125,7,4/5,3,8,15,mooAAIxJAACpCQAA4gAAADkAAAAEAAAAAAAAANHf8jwwqOg+1HM2P1njZj+tI9M/I7QEQCO0BEA=,9a8a00008c490000a9090000e2000000390000000400000000000000d1dff23c30a8e83ed473363f59e3663fad23d33f23b4044023b40440,AekSuw==,01e912bb
2022-03-25 19:10:47.800120,47db558000390039,IPS7100,a84041ffff206240,-49,13.5,0,0,913500000,125,7,4/5,3,16,15,fRkAADIMAABFBAAAiQAAACUAAAAAAAAAAAAAAE6rsjtNaps9V5pCPoHrmz59DEo/fQxKP30MSj8=,7d190000320c000045040000890000002500000000000000000000004eabb23b4d6a9b3d579a423e81eb9b3e7d0c4a3f7d0c4a3f7d0c4a3f,AZHwlA==,0191f094
2022-03-25 19:10:48.003995,475a5fe30024001c,PM,a84041ffff206240,-51,14.2,5,1,914500000,125,8,4/5,2,8,2,BgA=,0600,AYDYJQ==,0180d825
2022-03-25 19:10:51.900680,47cb55800041001c,IPS7100,a84041ffff206240,-49,9.2,2,0,913900000,125,7,4/5,3,8,15,ol4AAK0sAAAWAwAAjQAAABAAAAADAAAAAAAAAMrTpTzueo4+Kbu4Pocp9T4gQTM/Yf+NP2H/jT8=,a25e0000ad2c0000160300008d000000100000000300000000000000cad3a53cee7a8e3e29bbb83e8729f53e2041333f61ff8d3f61ff8d3f,AQHQqQ==,0101d0a9
2022-03-25 19:10:59.461997,475a5fe300200021,PM,a84041ffff206240,-107,-8.5,1,0,913700000,125,8,4/5,2,1,2,BgA=,0600,AcPceQ==,01c3dc79
2022-03-25 19:11:04.957346,475a5fe300480023,PM,a84041ffff206240,-51,14,7,1,914900000,125,8,4/5,2,6,2,BgA=,0600,AEOdzQ==,00439dcd
2022-03-25 19:11:11.364081,479b558000380033,PM,a84041ffff206240,-98,-10.5,2,0,913900000,125,8,4/5,2,0,2,BgA=,0600,ARhkOw==,0118643b
2022-03-25 19:11:12.074985,475a5fe30024001c,BME280,a84041ffff206240,-52,13.2,0,0,913500000,125,7,4/5,3,10,21,XI/wQT2KeEQAAEBB,5c8ff0413d8a784400004041,AYDYJQ==,0180d825
